Neapolitan	Neapolitan	probability
ˈi_#>	ˈi_r_e_#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_t	ˈa_d	1.0
ˈa_#>	ˈa_r_e_#>	1.0
ˈa	ˈa	1.0
ʧː	-	1.0
ʧ	ʧ	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ʤː	ʤː	1.0
ʤ	ʤ	1.0
ʎː	ʎː	1.0
ʃ_ə	ʧ_e	1.0
ʃ_k	s_k	1.0
ɾ_ˈa	r_ˈa	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ə_ɾ	e_r	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈa	w_ˈa	1.0
v_ə	v_e	1.0
u_n	o_n	1.0
u_l	o_l	1.0
tː	tː	1.0
t	t	1.0
rː	rː	1.0
r	r	1.0
p_w	p	1.0
p	p	1.0
o	o	1.0
n_ə	n_e	1.0
n	n	1.0
m_ə	m_a	1.0
m	m	1.0
l_i	l_e	1.0
l	l	1.0
kː_ə	kː_a	1.0
kː	kː	1.0
k_ɾ	k_r	1.0
k_w	k	1.0
k_j	p_j	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ʤ_ˈɛ	1.0
i_#>	i_#>	1.0
fː	fː	1.0
f	f	1.0
dː	dː	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
a_t	a_t	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_ʤ	1.0
ˈɔ	ˈɔ	0.944
s	s	0.923
k	k	0.894
ˈo	ˈo	0.867
w	w	0.846
lː	lː	0.846
j	j	0.818
ˈe	ˈe	0.778
ɾ	r	0.759
ˈɛ	ˈɛ	0.75
ɲː	ɲː	0.75
v	v	0.75
ʃ	ʧ	0.667
sː	sː	0.667
nː	nː	0.667
mː	m	0.667
ˈi	ˈi	0.65
i	i	0.615
ʃː	ʃː	0.571
j_ə	j_o	0.571
<#_a	<#_a	0.556
ˈu	ˈu	0.545
u	u	0.5
u	o	0.5
e	e	0.5
e	-	0.5
ə	o	0.452
<#_a	<#	0.444
ʃː	ʧː	0.429
j_ə	j	0.429
ˈu	ˈo	0.386
ˈi	ˈe	0.35
sː	-	0.333
nː	n_d	0.333
mː	mː	0.333
ə	a	0.267
ɲː	n_ʤ	0.25
v	b	0.25
i	e	0.231
ə	e	0.23
ʃ	s	0.19
ɾ	d	0.19
j	-	0.182
w	-	0.154
lː	-	0.154
i	ˈi	0.154
ʃ	f_j	0.143
ˈo	ˈɔ	0.133
ˈe	ˈɛ	0.111
ˈe	-	0.111
k	ɡ	0.106
ˈɛ	ˈe_r	0.1
ˈɛ	j_ˈɛ	0.1
s	-	0.077
ˈu	-	0.068
ˈɔ	-	0.056
ɾ	l	0.052
