Megleno-Romanian	Megleno-Romanian	probability
ʧ	θ	1.0
ʤ	ð	1.0
ʒ	ð	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ɔ	ˈa	1.0
ŋ	ŋ	1.0
z	-	1.0
w_ˈo	ˈɔ	1.0
w_ə	v	1.0
w	-	1.0
v	v	1.0
u_#>	#>	1.0
u	u	1.0
t_ə	d_a	1.0
t_i_#>	#>	1.0
s_#>	s_#>	1.0
s	s	1.0
r_u	e_r	1.0
r_i	l	1.0
p_t	t	1.0
n_i_#>	#>	1.0
m_i_#>	m_#>	1.0
kʲ	p	1.0
k_ʎ	ʧ	1.0
k_#>	ɡ_#>	1.0
j_#>	#>	1.0
f	f	1.0
e	-	1.0
d	d	1.0
b	b	1.0
<#_ˈi	<#_f_j	1.0
<#_ˈa	<#_ˈaː	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
i	-	0.917
m	m	0.857
t	t	0.846
p	p	0.846
ə	a	0.84
k	k	0.765
l	l	0.75
r	r	0.724
o̯ˈa	ˈɔː	0.714
ˈa	ˈɛ	0.667
ˈɔ	ˈa	0.625
ʃ	s	0.6
n	ŋ	0.5
ˈe	ˈɛ	0.462
ʦ	θ	0.462
n	n	0.429
ˈi	ˈæ	0.417
ˈi	ˈe	0.417
ʃ	-	0.4
ˈu	ˈo	0.389
ˈɔ	ˈɛ	0.375
j	v	0.375
j	-	0.375
ʎ	ˈɔː_l	0.333
ʎ	l	0.333
ʎ	j	0.333
e̯ˈa	ˈiː	0.333
e̯ˈa	ˈa_j	0.333
e̯ˈa	ˈa	0.333
ˈo	ˈuː	0.308
o̯ˈa	ˈʌu̯	0.286
ˈu	ˈʌu̯	0.278
l	-	0.25
j	ŋ	0.25
ˈo	-	0.231
ˈe	ˈiː	0.231
ʦ	t	0.231
ˈu	-	0.222
ˈi	-	0.167
ˈo	ˈʌ	0.154
ˈo	ˈɔː	0.154
ˈo	ˈɔ	0.154
ˈe	ˈa_j	0.154
ˈe	ˈa	0.154
ʦ	z	0.154
ʦ	-	0.154
t	d	0.154
p	v	0.154
ˈa	ˈɛː	0.148
m	ŋ	0.143
r	r_e	0.138
r	l	0.138
k	ɡ	0.118
k	-	0.118
ˈu	ˈɔ	0.111
ˈa	ˈaː	0.111
i	i	0.083
ə	e_r	0.08
ə	-	0.08
ˈa	-	0.074
n	-	0.071
