Catalan	Catalan	probability
ˈɛ_l	ˈɛ_ɫ	1.0
ˈe_w	ˈe	1.0
ˈe_j	ˈeː_ɡ	1.0
ʧ	d_i	1.0
ʤ_ə	d_ɪ	1.0
ʎː	k_ɫ	1.0
ʎ_#>	lʲː_ʊ̃ː_#>	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ə	r_ʊ̃ː	1.0
ɣ_w	kʷ	1.0
ə_β	a_p	1.0
ə_n	ɛ_n	1.0
ə_l	ɛ_ɫ	1.0
ŋ	ŋ	1.0
ð_ə	t_ãː	1.0
ð	t	1.0
w_#>	k_ɛ̃ː_#>	1.0
u_ɾ	oː_r	1.0
t_ə	t_ãː	1.0
t_#>	t_ɛ̃ː_#>	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r	r	1.0
p_ˈɔ	p_ˈoː	1.0
p	p	1.0
n_ə	n_ãː	1.0
n_d	n_ɛ	1.0
mː	t_ɪ	1.0
l_ə	lʲː_ãː	1.0
l_#>	ɫ_ʊ̃ː_#>	1.0
k_ə	k_a	1.0
k_w	kʷ	1.0
k_#>	k_ʊ̃ː_#>	1.0
f	f	1.0
a	-	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_ɫ	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#	<#_h	1.0
m	m	0.977
l	ɫ	0.941
ɾ	r	0.756
ɣ	k	0.75
t	t	0.742
ˈe	ˈɛ	0.735
ˈɔ	ˈɔ	0.711
z	s	0.667
ˈi	ˈiː	0.625
s	s	0.618
ɡ	ɡ	0.611
ʃ	s_k	0.6
ˈu	ˈuː	0.594
<#_ə	<#	0.562
b	w	0.528
ə	ãː	0.509
ʒ	ɡ	0.5
n	n	0.5
j	k	0.5
j	-	0.5
ˈa	ˈa	0.481
k	kː	0.455
ˈo	ˈʊ	0.448
<#_ə	<#_a	0.438
b	b	0.417
ʃ	sː	0.4
ʎ	lʲ	0.385
i	iː	0.364
#>	ʊ̃ː_#>	0.358
z	tʰ	0.333
n	n_t	0.333
β	b	0.316
ʒ	j	0.312
ʎ	ʊ	0.308
u	ɔ	0.292
ˈɛ	ˈɪ	0.282
ɡ	k	0.278
ˈo	ˈoː	0.276
i	ɛ	0.273
β	p	0.263
ɣ	ɡ	0.25
ˈa	ˈaː	0.241
ˈɛ	ˈɛ	0.231
#>	ɛ_#>	0.216
ˈa	ˈaː_r	0.215
ɲ	nː	0.214
ɲ	n_i	0.214
β	w	0.211
β	p_ɛ	0.211
u	ʊ	0.208
u	oː	0.208
u	-	0.208
w	w_ʊ̃ː	0.2
w	w_ɛ̃ː	0.2
t	tː	0.194
ʎ	lʲː	0.192
ʒ	d	0.188
k	kʷ	0.182
k	k_oː	0.182
k	k	0.182
i	ɪ	0.182
i	i	0.182
ˈɛ	ˈeː	0.179
s	k	0.176
#>	ɛ̃ː_#>	0.169
n	ŋ_k	0.167
ˈu	ˈʊ	0.156
ˈi	ˈiː_r	0.15
w	ɛ̃ː	0.15
w	b_ɛ	0.15
ɲ	ŋ_n	0.143
ɲ	ŋ	0.143
ɲ	n_e	0.143
ɲ	n	0.143
ˈɔ	ˈau̯	0.133
ə	a	0.123
ˈe	ˈa	0.118
ʎ	k_ʊ	0.115
ɡ	-	0.111
ˈɛ	ˈɪ_k	0.103
ˈo	ˈu	0.103
ˈo	ˈoː_r	0.103
ˈi	ˈɛ_k	0.1
w	w	0.1
w	t_i	0.1
w	d_ˈeː	0.1
ˈu	ˈɔ_k	0.094
ˈu	ˈɔ	0.094
ˈɔ	ˈoː	0.089
ˈe	ˈɪ	0.088
ə	ɛ	0.085
u	o	0.083
ˈi	ˈi	0.075
s	sː	0.074
ɾ	ɛ_r	0.073
ɾ	-	0.073
ˈo	-	0.069
ˈɔ	-	0.067
ə	ɪ	0.066
t	d	0.065
ˈa	ˈaː_n	0.063
ˈu	-	0.062
#>	n_ʊ̃ː_#>	0.061
ˈe	ˈeː	0.059
l	lʲː	0.059
ə	ɛ̃ː	0.057
ə	aː	0.057
b	-	0.056
ˈɛ	ɪ	0.051
ˈɛ	k	0.051
ˈɛ	-	0.051
