Lombard	Québécois French	probability
ã	ã	1.0
ẽ	-	1.0
o	u	1.0
r	ʁ	1.0
ũ	ɒ̃ʊ̯̃	1.0
v	v	1.0
w	-	1.0
ˈẽː	ã	1.0
ˈiː	-	1.0
ˈĩː	ẽɪ̯̃	1.0
ˈỹː	œ̃ʏ̯̃	1.0
ˈɛ̃ː	ã	1.0
ˈˈi	ɛ	1.0
d	ʣ	0.141
d	-	0.51
k	k	0.551
m	m	0.811
n	n	0.791
t	-	0.21
y	u	0.331
ʤ	s	0.071
ʧ	ʒ	0.11
ˈe	j_ɛ	0.061
ˈe	ɛ	0.41
ˈo	ɒ̃ʊ̯̃	0.331
ˈu	y	0.221
ˈy	ɥ	0.171
ˈø	œ	0.371
ˈøː	øʏ̯	0.111
ˈɔ	oʊ̯	0.151
ˈɛ	oʊ̯	0.21
l	-	0.222
ʦ	d	0.142
ʧ	k	0.142
ʧ	j	0.192
ˈa	oʊ̯	0.062
ˈaː	e	0.422
ˈeː	æɛ̯	0.602
ˈi	ɪ	0.282
ˈu	u	0.242
ˈɔ	œ	0.052
ˈɔ	ɔ	0.082
a	ɛ	0.123
a	a	0.233
a	j	0.383
e	œ	0.233
ĩ	ẽɪ̯̃	0.333
ĩ	i	0.333
ĩ	n	0.333
m	-	0.103
n	-	0.143
p	p	0.933
s	ʒ	0.063
s	s	0.673
u	ɔ	0.523
z	z	0.563
ˈaː	æɛ̯	0.473
ˈi	-	0.133
ˈi	i	0.433
ˈu	o	0.053
ˈyː	y	0.103
ˈyː	øʏ̯	0.103
b	ʒ	0.064
f	f	0.934
ɡ	ɡ	0.684
ˈe	-	0.074
ˈũː	ẽɪ̯̃	0.084
ˈøː	aœ̯	0.374
ˈɔ	a	0.074
ˈɔ	o	0.084
n	d	0.055
u	ɑɔ̯	0.345
ɛ	ɛ	0.155
ɛ	-	0.845
ɡ	-	0.285
ʃ	s	0.435
ʤ	-	0.115
ˈa	e	0.285
ˈu	-	0.115
ˈu	ʊ	0.115
ˈuː	ɛ	0.5
ˈuː	ʊ	0.5
ˈy	u	0.05
ˈy	ʏ	0.245
ˈy	y	0.425
ˈø	u	0.325
ˈøː	œ	0.515
ˈɔ	ɑɔ̯	0.435
ˈɛ	ã	0.075
b	b	0.936
f	ʁ	0.066
j	l	0.326
t	t	0.766
ɲ	n	0.196
ɲ	ɲ	0.436
ʋ	v	0.886
ʤ	ʒ	0.726
ʦ	ɥ	0.466
ʧ	-	0.196
ˈa	a	0.186
ˈaː	oʊ̯	0.066
ˈeː	ẽɪ̯̃	0.366
ˈu	w	0.156
ˈũː	ɒ̃ʊ̯̃	0.916
ˈyː	aœ̯	0.506
ˈø	øʏ̯	0.146
ˈɛ	w_ɛ	0.166
e	-	0.67
i	w	0.137
i	i	0.167
j	j	0.257
z	l	0.437
ɲ	ẽɪ̯̃	0.367
ʃ	-	0.247
ʦ	s	0.257
ˈa	-	0.057
ˈãː	ã	0.37
ˈe	i	0.227
ˈø	ɥ	0.157
ˈɛ	ɛ	0.097
a	-	0.078
d	d	0.328
i	e	0.118
i	œ	0.578
k	ʃ	0.408
l	l	0.778
s	-	0.218
ʃ	z	0.318
ʦ	-	0.068
ʦ	t	0.068
ˈa	æɛ̯	0.298
ˈãː	ẽɪ̯̃	0.588
ˈi	w	0.058
ˈyː	u	0.288
a	l	0.149
j	-	0.399
u	-	0.069
y	y	0.669
ʤ	ɡ	0.089
ʧ	s	0.349
ˈa	ã	0.069
ˈe	æɛ̯	0.09
ˈi	y	0.069
ˈo	a	0.669
ˈy	ɛ	0.109
ˈɛ	æɛ̯	0.269
