Russian	Slovenian	probability
ˈɵ_r	ə̀_r	1.0
ˈɵ	ə́	1.0
ˈɛ	éː	1.0
ˈu	óː	1.0
ˈo_ɫ	ɔ́ː_w	1.0
ˈe_r	ə́_r	1.0
ˈa_#>	a_#>	1.0
ʨ	ʧ	1.0
ʦ	ʦ	1.0
ʂ	ʃ	1.0
ɫ_ɨ	w	1.0
ɫ_#>	w_#>	1.0
ɫ	l	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ə_ɫ	l	1.0
ɐ_ɫ	l	1.0
ɐ_v	àː_ʋ	1.0
ɐ_r	r_àː	1.0
ɐ	ɔ̀ː	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
vʲ_ˈe	ʋ_ɛ	1.0
vʲ	ʋ	1.0
v	ʋ	1.0
tʲ	t	1.0
t_#>	t_#>	1.0
t	t	1.0
sʲ_ɪ	s_ə	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
pʲ	p	1.0
p_#>	p_#>	1.0
p	p	1.0
nʲ_#>	n_#>	1.0
nʲ	n	1.0
n_ɨ_j_#>	n_#>	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	w_#>	1.0
lʲ	l	1.0
kʲ_ɪ	ə_k	1.0
k_#>	k_#>	1.0
k	k	1.0
j_#>	#>	1.0
e	-	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʐ	<#_ʒ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_ɔ̀ː	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_vʲ	<#_ʋ	1.0
<#_v	<#_ʋ	1.0
<#_tʲ	<#_t	1.0
<#_t	<#_t	1.0
<#_sʲ	<#_s	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_pʲ	<#_p	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_mʲ	<#_m	1.0
<#_m	<#_m	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_dʲ	<#_d	1.0
<#_d	<#_d	1.0
#>	ɛ_#>	1.0
rʲ	r	0.692
ˈɨ	ìː	0.667
ˈa	àː	0.667
ə	áː	0.6
<#_ʨ	<#_ʃ	0.6
tʲ_#>	t_#>	0.571
tʲ_#>	t_i_#>	0.429
ə	-	0.4
<#_ʨ	<#_ʧ	0.4
ˈe	éː	0.389
ˈi	íː	0.375
ˈi	ìː	0.375
ə_#>	a_#>	0.353
ˈɨ	i	0.333
ˈa	á	0.333
rʲ	r_j	0.308
ˈo	óː	0.296
ə_#>	ɔ_#>	0.294
ˈe	èː	0.278
ˈi	i	0.25
ə_#>	óː_#>	0.235
ˈe	e	0.222
ɪ	-	0.222
ˈo	-	0.185
ɪ	ɛ	0.185
ɪ	éː	0.185
ɪ	èː	0.185
ˈo	ɔ	0.148
ɪ	ɛ̀ː	0.148
ə_#>	éː_#>	0.118
ˈe	ə	0.111
ˈo	ə	0.074
ˈo	ɔ́	0.074
ˈo	òː	0.074
ˈo	o	0.074
ˈo	áː	0.074
ɪ	k	0.074
