Romanian	Romanian	probability
ˈə	ˈi	1.0
ˈi_r	ˈi	1.0
ˈe_r	ˈe	1.0
ˈau̯	-	1.0
ˈa_r	ˈa	1.0
ʦʲ	tː_i	1.0
ʤ	-	1.0
ʒ	ɟ	1.0
ʃ_t	ʃː	1.0
ʃ	-	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ŋ	-	1.0
v	v	1.0
t_#>	t_u_#>	1.0
r_n	rː_u	1.0
r_b	l_b	1.0
r_#>	l_u_#>	1.0
p_t	tː	1.0
p_#>	p_u_#>	1.0
o	u	1.0
nʲ	n_i	1.0
n_#>	n_u_#>	1.0
m_n	ɲː_u	1.0
m_e	m_u	1.0
l_#>	ɖː_u_#>	1.0
kʲ	cː	1.0
k_#>	k_u_#>	1.0
j_ˈe	ˈɛ	1.0
j_n	n	1.0
f_e	fː	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
a	a	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ɟ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_a	1.0
ˈa	ˈa	0.889
ʧ	ʧ	0.833
b	b	0.833
#>	u_#>	0.812
k	k	0.8
p	p	0.793
ə	a	0.784
w	u	0.778
j	-	0.778
u	u	0.762
o̯ˈa	ˈɔ	0.75
t	t	0.741
n	n	0.737
ˈɨ	ˈa	0.714
z	d	0.714
m	m	0.714
e_r	ˈi	0.667
s	s	0.643
e	i	0.642
r	r	0.63
i	i	0.625
j_#>	#>	0.6
ˈo	ˈɔ	0.571
ˈu	ˈu	0.529
ˈi	ˈi	0.5
l	l	0.5
e̯ˈa	ˈɛ	0.5
e̯ˈa	ɖː_a	0.5
ˈe	ˈe	0.458
j_#>	j_#>	0.4
i	-	0.375
ʦ	ʒ	0.333
ʦ	t	0.333
ʦ	-	0.333
l	j	0.333
e_r	a_r	0.333
ˈi	ˈɛ	0.308
ˈu	ˈɔ	0.294
z	-	0.286
m	mː	0.286
ˈe	ˈɛ	0.25
o̯ˈa	-	0.25
ˈo	ˈo	0.238
e	u	0.226
w	-	0.222
r	l	0.222
j	j	0.222
ˈe	ˈi	0.208
ˈi	-	0.192
ˈo	ˈu	0.19
t	tː	0.185
ʧ	-	0.167
l	ɖː	0.167
b	-	0.167
ˈɨ	ˈɛ	0.143
ˈɨ	-	0.143
u	-	0.143
s	sː	0.143
p	-	0.138
n	nː	0.132
#>	i_#>	0.125
ˈu	ˈo	0.118
ə	-	0.118
ˈa	a	0.111
r	-	0.111
s	z	0.107
s	-	0.107
ə	i	0.098
u	a	0.095
k	ɡ	0.086
ˈe	-	0.083
n	-	0.079
e	-	0.075
t	-	0.074
p	pː	0.069
#>	a_#>	0.062
ˈu	-	0.059
k	u	0.057
k	-	0.057
e	a	0.057
n	ɲː	0.053
