Franco-Provençal	Franco-Provençal	probability
ˈɔ̃_#>	ˈu_#>	1.0
ˈɔ̃	ˈo_n	1.0
ˈɑː	ˈa	1.0
ˈy	ˈu_r	1.0
ˈi_#>	#>	1.0
ˈe_v	ʋ	1.0
ˈe_n	ˈi	1.0
ˈe_#>	#>	1.0
ˈaː_ð	ˈa	1.0
ʦ	s	1.0
ʒ	z	1.0
ʃ_ə	k_a	1.0
ʃ_j	k	1.0
ʁ_ə	ˈi	1.0
ʁ_s	r_s	1.0
ʁ_o	e_r	1.0
ʁ_a	r_a	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ɛ̃	n_z	1.0
ɛː	e	1.0
ə_#>	#>	1.0
ɔ	-	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
z	z	1.0
y	y	1.0
w_ˈɛː	ˈu	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈe	ˈo	1.0
w_ˈa	ˈø_k	1.0
u	-	1.0
t_a	t_a	1.0
p_ˈɛː	p_ˈe	1.0
p	p	1.0
m	m	1.0
j_ˈe	ˈe	1.0
f	f	1.0
b	b	1.0
a_ð	a_r	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_z	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ˈa	ˈa	0.92
k	k	0.913
s	s	0.892
n	n	0.875
t	t	0.867
d	d	0.857
<#_v	<#	0.857
ʃ	k	0.8
ˈaː	ˈa	0.778
ʃ_#>	s_#>	0.75
ʁ	r	0.727
ˈĩ	ˈi	0.714
l	l	0.714
e	s	0.667
ˈɔ	ˈu	0.6
i	a	0.6
<#_a	<#_a	0.6
ə	a	0.591
ð	d	0.533
ˈɛ	ˈɛ	0.5
ˈo	ˈø	0.5
ˈo	ˈu	0.5
ɛ	e	0.5
ɛ	-	0.5
ˈoː	ˈo	0.462
ʎ	j	0.455
o	o	0.455
ˈø	ˈo	0.444
ˈi	ˈe	0.444
ˈɛ̃	ˈe	0.4
ˈɔ	ˈɔ	0.4
ˈe	ˈɛ	0.4
j	j	0.4
i	-	0.4
<#_a	<#	0.4
ˈi	ˈi	0.389
v	-	0.375
ˈɛː	ˈɛ	0.364
ʎ	ʧ	0.364
o	-	0.364
#>	t_#>	0.349
w	ˈø	0.348
ˈø	-	0.333
ð	r	0.333
j	-	0.333
e	e	0.333
ə	e	0.318
ˈĩ	-	0.286
ˈɑ̃	ˈa_ŋ	0.273
ˈɑ̃	ˈa_n	0.273
ˈɑ̃	ˈa	0.273
ˈu	ˈø	0.273
ˈu	ˈy	0.273
ˈu	ˈo	0.273
ˈɛ	ˈe	0.25
ˈɛ	-	0.25
ʃ_#>	#>	0.25
ˈe	ˈa	0.233
ˈoː	ˈɔ	0.231
l	j	0.229
ˈɛː	ˈi	0.227
ˈø	ˈu	0.222
ˈaː	-	0.222
#>	s_#>	0.209
ˈɛ̃	n	0.2
ʃ	s	0.2
v	ʋ	0.188
v	ɡ	0.188
ˈɑ̃	ˈa_m	0.182
ˈu	ˈu	0.182
ʎ	ʤ	0.182
o	e	0.182
w	-	0.174
ˈi	-	0.167
ˈe	-	0.167
ˈoː	ˈa_l	0.154
ˈoː	r	0.154
d	-	0.143
<#_v	<#_ˈɛ	0.143
#>	k_#>	0.14
ˈɛː	ˈa	0.136
ˈɛ̃	ˈɛ_ŋ	0.133
ˈɛ̃	ɲ	0.133
ˈɛ̃	n_t	0.133
ˈe	ˈi	0.133
ð	-	0.133
t	s_t	0.133
j	ˈi	0.133
j	ˈa	0.133
w	ˈɔ	0.13
w	ˈu	0.13
w	ˈo	0.13
v	ˈe	0.125
v	e	0.125
n	-	0.125
#>	a_#>	0.116
s	-	0.108
ˈɛː	ˈe	0.091
ˈɛː	e	0.091
ˈɛː	-	0.091
ʁ	-	0.091
ə	e_r	0.091
w	w	0.087
k	ʧ	0.087
ˈa	t_ˈa	0.08
#>	ʧ_#>	0.07
#>	l_#>	0.07
ˈe	k	0.067
l	-	0.057
