Gascon	Gascon	probability
β_ɔ_#>	b_#>	1.0
ˈɛ_ʦ	i	1.0
ˈɛ_t	oʊ̯	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_r	æɛ̯_ʁ	1.0
ˈɛ_j	æɛ̯	1.0
ˈɔ_s	o	1.0
ˈɔ_k	øʏ̯	1.0
ˈy_β	y	1.0
ˈy_ŋ	œ̃ʏ̯̃	1.0
ˈy_n	w_ẽɪ̯̃	1.0
ˈu_ʦ	w	1.0
ˈu_ŋ	ɒ̃ʊ̯̃	1.0
ˈu_n	ɒ̃ʊ̯̃	1.0
ˈo	ɑɔ̯	1.0
ˈi_ɔ	ɪ_n	1.0
ˈi_ŋ	ẽɪ̯̃	1.0
ˈe_ʎ	j	1.0
ˈe_n	ã	1.0
ˈe_j	æɛ̯	1.0
ˈa_w	oʊ̯	1.0
ˈa_j	æɛ̯	1.0
ˈa_#>	e_#>	1.0
ʦ	-	1.0
ʤ	ʒ	1.0
ʒ	ʒ	1.0
ɾ_ˈe	ʁ_w	1.0
ɾ_ɔ	l	1.0
ɲ_ɔ	ɲ	1.0
ɲ	ẽɪ̯̃	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	m	1.0
ð_e	ɛ_ʁ	1.0
ð	-	1.0
y	-	1.0
t_ɔ_#>	t_#>	1.0
s_ˈa	s	1.0
s_t	t	1.0
s_k	k	1.0
s_e	s_œ	1.0
s_#>	#>	1.0
r	ʁ	1.0
p_#>	#>	1.0
p	p	1.0
n_ˈa	n_œ	1.0
n_ɔ	n	1.0
mː	m	1.0
l_ˈa	l	1.0
k_ˈa	ʃ	1.0
k_a	ʃ	1.0
k_#>	#>	1.0
j_t	i	1.0
h	f	1.0
f	f	1.0
e_#>	#>	1.0
a_ɾ	a_ʁ	1.0
<#_ˈa	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_ʁ	1.0
ɾ	ʁ	0.935
l	l	0.926
s	s	0.889
m	m	0.8
d	d	0.786
<#_e	<#_e	0.778
ŋ	ẽɪ̯̃	0.75
β	v	0.714
ʃ	s	0.667
z	z	0.667
#>	ʁ_#>	0.652
k	k	0.649
i	-	0.625
ʎ	j	0.615
e	ʁ	0.607
w	-	0.571
b	v	0.562
w_ˈe	œ	0.556
<#_a	<#_a	0.556
a	a	0.538
t	-	0.536
ˈi	i	0.522
ɣ	ɡ	0.5
ɣ	-	0.5
n	ã	0.5
j_#>	ɛ_#>	0.5
j_#>	#>	0.5
w_#>	l_#>	0.462
ˈɔ	ɑɔ̯	0.455
ˈu	u	0.455
ˈa_ŋ	ã	0.444
w_ˈe	ɥ	0.444
<#_a	<#	0.444
ˈy	y	0.438
b	b	0.438
u	u	0.4
j	æɛ̯	0.375
j	i	0.375
i	i	0.375
ˈɔ	-	0.364
t	t	0.357
k	ʃ	0.351
ˈa_ŋ	ẽɪ̯̃	0.333
ˈa	æɛ̯	0.333
ˈa	a	0.333
ʃ	t	0.333
z	-	0.333
u	-	0.333
n	n	0.333
ˈɛ	ɛ	0.308
w_#>	f_#>	0.308
ˈi	ɪ	0.304
u	ɔ	0.267
ˈy	ɥ	0.25
ŋ	ɒ̃ʊ̯̃	0.25
j	ɪ	0.25
ˈe	w	0.235
ˈɛ	j_ɛ	0.231
ˈɛ	j	0.231
ˈɛ	-	0.231
ʎ	-	0.231
w_#>	#>	0.231
a	æɛ̯	0.231
a	-	0.231
ˈa_ŋ	æɛ̯_n	0.222
<#_e	<#	0.222
w	ɔ	0.214
w	øʏ̯	0.214
d	ʣ	0.214
m	-	0.2
ˈy	ʏ	0.188
ˈɔ	u	0.182
ˈu	ʊ	0.182
ˈa	-	0.182
#>	ɛ_#>	0.174
#>	e_#>	0.174
n	-	0.167
ʎ	l	0.154
ˈa	e	0.152
ˈe	ɛ	0.147
ˈe	-	0.147
β	b	0.143
β	-	0.143
e	-	0.143
ˈu	ɔ	0.136
ˈu	aœ̯	0.136
ˈy	w	0.125
ˈe	æɛ̯	0.118
ˈe	w_ɛ	0.118
s	-	0.111
t	ʦ	0.107
e	œ	0.107
ˈu	øʏ̯	0.091
ˈi	ẽɪ̯̃	0.087
ˈi	e	0.087
l	-	0.074
e	ɛ	0.071
e	æɛ̯	0.071
ɾ	ɛ	0.065
ˈe	œ	0.059
ˈe	j	0.059
ˈe	i	0.059
ˈe	ã	0.059
