Western Lombard	Italian	probability
b	b	1.0
e	e	1.0
i	i	1.0
n	n	1.0
w	w	1.0
ʦ	ʧ	1.0
ˈaː	ˈa	1.0
ˈãː	ˈa_n	1.0
ˈẽː	ˈɛ_n	1.0
ˈĩː	ˈi	1.0
ˈu	ˈo	1.0
ˈø	ˈɔ	1.0
ˈøː	w_ˈɔ	1.0
ˈɔ	ˈɔ	1.0
k	ɡ_o	0.051
l	lː_o	0.151
t	d	0.101
t	t_o	0.111
ɲ	n	0.081
ʋ	p	0.281
ˈa	ˈa	0.801
ˈe	ˈɛ	0.281
ˈi	ˈi	0.601
m	m_e	0.072
m	-	0.082
ɲ	ɲː	0.512
ʧ	ʧ	0.532
ˈe	ˈe	0.642
ˈũː	ˈu	0.722
a	e	0.053
k	k	0.863
s	s	0.593
ɡ	-	0.143
ʧ	tː	0.363
ˈi	ˈi_r	0.263
ˈy	o	0.183
a	a	0.904
d	d	0.74
k	k_o	0.064
u	o	0.884
ʤ	ʤ	0.754
ˈyː	ˈu	0.094
ˈɛ	ˈɛ	0.74
j	-	0.205
r	r_o	0.095
s	-	0.065
ʧ	kː_j	0.105
d	t	0.26
j	j	0.756
l	lː	0.086
m	m	0.846
s	ʧ_e	0.136
t	t	0.496
u	e	0.116
ʤ	-	0.246
ˈi	ˈu	0.136
ˈyː	ˈo	0.906
ˈɛ	ˈe	0.26
r	r	0.877
s	sː_o	0.137
ɡ	ɡ	0.857
ɲ	ɲː_o	0.407
ˈe	-	0.077
ˈy	ˈu	0.817
f	f	0.98
l	l_o	0.08
p	p	0.968
t	tː	0.248
ˈũː	ˈo_n	0.278
l	l	0.669
s	ʃː_e	0.069
ʋ	v	0.719
ˈa	ˈa_r	0.199
