Mecklenburgisch-Vorpommersch	Westphalian	probability
ˈʊ	ˈʊ	1.0
ˈɛɪ̯	ˈaɪ̯	1.0
ˈœ	-	1.0
ˈyː	ˈyː	1.0
ˈiː_æ	ɐ	1.0
ˈiː	ˈiː	1.0
ˈaɪ̯	-	1.0
ʃ	ʃ	1.0
ɾ_æ	ɐ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɣ̊	x	1.0
ɣ	ɣ	1.0
ɡ̊	-	1.0
x	x	1.0
w	ʋ	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_n	n_n	1.0
n	n	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
h	h	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
ae̯	aɪ̯	1.0
f	f	0.947
t	t	0.943
ˈɪ	ˈɪ	0.933
ˈa	ˈa	0.892
v	v	0.878
ɡ	x	0.846
z	s	0.839
m	m	0.834
ŋ	ŋ	0.813
ç	ç	0.808
ˈɔʏ̯	ˈøː	0.752
j	x	0.74
æ	ɐ	0.733
ˈœː	-	0.727
ˈɛ	ˈɛ	0.672
z̥	z̥	0.651
ˈɒː	ˈɔː	0.579
ˈae̯	ˈaɪ̯	0.565
v̥	ʋ	0.563
ˈʏ	ˈʏ	0.511
ˈaʊ̯	ˈaʊ̯	0.504
ˈoː	-	0.503
ˈoː	ˈɔː	0.497
ˈuː	ˈuː	0.437
v̥	v̥	0.437
ˈae̯	ˈeː	0.435
ˈaʊ̯	ˈoː	0.427
ˈɔ	ˈɔ	0.426
ˈɛː	ˈɪɛ̯	0.41
ˈɔ	-	0.402
ˈuː	-	0.399
ˈaː	ˈɪɛ̯	0.353
z̥	z_ə	0.349
ˈɛː	ˈɪə̯	0.34
ˈɛ	ˈɪɛ̯	0.328
ˈaː	ˈaː	0.326
ˈaː	ˈa_ɐ	0.32
æ	-	0.267
j	j	0.26
ˈʏ	ˈø	0.256
ˈɛː	ˈiɛ̯	0.25
ˈɔʏ̯	-	0.248
ˈʏ	-	0.233
ç	ɡ_ə	0.192
ŋ	ɡ_n	0.187
ˈœː	ˈyə̯	0.175
ˈɔ	ˈuːə̯	0.172
ˈuː	ˈʊ	0.164
z	z	0.161
ɡ	ɡ	0.154
ˈɒː	-	0.148
ˈɒː	ˈaː	0.122
v	ʋ	0.122
ˈɒː	ˈuə̯	0.116
ˈa	-	0.108
ˈœː	ˈyːœ̯	0.098
m	v_n	0.087
ˈaʊ̯	-	0.069
ˈɪ	ˈɛ	0.067
t	-	0.057
f	-	0.053
m	m_n	0.051
