Old Church Slavonic	Slovak	probability
ˈu	ˈu	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʃ	-	1.0
ɯ	ɛ_ɲ	1.0
ɪ	-	1.0
ɡ_ʊ	x	1.0
x	x	1.0
v_ʊ	v	1.0
v	ʋ	1.0
u	ˈuː	1.0
t_ɪ	c	1.0
t_i	c	1.0
s_ˈʊ	s	1.0
s	s	1.0
rʲ	r	1.0
r_ˈæ	r_ˈɛ	1.0
p	p	1.0
nʲ	ɲ	1.0
m_ɪ	ɛ_m	1.0
m	m	1.0
lʲ	-	1.0
l_ˈʊ	ˈɫ̩	1.0
l_ˈɪ	ˈɫ̩	1.0
l_ʊ	l̩	1.0
l_ɪ	ʎ	1.0
k	k	1.0
j	j	1.0
d_ˈʊ	d	1.0
d_ʊ	d̥	1.0
d_ɪ	ɟ̊	1.0
b_ʊ	b̥	1.0
b	b	1.0
ɡ	ɦ	0.945
r	r	0.904
z	z	0.9
ˈɯ	ˈi	0.839
t	t	0.817
r_ˈɪ	ˈr̩	0.8
ˈɔ	ˈɔ	0.782
ɑ	a	0.774
i	ˈi	0.712
ʊ	iː	0.697
n	n	0.686
ˈɔ̃	ˈu	0.667
ɔ̃	-	0.667
ɛ̃	-	0.659
æ	ɪ̯ˈɛ	0.63
ʒ	ʒ	0.628
ɔ	ɔ	0.603
ˈɛ̃	ˈæ	0.6
d	d	0.597
ˈɑ	ˈa	0.556
ˈɛ	ˈɛ	0.551
ˈi	ˈi	0.501
ˈi	-	0.499
ˈæ	ˈɛ	0.474
ɛ	ˈɛ	0.459
ˈɑ	a	0.444
ˈɪ	ˈɛ	0.416
ˈɪ	-	0.416
d	ɟ	0.403
ˈɛ̃	-	0.4
ɔ	ˈɔ	0.397
l	ɫ	0.397
ɛ	ɛ	0.396
ʒ	ʒ̊	0.372
æ	-	0.37
l	l	0.369
ˈɔ̃	ˈuː	0.333
ɔ̃	u	0.333
n	ɲ	0.314
i	ˈiː	0.288
ˈæ	ɛ	0.259
ɑ	ˈa	0.226
ˈɛ	ˈa	0.225
ˈɛ	-	0.225
ˈæ	ɪ̯ˈɛ	0.215
r_ˈɪ	ˈr̩ː	0.2
t	-	0.183
l	ʎ	0.183
ɛ̃	ɪ̯a	0.17
ɛ̃	æ	0.17
ˈɪ	aː	0.167
ʊ	-	0.164
ˈɯ	-	0.161
ˈɔ	ʊ̯ˈɔ	0.147
ɛ	-	0.145
ʊ	i	0.139
z	-	0.1
r	ˈr̩	0.096
ˈɔ	ˈɛ	0.071
ɡ	ɡ̊	0.055
ˈæ	e	0.052
l	d_ɫ	0.051
