Ripuarian	Eastphalian	probability
b	b	1.0
d	d	0.856
d	-	0.139
f	f	0.823
f	p	0.094
f	b	0.056
f	-	0.033
h	h	0.954
h	k	0.052
j	ɣ	0.509
j	j	0.38
j	-	0.107
k	k	0.56
k	d	0.248
k	-	0.103
k	t	0.045
k	ɣ	0.045
l	l	1.0
m	m	1.0
n	n	0.913
n	-	0.06
n	ɐ_n	0.033
p	p	1.0
s	t	0.469
s	s	0.279
s	z_ə	0.12
s	ˈɛ_s	0.082
s	ʃ	0.043
t	t	0.672
t	d	0.277
t	-	0.05
v	v	0.561
v	m	0.278
x	x	0.47
x	x_t	0.243
x	k	0.212
x	ɣ	0.056
z	z	0.824
z	s	0.171
ŋ	ŋ	0.505
ŋ	n	0.492
ɐ	ɐ	1.0
ɕ	ç	0.433
ɕ	k	0.317
ɕ	-	0.073
ɕ	j	0.073
ɕ	ɣ	0.061
ə	n	0.491
ə	-	0.352
ə	ɪ	0.061
ə	ə	0.052
ə	ŋ	0.035
ɣ	j	0.158
ɣ	ɣ	0.158
ɣ	ɡ	0.078
ɪ	ɪ	1.0
ʀ	r	0.871
ʀ	-	0.081
ʀ	ɐ	0.047
ʃ	ʃ	0.548
ʃ	s	0.449
ʋ	v	0.903
ʋ	w	0.091
ʦ	t	0.87
ʦ	ɐ_t	0.125
ˈa	ˈa	0.51
ˈa	ˈɔ	0.134
ˈa	ˈɪ	0.111
ˈa	ˈaː	0.056
ˈa	ˈɛː	0.056
ˈaʊ̯	ˈuː	0.5
ˈaʊ̯	ˈɔ	0.141
ˈaʊ̯	ˈoː	0.141
ˈaː	ˈa	0.451
ˈaː	ˈɒː	0.289
ˈaː	ˈɛː	0.105
ˈaː	ˈaː	0.082
ˈaː	ˈɛ	0.062
ˈe	ˈɪ	0.794
ˈe	ˈɛ	0.13
ˈe	ˈœ	0.069
ˈeɪ̯	ˈɛɪ̯	0.683
ˈeɪ̯	ˈiː	0.223
ˈeː	ˈɛɪ̯	0.855
ˈeː	ˈɪ	0.084
ˈeː	ˈiː	0.055
ˈiː	ˈiː	0.442
ˈiː	ˈɛɪ̯	0.229
ˈiː	ˈeː	0.112
ˈiː	ˈɛː	0.112
ˈiː	ˈɪ	0.082
ˈo	ˈʊ	0.626
ˈo	ˈɔ	0.372
ˈoː	ˈaʊ̯	0.335
ˈoː	ˈɒː	0.235
ˈoː	ˈeo̯	0.125
ˈoː	ˈʊ	0.109
ˈoː	ˈoː_ɐ	0.095
ˈu	ˈɔ	0.74
ˈu	ˈuː	0.137
ˈuː	ˈeo̯	0.613
ˈuː	ˈuː	0.375
ˈyː	ˈøː	0.336
ˈyː	ˈyː	0.254
ˈyː	ˈɔʏ̯	0.193
ˈyː	ˈuː	0.193
ˈøː	ˈɔʏ̯	0.5
ˈøː	ˈyː	0.175
ˈøː	ˈɒː	0.175
ˈøː	ˈøː	0.119
ˈœ	ˈʏ	0.496
ˈœ	ˈœ	0.194
ˈœ	w	0.133
ˈœ	ˈiː	0.127
ˈɔ	ˈɔ	0.442
ˈɔ	ˈʊ	0.36
ˈɔ	ˈoː	0.083
ˈɔ	ˈɒː	0.061
ˈɔ	ˈuː	0.046
ˈɔʏ̯	ˈiː	0.495
ˈɛ	ˈɪ	0.236
ˈɛ	ˈeː	0.179
ˈɛ	ˈa	0.105
ˈɛ	ˈɛː	0.092
ˈɛ	ˈiː	0.076
ˈɛː	ˈɛ	0.347
ˈɛː	ˈa	0.32
ˈɛː	ˈɛː	0.19
ˈɛː	ˈeː	0.072
ˈɪ	ˈɪ	0.512
ˈɪ	ˈiː	0.226
ˈɪ	ˈɛ	0.197
ˈɪ	ˈeː	0.055
ˈʊ	ˈoː	0.66
ˈʊ	ˈʏ	0.162
ˈʏ	ˈʏ	0.561
ˈʏ	ˈeː	0.28
ˈʏ	ˈoː	0.107
