Ripuarian	Eastphalian	probability
#>	#>	0.794
#>	ə_#>	0.188
<#	<#	1.0
b	b	0.974
d	d	0.85
d	-	0.145
f	f	0.832
f	p	0.087
f	b	0.056
h	h	0.968
j	ɣ	0.487
j	j	0.397
j	ŋ	0.111
k	k	0.57
k	d	0.28
k	-	0.056
k_#>	#>	0.495
l	l	1.0
m	m	1.0
n	n	0.931
n	-	0.05
p	p	1.0
s	t	0.475
s	s	0.353
s	z	0.127
t	t	0.69
t	d	0.265
v	v	0.561
v	m	0.278
x	x	0.446
x	x_t	0.231
x	k	0.201
x	ɣ	0.099
z	z	0.877
z	s	0.12
ŋ	ŋ	0.505
ŋ	n	0.492
ɐ	ɐ	1.0
ɕ	ç	0.433
ɕ	k	0.317
ɕ	-	0.073
ɕ	j	0.073
ɕ	ɣ	0.061
ɕ	x	0.051
ə	n	0.64
ə	-	0.206
ə	ɪ	0.08
ə	ə	0.063
ə_#>	#>	1.0
ɣ	j	0.158
ɣ	ɣ	0.158
ɣ	ɡ	0.078
ɪ	ɪ	1.0
ʀ	r	0.868
ʃ	ʃ	0.548
ʃ	s	0.449
ʋ	v	0.903
ʋ	w	0.091
ʦ	t	0.87
ʦ	ɐ_t	0.125
ˈa	ˈa	0.528
ˈa	ˈɔ	0.139
ˈa	ˈɪ	0.115
ˈa	ˈaː	0.058
ˈa	ˈɛː	0.058
ˈa	ˈɛ	0.05
ˈaʊ̯	ˈuː	0.53
ˈaʊ̯	ˈoː	0.149
ˈaʊ̯	ˈɔ	0.092
ˈaː	ˈa	0.451
ˈaː	ˈɒː	0.289
ˈaː	ˈɛː	0.105
ˈaː	ˈaː	0.082
ˈaː	ˈɛ	0.062
ˈe	ˈɪ	0.794
ˈe	ˈɛ	0.13
ˈe	ˈœ	0.069
ˈeɪ̯	ˈɛɪ̯	0.594
ˈeɪ̯	ˈiː	0.194
ˈeɪ̯	ə	0.074
ˈeː	ˈɛɪ̯	0.855
ˈeː	ˈɪ	0.084
ˈeː	ˈiː	0.055
ˈiː	ˈiː	0.442
ˈiː	ˈɛɪ̯	0.229
ˈiː	ˈeː	0.112
ˈiː	ˈɛː	0.112
ˈiː	ˈɪ	0.082
ˈo	ˈʊ	0.626
ˈo	ˈɔ	0.372
ˈoː	ˈaʊ̯	0.327
ˈoː	ˈɒː	0.23
ˈoː	ˈeo̯	0.152
ˈoː	ˈʊ	0.106
ˈoː	ˈoː	0.093
ˈu	ˈɔ	0.74
ˈu	ˈuː	0.137
ˈuː	ˈeo̯	0.594
ˈuː	ˈuː	0.397
ˈyː	ˈøː	0.367
ˈyː	ˈuː	0.211
ˈyː	ˈɔʏ̯	0.211
ˈyː	ˈyː	0.158
ˈøː	ˈɔʏ̯	0.564
ˈøː	ˈɒː	0.197
ˈøː	ˈøː	0.129
ˈøː	ˈyː	0.06
ˈœ	ˈʏ	0.545
ˈœ	ˈœ	0.214
ˈœ	ˈiː	0.132
ˈœ	w	0.061
ˈɔ	ˈɔ	0.461
ˈɔ	ˈʊ	0.326
ˈɔ	ˈoː	0.093
ˈɔ	ˈuː	0.053
ˈɔʏ̯	ˈiː	0.495
ˈɛ	ˈɪ	0.239
ˈɛ	ˈeː	0.181
ˈɛ	ˈɛ	0.108
ˈɛ	ˈa	0.107
ˈɛ	ˈɛː	0.094
ˈɛ	ˈiː	0.076
ˈɛ	ˈaː	0.075
ˈɛ	ˈœ	0.07
ˈɛː	ˈɛ	0.347
ˈɛː	ˈa	0.32
ˈɛː	ˈɛː	0.19
ˈɛː	ˈeː	0.072
ˈɪ	ˈɪ	0.485
ˈɪ	ˈiː	0.237
ˈɪ	ˈɛ	0.206
ˈɪ	ˈeː	0.056
ˈʊ	ˈoː	0.66
ˈʊ	ˈʏ	0.162
ˈʏ	ˈʏ	0.561
ˈʏ	ˈeː	0.28
ˈʏ	ˈoː	0.107
