German	Gothic	probability
h	h	1.0
j	j	1.0
kʰ	k	1.0
tʰ	d	1.0
z	s	1.0
ʦ	t	1.0
ˈuː	ˈoː	1.0
ˈøː	ˈɔː	1.0
ˈɪ	ˈi	1.0
ˈaː	ˈa	0.671
ˈeː	ˈi	0.381
d̥	d_s	0.222
f	f	0.742
t	θ_s	0.22
ç	k	0.882
ɐ	-	0.2
ˈa	s_#>	0.272
d	θ	0.863
n	nː	0.073
x	h	0.913
ŋ	ŋ	0.473
ʁ	r	0.93
ʃ	s_k	0.523
ˈiː	ˈiu̯	0.533
ˈʊ	ˈu	0.933
b	β_a	0.054
f	p_a	0.14
l	l	0.884
n	a_n	0.124
s	t_s	0.264
s	s	0.434
ɐ	r	0.614
ə	a	0.504
ˈaʊ̯	ˈɔː	0.554
ˈoː	ˈu	0.164
ˈoː	ˈɔː	0.484
ˈɔ	ˈu	0.54
ˈɔʏ̯	ˈiu̯	0.34
ˈɛ	ˈi	0.154
b	β	0.095
b	b	0.85
b̥	b	0.125
b̥	f_s	0.875
m	m_s	0.185
m	m	0.815
n	n	0.655
v	-	0.095
v	w	0.905
ŋ	h	0.05
ɡ	ɣ	0.295
ɡ	ɡ	0.705
ɡ̊	ɡ_s	0.195
ɡ̊	x_s	0.805
ˈa	ˈa	0.675
ˈoː	ˈɔ	0.155
ˈɔ	ˈi	0.095
ˈɔ	ˈɔ	0.365
s	t_a	0.066
s	t	0.236
ɐ	a_r	0.086
ə	oː	0.386
ˈaɪ̯	ˈiː	0.406
ˈeː	ˈa	0.326
ˈɔʏ̯	j	0.66
ˈɛ	ˈa	0.466
d	θ_a	0.137
f	p	0.077
t	d	0.087
t	ð	0.197
t	t	0.267
x	k	0.087
ŋ	ŋ_ɡ	0.477
ʁ	s	0.07
ʃ	s	0.477
ˈaɪ̯	ˈɛː	0.587
ˈaʊ̯	ˈuː	0.297
ˈeː	ˈɛ	0.27
ˈiː	ˈi	0.467
ˈʊ	ˈɔ	0.067
d̥	d_u	0.28
d̥	θ	0.498
l	h_l	0.068
t	θ	0.18
ç	k_s	0.118
ˈoː	ˈeː	0.198
n	n_s	0.09
ə	j_a	0.109
ˈaʊ̯	ˈiu̯	0.149
ˈaː	ˈeː	0.329
ˈɛ	ˈɛ	0.379
