Ripuarian	East Franconian	probability
ˈʏ	-	1.0
ˈʊ	ˈʊ	1.0
ˈɔ	ˈɔ	1.0
ˈøː	ˈiː	1.0
ˈøʏ̯	ˈaɪ̯	1.0
ˈyː_ɕ	ə	1.0
ˈyː	ˈaɪ̯	1.0
ˈy	ˈɘ	1.0
ˈu	ˈʊ	1.0
ˈoʊ̯	-	1.0
ˈi	ˈiː	1.0
ʃ	ʃ	1.0
ʀ_ˈøː	r	1.0
ʀ_ə	ɐ_n	1.0
ʀ_m	ɐ_m	1.0
ɪ	-	1.0
ɣ̊	ɣ̊	1.0
ɣ_ə	ŋ	1.0
ɡ̊	d̥	1.0
ə_f	f_a	1.0
ɐ	ɐ	1.0
ŋ_ɡ̊	n_d̥	1.0
z̥	z̥	1.0
v_ə	m	1.0
v	β	1.0
t	d̥	1.0
s_ə	z̥_n	1.0
n_z̥	n_s	1.0
l	l	1.0
k_ə	n	1.0
j_ə	ŋ	1.0
h	h	1.0
e	eː	1.0
d_ˈeː	d̥_ˈiː	1.0
b	b̥	1.0
f	f	0.965
m	m	0.937
ɫ	l	0.925
z	s	0.916
ʦ	ʦ	0.879
j	ɡ̊	0.879
ʋ	v	0.877
ˈɔː	ˈoː	0.873
d̥	d̥	0.861
d	d̥	0.847
n	n	0.825
ˈɛː	ˈɛ	0.731
ˈa	ˈɒ	0.694
ŋ	ŋ	0.694
ˈe	ˈɪ	0.682
ɕ	ç	0.677
k	kʰ	0.657
ˈœ	ˈɪ	0.646
ʀ	r	0.63
s	s	0.628
ˈɔʊ̯	ˈaː	0.624
ˈo	ˈʊ	0.621
ˈeː	ˈiː	0.587
ˈuː	ˈaʊ̯	0.586
x	x_d̥	0.574
ˈoː	ˈuː	0.566
ˈeɪ̯	ˈaː	0.562
ˈaː	ˈoː	0.524
p	b̥͡v̥	0.495
ˈaː	ˈɒ	0.476
ˈɪ	ˈɪ	0.473
ˈiː	ˈaɪ̯	0.46
ˈɛ	ˈɛ	0.438
ˈeɪ̯	ˈaɪ̯	0.438
ə	n	0.426
x	x	0.426
ˈuː	ˈuː	0.414
ə	a	0.384
ˈɔʊ̯	ˈaʊ̯	0.376
ʀ	ɐ	0.37
ˈœ	-	0.354
k	ɡ̊	0.343
ˈiː	ˈiː	0.33
ɕ	-	0.323
ŋ	n	0.306
ˈoː	ˈɔ_ɐ	0.278
ˈɪ	ˈiː	0.274
s	z̥	0.269
p	f	0.257
ˈɛ	-	0.254
ˈɪ	ˈaɪ̯	0.252
p	-	0.248
ˈeː	ˈaː	0.221
ˈo	ˈɔ	0.218
ˈɛ	ˈeː	0.212
ˈiː	-	0.21
ˈeː	ˈeː	0.192
ˈɛː	-	0.183
n	-	0.175
ˈo	-	0.161
ə	-	0.157
ˈoː	ˈaː	0.156
ˈa	ˈoː	0.156
d	ɾ	0.153
d̥	ɐ_d̥	0.139
ˈe	ˈɛ	0.133
ˈɔː	ɐ	0.127
ˈa	-	0.127
ˈe	-	0.124
ʋ	v_ˈɔ	0.123
ʦ	ɐ_ʦ	0.121
j	j	0.121
s	ʃ	0.103
ˈɛ	ˈa	0.096
ˈɛː	ɣ	0.085
z	-	0.084
ɫ	l_n	0.075
m	m_ˈʊ	0.063
ˈe	ˈiː	0.061
