Old Prussian	Old Prussian	probability
ŋ	ŋ	1.0
v_i	vʲ	1.0
uː	uː	1.0
s_#>	#>	1.0
n_#>	#>	1.0
j	j	1.0
iː	-	1.0
eːi̯	-	1.0
eː	eː	1.0
e_n	eː	1.0
e_#>	#>	1.0
aːu̯	ɐʊ̯	1.0
aːi̯	-	1.0
aː	ɐ_ˈ	1.0
ai̯	vʲ_iə̯_̂	1.0
a_n	̌	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	s_#>	1.0
k	k	0.8
d	d	0.7
s	s	0.676
r	r	0.667
<#_a	<#_ɐ	0.667
a	ɐ	0.632
z	ʑ	0.6
p	-	0.6
l	lʲ	0.583
v	v	0.556
m	m	0.556
ɡ	ɡʲ	0.5
ɡ	ɡ	0.5
b	bʲ	0.5
b	b	0.5
au̯	ɐʊ̯	0.5
au̯	-	0.5
v	vʲ	0.444
n	n	0.444
m	mʲ	0.444
t	tʲ	0.429
t	t	0.429
l	ɫ	0.417
z	ʒ	0.4
p	pʲ	0.4
i	ɪ	0.36
o	ɐ	0.357
o	-	0.357
r	rʲ	0.333
<#_a	<#	0.333
i	ɪ_ˈ	0.32
u	ɐ	0.308
u	uː_̂	0.308
d	dʲ	0.3
o	ɐ_ˈ	0.286
n	s	0.278
e	æː_̌	0.267
i	ɐ	0.24
u	ʊ	0.231
a	aː_̌	0.211
k	kʲ	0.2
e	ɛ	0.2
e	eː	0.2
e	-	0.2
n	-	0.167
a	-	0.158
u	-	0.154
t	-	0.143
s	sʲ	0.135
e	iː_̌	0.133
n	iə̯	0.111
s	ʃ	0.081
i	-	0.08
s	ɕ_ɪ	0.054
s	ɕ	0.054
