Russian	Belarusian	probability
ˈɵ	ˈɵ	1.0
ˈɨ	ˈɨ	1.0
ˈɛ	ˈɛ	1.0
ˈæ	ˈæ	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi	ˈi	1.0
ʨ	ʧ	1.0
ʦ	ʦ	1.0
ʐ	ʐ	1.0
ʊ	u	1.0
ʂ	ʂ	1.0
ɪ_j	i	1.0
ɨ_j	ɨ	1.0
ɨ	ɨ	1.0
ɡ	ɣ	1.0
ɐ	a	1.0
zʲ	zʲ	1.0
x	x	1.0
vʲ	vʲ	1.0
v	v	1.0
tʲ	ʦʲ	1.0
t	t	1.0
sʲ	sʲ	1.0
s	s	1.0
rʲ_ɪ	r_a	1.0
rʲ	r	1.0
r	r	1.0
p	p	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ_#>	m_#>	1.0
mʲ	mʲ	1.0
m	m	1.0
lʲ	lʲ	1.0
kʲ	kʲ	1.0
k_#>	x_#>	1.0
k	k	1.0
j	j	1.0
dʲ	ʣʲ	1.0
d	d	1.0
bʲ	bʲ	1.0
b	b	1.0
<#_ɐ	<#_a	1.0
ə	a	0.92
ˈe	ˈe	0.917
ɫ	ɫ	0.833
ˈa	ˈa	0.762
z	z	0.714
pʲ	pʲ	0.714
ɪ	æ	0.571
z	zʲ	0.286
pʲ	p	0.286
ˈa	ˈæ	0.238
ɪ	e	0.238
ɫ	w	0.167
ɪ	ɨ	0.095
ɪ	a	0.095
ˈe	ˈɛ	0.083
ə	ʌ	0.08
