Romansch	Corsican	probability
a	a	0.53
a	u	0.208
a	ˈa	0.134
b	b	0.902
b	-	0.095
d	d	0.568
d	t	0.302
d	-	0.061
eː	i	0.518
f	f	0.772
f	-	0.078
f	v_u	0.074
f	v_e	0.068
i	u	0.426
i	e	0.239
i	i	0.208
i	-	0.12
j	-	0.485
j	e	0.204
j	j	0.178
j	i	0.096
j_ˈa	ˈe	0.268
j_ˈɛ	ˈi	0.401
j_ˈɛ	ˈɔ	0.349
j_ˈɛ	ˈo	0.171
k	k	0.935
k	ɡ	0.065
k_l	c	1.0
l	l	0.752
l	j	0.135
l	l_e	0.059
m	m	0.968
n	n	0.797
n	n_e	0.092
o	u	0.416
o	o	0.187
p	p	1.0
r	r	0.8
r	-	0.2
s	s	0.651
s	-	0.184
s	z_u	0.051
t	t	0.536
t	t_u	0.135
t	-	0.07
t	t_e	0.07
t	t_t	0.055
t	d_e	0.055
u	u	0.343
u	ˈɔ	0.204
u	o	0.178
u	w	0.092
u	ˈo	0.09
u	i	0.07
v	v	0.739
v	p	0.104
v	b	0.096
v	-	0.055
w	-	0.432
w	k_u	0.202
w	u	0.176
w	d_u	0.078
w	l	0.075
w_n	n	1.0
z	z	0.66
z	d	0.177
ŋ	ŋ	1.0
ə	a	0.774
ə	e	0.079
ə	-	0.06
ə_r	e	1.0
ɡ	ɡ	0.709
ɡ	-	0.122
ɡ	ɟ	0.096
ɡ	k	0.073
ɡ_l	ɟ	1.0
ɲ	ɲ	0.939
ɲ	n	0.064
ʃ	ʧ_e	0.262
ʃ	s	0.222
ʃ	ʃ	0.202
ʃ	ɟ	0.152
ʃ	ʒ	0.067
ʃ	ʧ	0.067
ʎ	ʎ	0.494
ʎ	l	0.125
ʎ	c_u	0.116
ʎ	c	0.097
ʎ	-	0.089
ʒ	v	1.0
ʥ	ɟ	0.336
ʥ	ʤ	0.204
ʥ	b	0.117
ʥ	j	0.117
ʥ	d	0.092
ʥ	ɡ	0.076
ʥ	k	0.055
ʦ	ʦ	0.346
ʦ	ʧ	0.223
ʦ	t	0.199
ʦ	ʣ	0.142
ʧ	ʧ	0.764
ʧ	ʦ	0.086
ʧ	c	0.084
ʧ	k	0.072
ʨ	k	0.71
ʨ	t_u	0.119
ʨ	t_e	0.061
ˈa	ˈa	0.876
ˈa_j	ˈɛ	0.859
ˈa_j	ˈe	0.129
ˈa_w	ˈo	0.496
ˈa_w	ˈɔ	0.484
ˈaː	ˈa	0.928
ˈaː	ˈi	0.075
ˈe	ˈɛ	0.568
ˈe	ˈa	0.125
ˈe	ˈɔ	0.072
ˈe	e	0.063
ˈe	ˈu	0.063
ˈe	a	0.054
ˈe	ˈo	0.054
ˈeː	ˈe	0.517
ˈeː	ˈɛ	0.45
ˈi	ˈi	0.585
ˈi	ˈu	0.279
ˈi	ˈɛ	0.057
ˈi_ə	ˈe	0.488
ˈi_ə	ˈɛ	0.28
ˈi_ə	ˈo	0.181
ˈiː	ˈi	0.574
ˈiː	ˈu	0.297
ˈiː_r	e	0.644
ˈiː_r	ˈi	0.253
ˈo	ˈɔ	1.0
ˈoː	ˈɔ	0.518
ˈu	ˈɔ	0.588
ˈu	ˈu	0.209
ˈu	ˈo	0.188
ˈuɔ̯	ˈɔ	0.518
ˈuː	ˈo	0.74
ˈuː	ˈɔ	0.15
ˈɔ	ˈɔ	0.453
ˈɔ	ˈa	0.364
ˈɔ	ˈo	0.142
ˈɔː	ˈɔ	0.758
ˈɔː	ˈa	0.192
ˈɛ	ˈe	0.45
ˈɛ	ˈɛ	0.342
ˈɛ	ˈi	0.068
ˈɛ	ˈɛ_l	0.065
ˈɛː	ˈɛ	1.0
