Lengadocian	Lengadocian	probability
ˈɛ_ʦ	ˈæ_w	1.0
ˈɔ	ˈɒ	1.0
ˈu_ʦ	ˈæ_w	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈi	ˈi	1.0
ˈe_#>	ˈæ_#>	1.0
ˈa_ʦ	ˈa_w	1.0
ˈa_w	ˈɒ	1.0
ˈa_t	ˈa_t	1.0
ˈa_s	ˈa_s	1.0
ˈa_l	ˈa_l	1.0
ˈa_#>	ˈa_r_#>	1.0
ʤ	ʤ	1.0
ʀ_#>	r_n_#>	1.0
ɾ_e	r	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈu	1.0
ɥ_ˈɔ	ˈɒ	1.0
ɥ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z_ˈu	ˈo	1.0
y	-	1.0
w_t	l_t	1.0
w	w	1.0
t	t	1.0
s_ˈɛ	s_ˈæ	1.0
s_k	s_k	1.0
p_#>	p_#>	1.0
p	p	1.0
nː	b_r	1.0
n_ˈe	n_ˈæ	1.0
mː	mː	1.0
m_#>	m_#>	1.0
m	m	1.0
lː	-	1.0
l_ˈe	ʎ_ˈe	1.0
l_e	ʎ_e	1.0
k	k	1.0
j_ʀ	w_ɾ	1.0
j_ɾ	ɾ	1.0
j_s	ʃ	1.0
f	f	1.0
<#_ˈɔ	<#_ˈɒ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_e	<#_e	1.0
<#_a_w	<#_o	1.0
#>	r_#>	1.0
s	s	0.971
d	d	0.909
ˈy	ˈu	0.905
a	a	0.9
ʀ	r	0.895
u	o	0.895
ˈa	ˈa	0.891
ʎ	ʎ	0.889
n	n	0.884
ɣ	ɣ	0.833
n_#>	n_t_#>	0.8
i	i	0.778
ˈe	ˈæ	0.704
z	z	0.667
j_ˈɛ	ˈi	0.667
ˈɛ	ˈe	0.656
ˈu	ˈo	0.639
ʧ	t	0.6
j	j	0.6
b	v	0.595
β	β	0.579
ɔ	ɐ	0.532
l	l	0.514
e	e	0.509
l	ʎ	0.486
β	v	0.421
b	b	0.405
j	-	0.4
z	-	0.333
j_ˈɛ	ˈe	0.333
ˈe	ˈe	0.296
ɔ	ɜ	0.278
ˈɛ	ˈæ	0.25
ˈu	ˈɒ	0.25
i	k	0.222
ʧ	ʧ	0.2
ʧ	j_t	0.2
n_#>	#>	0.2
ɔ	ɞ	0.19
e	ɜ	0.182
ɣ	ɡ	0.167
e	ɞ	0.127
ˈu	ˈu	0.111
ʎ	ɫː	0.111
ʀ	ɾ	0.105
u	u	0.105
a	e	0.1
ˈy	ˈo	0.095
ˈɛ	ˈi	0.094
e	i	0.091
d	-	0.091
ˈa	w_ˈa	0.073
n	ɲ	0.07
e	-	0.055
