Old High German	Elfdalian	probability
ˈɑ_r	ˈɑ_r	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈɑ_l	ˈɔː	1.0
ˈɑ_h	ˈɔː	1.0
ˈie̯	ˈæː	1.0
ˈi_r	ˈɪ̃ː	1.0
ˈeː	j	1.0
ˈe	ˈɛ	1.0
ɡ_r	ɡ_r	1.0
ɛ	ɛ	1.0
ə	a	1.0
ɑ_n	ɑ	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
x_t	tː	1.0
w_ˈo	ˈʉ	1.0
u	-	1.0
tː	ð	1.0
s̻ː	t	1.0
s_t	s_t	1.0
s_l	l̥	1.0
s	s	1.0
rː	rː	1.0
r	r	1.0
p͡f	pʰ	1.0
p	p	1.0
oː	ɑ	1.0
nː	nː	1.0
n_s	sː	1.0
n_i	n	1.0
n_d	nː	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l_ˈɑ	ɽ	1.0
kː_ɑ	ɡː	1.0
kː	ʥː	1.0
kʰ	kʰ	1.0
i_f	v	1.0
fː	p	1.0
f_ˈo	f	1.0
eː	-	1.0
e	ɑ	1.0
s̻	t	0.857
l	ɽ	0.772
ˈou̯	ˈœː	0.76
ʦ	tʰ	0.751
ˈi	ˈɪ	0.741
ˈuː	ˈɑːu̯	0.738
ˈio̯	j_ˈʉːə̯	0.73
f	f	0.715
w	w	0.711
ˈiː	ˈɑːi̯	0.705
i	-	0.698
o	-	0.692
n	n	0.679
ˈei̯	ˈiːe̯	0.656
d	tʰ	0.656
k	ʨ	0.634
b	b	0.626
ˈuo̯	ˈʉːə̯	0.617
x	k	0.606
h	j	0.563
ˈɑː	-	0.52
t	d	0.511
ˈiu̯	ˈʏː	0.5
ˈiu̯	-	0.5
ˈɑː	ˈɔː	0.48
ˈoː	ˈœː	0.465
h	ˈoː	0.437
ˈɑ	ˈɑ	0.435
ˈu	ˈʉ	0.434
ɡ	ɡ	0.41
ˈo	ˈʉə̯	0.408
ɑ	ɛ	0.397
ˈo	-	0.392
ˈɛ	-	0.388
ˈuo̯	ˈyːœ̯	0.383
xː	k	0.377
b	v	0.374
k	k	0.366
t	ð	0.349
d	-	0.344
ɡ	ɣ	0.343
ˈoː	ˈæː	0.341
ˈɑ	ˈɑː	0.331
xː	ʨ	0.312
xː	-	0.312
o	ɑ	0.308
ˈiː	ˈɪː	0.295
ˈuː	ˈʉː	0.262
ʦ	t	0.249
ˈei̯	ˈɛ	0.242
ˈou̯	-	0.24
f	p	0.237
w	-	0.218
ɑ	ɑ	0.206
x	ɣ	0.205
ɑ	-	0.204
ˈo	ˈʉ	0.2
ˈɛ	j	0.196
ˈoː	ˈoː	0.194
ɑ	ɔ	0.194
ˈɛ	ˈæ	0.191
x	-	0.189
ˈu	ˈʉə̯	0.185
n	ɑ	0.16
ˈɑ	ˈɔ	0.153
ˈu	-	0.145
s̻	-	0.143
ˈio̯	ˈʉːə̯	0.136
ˈio̯	-	0.134
ˈɛ	ˈɛ	0.129
ˈi	-	0.126
ɡ	-	0.126
ɡ	ʥ	0.12
ˈi	ˈɪː	0.11
ˈei̯	-	0.102
i	ʉ	0.102
i	ɛ	0.102
n	ɔ	0.097
ˈɛ	j_ˈæ	0.095
ˈu	ˈʉː	0.09
l	-	0.088
l	l	0.084
ˈɑ	ˈo	0.081
ˈu	ˈʏ	0.079
t	-	0.075
w	ˈʉ	0.071
ˈu	ˈɛ	0.067
t	t	0.066
n	-	0.065
i	ʏ	0.059
l	ˈʉːə̯	0.055
