Belarusian	Belarusian	probability
ˈ_#>	#>	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ̥	-	1.0
ʣʲ	d	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʌ	-	1.0
ʉ	-	1.0
ɫ_ɨ	w	1.0
ɫ_#>	w_#>	1.0
ɨ_#>	#>	1.0
ɣʲ	ɡ̊	1.0
ɣ_o	ɡ	1.0
ɣ	ɡ	1.0
z̥	-	1.0
zʲ	z	1.0
xʲ_i	́_x	1.0
x_#>	ɡ̊_#>	1.0
x	x	1.0
vʲ	ʋ	1.0
v_ɨ	ʋ	1.0
v_o	o	1.0
v_a	ʋ_a	1.0
v	ʋ	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ɨ	ə_r	1.0
r_#>	r_#>	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n_ɨ	ə_n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	w_#>	1.0
lʲ	l	1.0
kʲ	ə_k	1.0
k	k	1.0
j	j	1.0
i_#>	#>	1.0
d̥ʲ	d	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_#>	ɔ_#>	1.0
<#_ʦʲ	<#_t	1.0
<#_x	<#_x	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_a	<#_ɔː	1.0
#>	́_#>	1.0
ˈ	-	0.967
ɫ	l	0.882
sʲ	s	0.818
n	n	0.818
r	r	0.783
o_ˈ	oː_́	0.75
z	̀_z	0.625
ɨ	-	0.6
a_ˈ	aː_̀	0.583
w	́_w	0.571
e_ˈ	eː_́	0.538
ɵ_ˈ	̀	0.5
ɵ_ˈ	ə	0.5
ɵ	ə_́	0.5
ɵ	eː_́	0.5
ɛ	eː	0.5
ɛ	-	0.5
u_ˈ	oː_́	0.5
u_ˈ	oː_̀	0.5
i	-	0.5
d̥	́_d̥	0.5
d̥	d̥	0.5
ʦʲ	t_i	0.471
e	ɛ	0.467
e_ˈ	eː	0.462
w	ʋ	0.429
u	uː	0.429
ɨ	w	0.4
z	z	0.375
ʦʲ	t	0.353
a	a	0.351
ɨ_ˈ	iː_́	0.333
æ	eː	0.333
i	iː_̀	0.3
u	oː_́	0.286
u	-	0.286
ɨ_ˈ	iː	0.25
ɨ_ˈ	i	0.25
a_ˈ	a	0.25
æ	-	0.238
r	̀_r	0.217
i	iː	0.2
e	ə	0.2
e	e	0.2
æ	ɛː_̀	0.19
sʲ	́_s	0.182
n	̀_n	0.182
ʦʲ	́_t	0.176
o	ə	0.174
o	ɔː	0.174
ɨ_ˈ	i_́	0.167
a_ˈ	aː	0.167
a	-	0.158
æ	eː_̀	0.143
e	ə_́	0.133
o	ɔ_́	0.13
o	ɔ	0.13
o	-	0.13
o_ˈ	́	0.125
o_ˈ	oː	0.125
ɫ	ə	0.118
æ	ɛ	0.095
a	ɔː_̀	0.088
a	oː	0.088
o	ə_́	0.087
o	aː_́	0.087
o	aː	0.087
a	eː_̀	0.07
a	ɛ	0.053
a	eː	0.053
a	aː_̀	0.053
a	aː	0.053
