Upper Sorbian	Upper Sorbian	probability
ʧ_ɔ	ʨ_ɪ	1.0
ʥ	dʲ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʀʲ	rʲ	1.0
ʀ_#>	r_#>	1.0
ʀ	r	1.0
ɲ	nʲ	1.0
ɥ	vʲ	1.0
ɛ_ʨ	ɪ_tʲ	1.0
ɔ_#>	#>	1.0
z̥	z̥	1.0
xʲ	-	1.0
w_u	u	1.0
w_#>	ɫ_#>	1.0
s_#>	s_#>	1.0
pʲ	pʲ	1.0
p_ɔ	pʲ_e	1.0
p	p	1.0
o_d̥	d̥	1.0
o	o	1.0
n	n	1.0
mʲ	mʲ	1.0
m_ɔ	m_o	1.0
kʲ	kʲ	1.0
k	k	1.0
d̥	d̥	1.0
d_w	ɫ	1.0
d	d	1.0
bʲ	bʲ	1.0
b	b	1.0
a_w	f	1.0
<#_w_ɔ	<#_ɐ	1.0
<#_t	<#_t	1.0
#>	ə_#>	1.0
ʨ	tʲ	0.905
t	t	0.875
l	lʲ	0.8
s	s	0.719
x	x	0.692
ʃ	-	0.667
z	z	0.667
j	-	0.667
b̥	b̥	0.667
a	a	0.66
ɦ	ɡ	0.647
<#_j	<#_j	0.625
m	m	0.615
ʦ	ʦ	0.6
e	e	0.6
w	ɫ	0.559
u	u	0.438
ɪ	ɨ_j	0.419
ʦ	ʨ	0.4
i	i	0.389
m	mʲ	0.385
<#_j	<#	0.375
ɔ	o	0.354
ʃ	ʂ	0.333
ɛ	ɪ	0.333
ɛ	e	0.333
z	zʲ	0.333
j	fʲ	0.333
b̥	b̥ʲ	0.333
u	ʊ	0.312
w	v	0.294
s	sʲ	0.281
ɔ	ə	0.25
ɪ	ɨ	0.226
i	ɪ_j	0.222
ɛ	-	0.208
l	ɫ	0.2
ɪ	-	0.194
a	ə	0.191
ɔ	ɐ	0.188
u	-	0.188
i	ɨ	0.167
ɪ	j	0.161
x	ɡ̊	0.154
x	ə	0.154
ɛ	o	0.125
t	-	0.125
e	ɪ	0.12
e	o_ˈ	0.12
ɦ	ɡ_ə	0.118
ɦ	ɡ_o	0.118
ɦ	-	0.118
i	ɪ	0.111
i	j	0.111
a	ɪ	0.106
ɔ	ɵ_ˈ	0.104
ʨ	-	0.095
w	v_ɨ	0.088
e	ɵ	0.08
e	-	0.08
ɔ	ɪ	0.062
u	ʉ	0.062
w	ɐ	0.059
