Megleno-Romanian	Megleno-Romanian	probability
ˈɔ	ˈa	1.0
ˈu_k	ˈɔ	1.0
ˈa_p	ˈa	1.0
ʦ_i	θ	1.0
ʤ	z	1.0
ʒ	ð	1.0
ʃ	s	1.0
ɲ	-	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
v	v	1.0
t_i_#>	#>	1.0
t	t	1.0
s	s	1.0
r_#>	l_#>	1.0
p_t	t	1.0
n_i_#>	#>	1.0
n_#>	ŋ_#>	1.0
kʲ	p	1.0
k_ʎ	ʧ	1.0
k_#>	ɡ_o_#>	1.0
f	f	1.0
e̯ˈa_w	ˈe	1.0
e̯ˈa	ˈe	1.0
e	-	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_w_ˈo	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
ə	a	0.926
l	l	0.85
r	r	0.821
ˈu	ˈo	0.769
d	d	0.75
j	-	0.7
u	o	0.667
n	n	0.652
ˈa	ˈa	0.647
z	ð	0.6
r_i_#>	r_#>	0.6
m	m	0.6
p	p	0.583
o̯ˈa	ˈo	0.571
#>	a_#>	0.571
ˈi	ˈe	0.538
ˈo	ˈo	0.5
k	ɡ	0.5
k	k	0.5
i	e	0.471
ˈi	ˈi	0.462
ʦ	θ	0.444
ˈe	ˈɛ	0.429
ˈe	ˈe	0.429
ʎ	ʧ	0.429
o̯ˈa	ˈɔ	0.429
#>	l_#>	0.429
z	-	0.4
r_i_#>	l_#>	0.4
ˈa	ˈɛ	0.353
ˈo	-	0.333
ʦ	-	0.333
u	-	0.333
j	ŋ	0.3
i	-	0.294
ʎ	j	0.286
ʎ	-	0.286
m	ŋ	0.267
n	ŋ	0.261
p	t	0.25
d	-	0.25
i	o	0.235
ˈu	ˈu	0.231
ʦ	t	0.222
ˈo	ˈɔ	0.167
p	k_w	0.167
l	j	0.15
ˈe	-	0.143
m	-	0.133
r	l	0.107
n	-	0.087
ə	-	0.074
r	-	0.071
