Ripuarian	Proto-Germanic	probability
b	b	1.0
h	x	1.0
ɣ	ɣ	1.0
ɪ	i	1.0
ˈaː	ˈɑ	1.0
ˈeɪ̯	ˈɑi̯	1.0
ˈo	ˈu	1.0
ˈu	ˈu	1.0
ˈøː	ˈɔː	1.0
ˈœ	ˈu	1.0
ˈɔ	ˈu	1.0
ˈʊ	ˈu	1.0
ˈʏ	ˈu	1.0
d	d	0.371
k	k	0.691
l	l	0.821
m	-	0.051
m	m_i	0.071
n	ɑ_n	0.1
v	β_ɑ	0.181
z	s	0.881
ŋ	n_d	0.241
ɕ	z	0.101
ə	ɑ̃	0.051
ə	n_ɑ̃	0.781
ʀ	r_ˈi	0.101
ʃ	s_k	0.541
ˈe	ˈi	0.81
ˈuː	ˈuː	0.61
ˈyː	r_i	0.431
f	ɸ	0.912
m	m	0.642
t	ð	0.072
v̥	β_ɑ̃	0.132
x	ɣ	0.192
ɕ	ɑ_z	0.242
ə	u	0.052
ʋ	w	0.92
ˈaʊ̯	ˈuː	0.502
ˈɛː	ˈɑ	0.242
ˈɛː	ˈe_r	0.352
ˈɪ	ˈi	0.752
d̥	ð_ɑ̃	0.343
l	l_ɑ	0.103
n	n_ɑ̃	0.073
p	p	0.73
s	s_ɑ̃	0.103
t	t	0.803
ˈeː	ˈɑi̯	0.363
ˈɛ	ˈɑ	0.373
ˈɛː	ˈe	0.373
j	ɣ	0.854
p	p_ɑ	0.194
ŋ	ŋ	0.094
ɡ̊	ɑ_z	0.634
ˈiː	ˈɑi̯	0.244
ˈyː	i	0.44
ˈɪ	ˈe	0.094
ˈɪ	ˈiː	0.154
k	-	0.085
k	ɣ_j	0.175
s	t	0.175
t	t_ɛː	0.105
x	k	0.115
x	x	0.135
ɕ	k	0.395
ʦ	r_t	0.055
ʦ	t	0.945
ˈiː	ˈiː	0.55
ˈuː	ˈɑu̯_ð	0.075
ˈuː	ˈɑu̯	0.315
d	θ	0.486
n	n_i	0.06
s	t_ɑ	0.246
ŋ	ŋ_ɡ	0.316
ɕ	x_t	0.066
ˈoː	ˈɑː	0.106
d̥	d_ɑ	0.057
d̥	d	0.057
d̥	ɑ_z	0.097
p	pː	0.077
z	s_w	0.097
ɐ	-	0.117
ʃ	s	0.457
ˈa	z_#>	0.197
ˈeː	ˈeu̯	0.357
ˈoː	ˈɔː	0.367
d	ð	0.118
d̥	θ_ɑ̃	0.178
j	j	0.068
n	nː_i	0.08
n	n	0.58
s	s	0.358
v̥	β_ɑ	0.868
x	x_t	0.558
ŋ	n	0.348
ɐ	ɑ̃	0.058
ɐ	r_ɑ̃	0.068
ɐ	r	0.418
ɕ	ɣ	0.068
ɕ	k_s	0.128
ɡ̊	-	0.108
ʋ	-	0.08
ˈa	ˈɑ	0.668
ˈaʊ̯	ˈɑu̯	0.498
ˈiː	i	0.088
ˈiː	ˈi	0.118
ˈoː	ˈu	0.068
ˈoː	ˈɛː	0.198
ˈyː	ˈu	0.128
ˈɛ	ˈi	0.168
ˈɛ	ˈe	0.458
d̥	θ	0.19
j	ɣ_ɑ	0.079
m	m_ɑ	0.219
s	t_i	0.079
v	β	0.819
ɐ	r_ɑ	0.079
ɐ	ɑ_z	0.09
ɡ̊	z	0.259
ʀ	r	0.899
ˈe	ˈe	0.19
ˈeː	ˈe	0.269
ˈoː	ˈɑu̯	0.149
