Ripuarian	Proto-Germanic	probability
b	b	1.0
d	θ	0.457
d	d	0.37
d	ð	0.167
f	ɸ	0.771
f	p	0.069
f	p_ɑ̃	0.059
f	β_ɑ	0.049
f	β_ɑ̃	0.044
h	x	0.899
h	k	0.054
h	-	0.053
j	ɣ	0.858
j	j	0.12
k	k	0.423
k	d_ɑ	0.118
k	ɣ_j	0.094
k	ɡ_ɑ	0.07
k	d	0.07
l	l	0.699
l	l_ɑ	0.071
l	lː	0.053
l	x_l	0.044
l	z	0.044
m	m	0.65
m	m_ɑ	0.174
m	m_i	0.077
m	mː	0.044
m	ɔ̃ː	0.04
n	n	0.798
n	nː	0.103
n	m	0.043
n	-	0.029
n	ɑ̃	0.029
p	p	0.457
p	β_u	0.272
p	pː	0.185
s	s	0.46
s	t	0.227
s	t_ɑ	0.1
s	s_ɑ̃	0.094
s	t_i	0.08
t	t	0.258
t	ð_ɑ̃	0.186
t	θ_ɑ̃	0.114
t	θ	0.105
t	-	0.072
v	β	0.6
v	ɸ	0.125
v	-	0.094
v	x	0.094
v	xʷ	0.068
x	x_t	0.349
x	x	0.296
x	ɣ	0.258
x	k_s	0.054
z	s	0.771
z	s_w	0.16
z	s_ˈɑi̯	0.051
ŋ	n	0.422
ŋ	ŋ	0.276
ŋ	ŋ_ɡ	0.24
ŋ	m	0.055
ɐ	r	0.27
ɐ	ɛː	0.186
ɐ	r_i	0.123
ɐ	ɔː	0.114
ɐ	r_ɑ̃	0.086
ɕ	ɑ_z	0.332
ɕ	z	0.116
ɕ	k_s	0.105
ɕ	ɣ	0.091
ɕ	i_z	0.078
ə	ɑ_n	0.541
ə	ɑ	0.116
ə	ɑ̃	0.063
ə	i	0.047
ə	ɑ_z	0.047
ɣ	ɣ	1.0
ɪ	i	1.0
ʀ	r	0.923
ʀ	j	0.044
ʀ	-	0.042
ʃ	s	0.534
ʃ	s_k	0.465
ʋ	w	0.931
ʋ	xʷ	0.066
ʦ	t	0.781
ʦ	t_ɑ	0.073
ʦ	r_t	0.071
ʦ	w	0.071
ˈa	ˈɑ	0.905
ˈa	ˈi	0.053
ˈa	ɑi̯	0.047
ˈaʊ̯	ˈɑu̯	0.466
ˈaʊ̯	ˈuː	0.222
ˈaʊ̯	ɔ̃ː	0.169
ˈaʊ̯	ˈu	0.115
ˈaː	ˈɑ	1.0
ˈe	ˈi	0.798
ˈe	ˈɑi̯	0.102
ˈe	ˈe	0.072
ˈeɪ̯	j	0.277
ˈeɪ̯	ˈi	0.193
ˈeɪ̯	ˈiː	0.119
ˈeɪ̯	jː	0.084
ˈeː	ˈeu̯	0.351
ˈeː	ˈɑi̯	0.326
ˈeː	ˈe	0.158
ˈeː	ˈĩː	0.057
ˈeː	ˈeː	0.057
ˈiː	ˈiː	0.53
ˈiː	w_ɑ	0.118
ˈiː	ˈi	0.115
ˈiː	ˈeu̯	0.087
ˈiː	w	0.065
ˈo	ˈu	0.796
ˈo	ˈeu̯	0.158
ˈoː	ˈɔː	0.313
ˈoː	ˈɛː	0.204
ˈoː	ˈu_r	0.124
ˈoː	ˈɑu̯	0.1
ˈoː	ˈuː	0.097
ˈu	ˈu	0.786
ˈu	ˈɑi̯	0.165
ˈuː	ˈɑu̯	0.513
ˈuː	ˈuː	0.416
ˈuː	ˈu	0.06
ˈyː	ˈɑu̯	0.443
ˈyː	ˈiu̯	0.2
ˈyː	ˈu	0.123
ˈyː	u	0.092
ˈyː	ˈɔː	0.057
ˈøː	ˈɔː	0.45
ˈøː	ˈɔ	0.124
ˈøː	ˈiu̯	0.12
ˈøː	ˈɑu̯	0.115
ˈøː	ˈɛː	0.115
ˈœ	ˈu	0.643
ˈœ	ˈi	0.238
ˈœ	ˈe	0.083
ˈɔ	ˈu	0.833
ˈɔ	ˈɛː	0.07
ˈɔ	ˈuː	0.057
ˈɔ	ˈɑu̯	0.05
ˈɔʏ̯	ˈiu̯	0.493
ˈɛ	ˈe	0.4
ˈɛ	ˈɑ	0.328
ˈɛ	ˈi	0.183
ˈɛ	ˈɑi̯	0.059
ˈɛ	ˈiː	0.041
ˈɛː	ˈe	0.362
ˈɛː	ˈe_r	0.274
ˈɛː	ˈɑ	0.239
ˈɛː	ˈe_ɣ	0.1
ˈɪ	ˈi	0.572
ˈɪ	ˈe	0.274
ˈɪ	ˈɑ	0.107
ˈɪ	ˈiː	0.047
ˈʊ	ˈu	1.0
ˈʏ	ˈu	0.653
ˈʏ	ˈiu̯	0.14
ˈʏ	w	0.095
