Bulgarian	Bulgarian	probability
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_#>	l_ʊ_#>	1.0
ɡ̊	ɡ_ʊ	1.0
ɡ	ɡ	1.0
ɛ_m	m_ɪ	1.0
ɛ_l	ɛ_l	1.0
ɔ	ɔ	1.0
ɐ_r	r_ʊ	1.0
ɐ_#>	ɑ_#>	1.0
z	z	1.0
x_#>	x_ʊ_#>	1.0
x	x	1.0
vʲ	v	1.0
v	v	1.0
tʲ	t	1.0
t_#>	t_ɪ_#>	1.0
t	t	1.0
s_#>	s_ʊ_#>	1.0
s	s	1.0
rʲ	i	1.0
r_ɛ	r_æ	1.0
r_#>	r_ʊ_#>	1.0
pʲ	p	1.0
p	p	1.0
o_#>	ɔ_#>	1.0
o	ɔ	1.0
nʲ	n	1.0
lʲ	l	1.0
l	l	1.0
j_ɐ	t_i	1.0
j	j	1.0
i_ˈ	i	1.0
f	v_ʊ	1.0
d̥	d_ʊ	1.0
dʲ	d_æ	1.0
d	d	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
ˈ	ˈ	0.937
#>	ʊ_#>	0.909
m	m	0.895
n	n	0.889
ɫ	l	0.857
k	k	0.833
k_#>	k_ʊ_#>	0.818
ɛ_ˈ	ɛ_ˈ	0.786
r	r	0.778
a	ɑ	0.68
ʦ	ʦ	0.667
u	u	0.667
ˈ_#>	ˈ_#>	0.655
i	i	0.632
ɤ_ˈ	ˈ	0.5
ɤ_ˈ	ʊ_ˈ	0.5
ɤ	ɔ̃	0.467
i	ɯ	0.368
ˈ_#>	#>	0.345
ʦ	ɪ_ʦ	0.333
u	u_ˈ	0.333
ɛ	ɛ	0.306
a	æ	0.3
ɛ	ɛ̃	0.278
ɐ	-	0.276
ɛ_ˈ	ɛ	0.214
ɐ	ʊ	0.207
ɤ	r_ɪ	0.2
ɤ	l_ɪ	0.2
ɛ	æ	0.194
k_#>	#>	0.182
ɐ	ɪ	0.172
ɐ	ɑ	0.172
r	-	0.167
k	-	0.167
ɫ	-	0.143
ɛ	ɪ	0.139
ɤ	ɪ	0.133
n	nʲ	0.111
m	-	0.105
ɐ	t_i	0.103
#>	ˈ_#>	0.091
ɛ	-	0.083
ɐ	ɔ̃	0.069
ˈ	-	0.063
r	rʲ	0.056
