Emilian	Venetian	probability
a	a	0.946
a_d	a	1.0
b	b	1.0
d	d	0.751
d	-	0.149
d	r	0.098
d_a	a	1.0
e	e	0.418
e	-	0.364
e	a	0.08
e	o	0.074
f	f	1.0
i	i	0.511
i	e	0.357
i	j	0.113
j	j	0.626
j	-	0.156
j	ʤ_o	0.088
j	ˈi	0.057
j	ˈe	0.05
j_ˈɔː	ˈi	0.271
k	k	0.993
l	ɰ	0.333
l	l	0.257
l	o	0.133
l	-	0.118
l	ɰ_o	0.113
l_ˈa	ˈe	1.0
l_ˈɛ	ˈɛ	1.0
m	m	0.926
n	n	0.851
n	n_o	0.098
n_d	n	1.0
o	o	1.0
p	p	0.959
r	r	0.933
r	-	0.055
s	s	0.819
s	s_o	0.121
t	t	0.711
t	t_o	0.203
t	-	0.054
u	o	0.651
u	-	0.139
u	u	0.139
u	ˈɔ	0.067
v	v	0.879
v	-	0.088
w	w	0.786
w	-	0.12
w	i	0.056
z	z	0.574
z	z_o	0.152
z	s_e	0.087
z	-	0.076
z	s	0.065
z	d	0.057
ð	z	1.0
ŋ	ŋ	0.881
ŋ	-	0.07
ŋ	n	0.052
ɡ	ɡ	0.69
ɡ	ɡ_o	0.224
ɡ	ʤ	0.05
ɲ	ɲ	0.903
ɲ	n	0.095
ʤ	z	0.631
ʤ	ʤ	0.264
ʧ	ʧ	1.0
ˈa	ˈa	0.535
ˈa	ˈe	0.367
ˈa_j	ˈe	1.0
ˈaː	ˈa	0.913
ˈaː	ˈo	0.062
ˈe	ˈi	0.714
ˈe	ˈe	0.112
ˈe	-	0.064
ˈe	ˈa	0.059
ˈe	ˈɛ	0.058
ˈi	ˈi	1.0
ˈiː	ˈi	0.516
ˈiː	ˈe	0.202
ˈiː	ˈɛ	0.13
ˈiː	j_ˈe	0.076
ˈiː	-	0.065
ˈo	ˈu	0.48
ˈo	ˈɔ	0.215
ˈo	ˈo	0.187
ˈo	ˈi	0.065
ˈo	-	0.054
ˈuː	ˈu	0.51
ˈuː	ˈo	0.433
ˈuː	ˈɔ	0.063
ˈæ	ˈe	0.789
ˈæ	ˈɛ	0.115
ˈæ	e	0.075
ˈɔ	ˈɔ	0.927
ˈɔ	ˈo	0.075
ˈɔː	ˈɔ	0.723
ˈɔː	ˈo	0.153
ˈɔː	o	0.076
ˈɛ	ˈa	0.683
ˈɛ	ˈɛ	0.273
ˈɛ_l	ˈɛ	1.0
ˈɛː	ˈɛ	0.871
ˈɛː	ˈa	0.104
ˈʌ	ˈo	0.821
ˈʌ	ˈu	0.115
ˈʌ	ˈɔ	0.07
ˈʌu̯	ˈo	0.781
ˈʌu̯	ˈɔ	0.108
ˈʌu̯	ˈɛ	0.108
θ	s	0.71
θ	s_j	0.106
θ	z_o	0.081
θ	z	0.053
