Neapolitan	Latin	probability
b	b	1.0
bː	b	1.0
d	d	1.0
f	f	1.0
m	m	1.0
mː	m	1.0
o	ʊ̃ː	1.0
rː	rː	1.0
s	s	1.0
t	t	1.0
w	-	1.0
ŋ	ŋ	1.0
ʤː	ɡ	1.0
ʦː	t_i	1.0
ʧː	-	1.0
e	ɛ	0.161
j	ɫ	0.431
lː	lʲː	0.921
nː	nː	0.201
sː	s	0.601
ə	ãː	0.241
ʎː	lʲ_i	0.891
ʤ	j	0.051
ʦ	t_ɪ	0.211
ˈo	ˈʊ	0.231
j	-	0.322
p	-	0.072
r	r	0.782
ə	ɛ	0.112
ɡ	k	0.242
ɡ	ɡ	0.692
ˈu	<#_h	0.202
ˈɔ	ˈɔ	0.762
i	iː	0.173
i	ɪ	0.373
l	ɫ	0.693
nː	n	0.483
sː	-	0.243
tː	k_t	0.463
ɲː	n_i	0.193
ɲː	n_e	0.263
ɾ	-	0.153
ʃ	s	0.223
ˈɔ	ˈau̯	0.183
ˈi	ˈeː	0.174
ˈo	ˈɔ	0.094
ˈo	ˈoː	0.614
k	k	0.835
kː	kː	0.295
kː	k_ʊ	0.705
nː	n_d	0.315
sː	sː	0.155
u	-	0.265
v	b	0.355
v	w	0.645
ʃː	k	0.135
ʃː	s_k	0.865
ˈu	ˈoː	0.165
ˈu	ˈʊ	0.235
ˈɛ	ɛ	0.05
ˈɛ	ˈeː	0.275
ˈɛ	ˈɛ	0.675
i	eː	0.106
ɡ	ɡʷ	0.066
ˈe	ˈeː	0.366
ˈe	ˈɛ	0.366
ˈi	ˈiː	0.46
ˈu	ˈuː	0.366
ˈɔ	ˈʊ	0.056
a	a	0.677
j	l	0.187
k	p	0.107
l	l	0.307
r	ɛ_r	0.117
u	ʊ	0.157
ɲː	ŋ_ɡ	0.247
ɲː	i	0.297
ɾ	d	0.127
ˈa	ˈaː	0.237
ˈi	ˈiː_r	0.07
a	aː	0.268
i	ɛ	0.248
k	kʷ	0.058
r	a_r	0.088
tː	t	0.088
u	ɔ	0.578
ə	ʊ̃ː	0.38
ʃ	f_ɫ	0.058
ʃ	k	0.58
ˈa	ˈaː_r	0.088
ˈa	ˈa	0.608
ˈe	ˈɪ	0.228
e	eː	0.839
i	-	0.099
lː	-	0.079
n	n	0.969
p	p	0.9
tː	tː	0.449
ə	ɛ̃ː	0.199
ɾ	r	0.719
ʃ	-	0.139
ʎː	lʲ	0.109
ʤ	ɡ	0.949
ʦ	t	0.789
ˈi	ˈɪ_ɡ	0.099
ˈi	ˈɪ	0.179
