Nynorsk Norwegian	Old Frisian	probability
ˈɪ	ˈi	1.0
ˈœ	-	1.0
ˈæː	ˈe	1.0
ˈæʉ̯	ˈaː	1.0
ˈæɪ̯	ˈɛː	1.0
ˈæ	ˈe	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʉ	ə_d	1.0
ɲ	ˈu_ŋ	1.0
ɪ	ə	1.0
ɡː	ɡː	1.0
ɛ	-	1.0
ŋː	ŋ	1.0
v	w	1.0
tː	t_iː	1.0
tʰ	θ	1.0
t	t	1.0
sː	s	1.0
s_ˈɑ	s_ˈa	1.0
pʰ	p	1.0
mː	m	1.0
m_j	mː	1.0
m	m	1.0
kʰ	h	1.0
jː	-	1.0
j_ˈœ	ˈe	1.0
h	h	1.0
f	f	1.0
b	b	1.0
n	n	0.928
ɾ	r	0.927
k	k	0.899
ɑ	ə	0.873
p	p	0.866
s	s	0.839
l	l	0.791
ə	ə	0.772
ˈʉ	ˈu	0.741
ˈɛ	ˈe	0.711
e	ə	0.688
ˈuː	ˈoː	0.669
ˈʊ	ˈɔː	0.654
ˈiː	ˈiː	0.642
ˈøː	ˈeː	0.64
ˈyː	ˈi̯aː	0.636
d	d	0.633
ç	k	0.602
lː	l_d	0.585
ʰtː	x_t	0.58
ˈœʏ̯	-	0.562
ˈeː	ˈe	0.548
ˈʉː	ˈuː	0.534
ʋ	w	0.531
ʂ	s	0.512
ʂ	s_k	0.488
ʋ	v	0.469
ˈeː	ˈi	0.452
j	j	0.449
ˈœʏ̯	ˈɛː	0.438
ˈɔ	ˈo	0.435
ʰtː	t	0.42
ˈɑː	ˈa	0.413
ˈʏ	ˈe	0.403
ˈʏ	-	0.403
ˈʉː	ˈi̯aː	0.382
ˈoː	ˈeː	0.375
d	-	0.367
ˈɑ	ˈa	0.366
ˈyː	ˈi̯uː	0.364
ɡ	ɣ	0.362
ɡ	j	0.361
ˈøː	ð	0.36
nː	nː	0.359
ˈʊ	ˈe	0.346
ˈɑ	ˈɔː	0.326
nː	n_d	0.322
j	ɡ	0.285
ɡ	ɣ̥	0.276
j	h	0.267
e	-	0.246
ˈɑː	ˈe	0.239
ç	ʦ	0.233
ə	-	0.228
ˈuː	ˈɔː	0.22
ˈoː	ˈaː	0.22
ˈɔ	ˈuː	0.212
ˈɛ	-	0.211
lː	lː	0.208
lː	l	0.208
ˈɔ	-	0.204
nː	-	0.204
ˈɑ	ˈe	0.203
ˈʏ	w	0.194
ˈɑː	ˈe_d	0.174
ˈɑː	-	0.174
ç	θ	0.166
ˈoː	ˈɔː	0.154
ˈɔ	ˈa	0.148
ˈʉ	-	0.137
ˈoː	-	0.135
p	pː	0.134
ˈʉ	ˈuː	0.123
ˈiː	-	0.123
ˈiː	k_ˈi	0.118
ˈoː	ˈo	0.117
ˈiː	ˈi	0.117
nː	n	0.115
ˈuː	-	0.111
ˈɑ	ˈoː	0.106
k	k_ə	0.101
s	z	0.1
ɑ	j_ə	0.098
l	ˈo_l	0.088
ˈʉː	ˈo	0.084
ˈɛ	ˈi	0.079
l	-	0.07
e	ɡ_ə	0.066
s	s_w	0.061
l	d_l	0.052
