Friulian	Lombard	probability
#>	#>	0.983
<#	<#	0.991
<#_v	<#	1.0
a	a	0.594
a	-	0.098
a	ã	0.077
a	e	0.068
a	i	0.068
a	u	0.068
aː	-	0.121
b	b	1.0
c	k	0.848
c	t	0.08
c	ʧ	0.059
d	d	0.877
d	-	0.077
e	a	0.815
e	-	0.061
e	e	0.054
f	f	0.959
i	e	0.442
i	-	0.165
i	i	0.125
i	a	0.07
i	ˈɛ	0.058
i	ã	0.057
i_#>	#>	1.0
j	-	0.633
j	j	0.162
j	e	0.08
j	l	0.07
k	k	0.918
k	ʧ	0.051
k_l	ʧ	1.0
l	l	0.793
l	j	0.086
l	ʧ	0.069
l_#>	#>	1.0
m	m	0.944
m	-	0.053
n	n	0.723
n	m	0.108
n	-	0.094
n	ɲ	0.064
n_#>	#>	1.0
n_t	t	1.0
o	u	0.372
o	o	0.204
o	ũ	0.117
o	-	0.113
o	y	0.086
o	ˈyː	0.068
p	p	0.963
r	r	0.954
s	s	0.922
t	t	0.767
t	ʧ	0.181
t_#>	#>	1.0
t_r	t	1.0
u	u	0.249
u	y	0.151
u	-	0.136
u	e	0.119
u	ĩ	0.103
u	a	0.057
v	ʋ	0.86
v	-	0.051
w	w	0.273
w	ˈɔ	0.238
w	ˈø	0.18
w	-	0.141
w	e	0.087
w_ˈa	ˈɔ	1.0
w_ˈɛ	ˈɔ	1.0
z	s	0.289
z	-	0.219
z	ɡ	0.149
z	ʃ	0.143
z	z	0.098
ŋ	ˈãː	0.339
ŋ	-	0.295
ŋ	ˈũː	0.19
ŋ	ĩ	0.144
ɟ	ʤ	0.245
ɡ	ɡ	0.581
ɡ	-	0.201
ɡ	w	0.072
ɡ	ʤ	0.071
ɡ	k	0.055
ɲ	ɲ	0.665
ɲ	n	0.327
ʤ	ʤ	0.93
ʤ	ʦ	0.059
ʧ	ʧ	0.387
ʧ	ʦ	0.355
ʧ	-	0.079
ʧ	k	0.066
ʧ	ʃ	0.064
ʧ	z	0.052
ˈa	ˈa	0.875
ˈa	-	0.091
ˈa_n	ˈãː	1.0
ˈa_w	ˈɔ	1.0
ˈaː	ˈa	0.697
ˈaː	ˈaː	0.235
ˈe	ˈe	0.447
ˈe	ˈy	0.133
ˈe	ˈɔ	0.116
ˈe	ˈeː	0.107
ˈe	ˈa	0.055
ˈe	ˈẽː	0.055
ˈeː	ˈɛ	0.653
ˈeː	ˈe	0.316
ˈi	ˈi	0.52
ˈi	-	0.101
ˈi	ˈe	0.078
ˈi	ˈɛ	0.078
ˈi	ˈɛ̃ː	0.061
ˈi	ˈẽː	0.059
ˈi	ˈĩː	0.058
ˈi_n	ˈĩː	0.683
ˈi_n	ˈẽː	0.223
ˈiː	ˈe	0.446
ˈiː	ˈi	0.435
ˈiː	ˈɛ	0.099
ˈo	ˈu	0.566
ˈo	ˈũː	0.153
ˈo	ˈuː	0.093
ˈo	ˈɔ	0.093
ˈo	ˈyː	0.058
ˈoː	ˈu	0.327
ˈoː	ˈyː	0.188
ˈoː	ˈɔ	0.188
ˈu	ˈy	0.549
ˈu	-	0.187
ˈu	ˈỹː	0.108
ˈu	ˈyː	0.095
ˈuː	ˈøː	0.553
ˈuː	ˈyː	0.186
ˈuː	ˈu	0.122
ˈuː	ˈø	0.122
ˈɔ	ˈø	0.424
ˈɔ	ˈɔ	0.171
ˈɔ	ˈu	0.134
ˈɔ	ˈo	0.117
ˈɔ	ˈũː	0.077
ˈɛ	ˈɛ	0.67
ˈɛ	ˈe	0.168
ˈɛ	-	0.064
ˈɛː	ˈɛ	1.0
