Nynorsk Norwegian	Luxembourgish	probability
b	b	1.0
d	d	0.63
d	t	0.31
d	-	0.059
e	-	0.67
e	ə	0.121
e	ɐ	0.08
e	ˈaː	0.08
f	f	1.0
h	h	0.954
j	-	0.44
j	ɡ	0.291
j	l	0.154
j	ʑ	0.059
j	ˈɛː	0.056
jː	ˈɑɪ̯	0.5
jː	ˈɑʊ̯	0.5
k	ɕ	0.56
k	χ	0.215
k	-	0.172
k	k	0.053
kʰ	kʰ	0.926
kʰ	-	0.074
l	l	1.0
lː	l	1.0
m	m	0.897
m	v	0.056
mː	m	1.0
n	n	0.872
n	ŋ	0.107
nː	n	0.892
nː	-	0.108
p	f	0.894
p	p	0.106
pʰ	f	1.0
s	ʃ	0.445
s	z	0.339
s	s	0.193
sː	s	1.0
t	s	0.731
t	t	0.22
tʰ	d	0.674
tʰ	ʦ	0.228
tʰ	b	0.097
tː	ʦ	1.0
v	v	1.0
ŋ	e	1.0
ŋː	ŋ	0.991
ɑ	ə	0.924
ɑ	-	0.067
ɕ	kʰ	0.524
ɕ	d	0.227
ɕ	ɕ	0.179
ɕ	t	0.07
ɕː	ʦ	0.895
ɕː	k	0.105
ə	ɐ	0.681
ə	-	0.201
ə	ˈɑɪ̯	0.118
ɛ	-	0.626
ɛ	ɐ	0.374
ɡ	ɡ	0.403
ɡ	-	0.372
ɡ	ɕ	0.218
ɡː	k	0.764
ɡː	-	0.236
ɲ	ŋ	1.0
ɾ	ʀ	0.428
ɾ	ɐ	0.416
ɾ	d_ɐ	0.076
ʃ	ʃ	0.779
ʃ	z	0.221
ʉ	-	1.0
ʋ	v	0.495
ʋ	w	0.211
ʋ	f	0.11
ʋ	ə_f	0.093
ʋ	-	0.079
ʰkː	ŋ_k	0.849
ʰkː	k	0.151
ʰpː	p	1.0
ʰtː	ɕ	0.628
ʰtː	s	0.24
ʰtː	t	0.133
ˈeː	ˈaː	0.182
ˈeː	ˈiə̯	0.115
ˈeː	ˈə	0.113
ˈeː	ˈɜɪ̯	0.105
ˈeː	ˈi	0.098
ˈeː	ˈɑɪ̯	0.098
ˈeː	ˈɛ	0.081
ˈeː	ˈæːɪ̯	0.069
ˈeː	ˈeː	0.056
ˈiː	ˈæːɪ̯	0.513
ˈiː	ˈe	0.19
ˈiː	ˈə	0.104
ˈiː	ˈɑ	0.06
ˈoː	ˈoː	0.45
ˈoː	ˈəʊ̯	0.202
ˈoː	ˈɜɪ̯	0.12
ˈoː	ˈɑ	0.092
ˈoː	ˈo	0.075
ˈuː	-	0.274
ˈuː	ˈʊ	0.239
ˈuː	ˈu	0.217
ˈuː	ˈo	0.092
ˈuː	ˈiː	0.076
ˈyː	ˈɑɪ̯	0.593
ˈyː	ˈɜɪ̯	0.382
ˈæ	ˈiː	1.0
ˈæɪ̯	ˈeː	0.854
ˈæɪ̯	ˈoː	0.103
ˈæʉ̯	ˈaː	0.682
ˈæʉ̯	ˈəʊ̯	0.289
ˈæː	ˈɛː	0.544
ˈæː	ˈiə̯	0.306
ˈæː	ˈiː	0.15
ˈøː	ˈɜɪ̯	0.414
ˈøː	ˈe	0.268
ˈøː	ˈiə̯	0.185
ˈøː	ˈu	0.07
ˈøː	ˈi	0.063
ˈœ	ˈiː	0.319
ˈœ	ˈuː	0.292
ˈœ	ˈə	0.156
ˈœ	ˈo	0.142
ˈœ	ˈɛ	0.092
ˈœʏ̯	ˈeː	0.463
ˈœʏ̯	ˈɜɪ̯	0.463
ˈɑ	ˈɑ	0.45
ˈɑ	ˈaː	0.428
ˈɑː	ˈaː	0.622
ˈɑː	ˈuə̯	0.335
ˈɔ	ˈuː	0.406
ˈɔ	ˈuə̯	0.295
ˈɔ	ˈiː	0.134
ˈɔ	ˈə	0.075
ˈɛ	ˈə	0.376
ˈɛ	ˈeː	0.164
ˈɛ	ˈaː	0.123
ˈɛ	ˈɛ	0.082
ˈɛ	ˈɛː	0.078
ˈɛ	ˈiː	0.069
ˈɪ	ˈɑ	0.591
ˈɪ	ˈe	0.154
ˈɪ	ˈə	0.124
ˈʉ	ˈɔ	0.27
ˈʉ	ˈo	0.194
ˈʉ	ˈə	0.152
ˈʉ	v_ˈo	0.121
ˈʉ	j	0.118
ˈʉ	ˈiː	0.059
ˈʉː	ˈɜɪ̯	0.349
ˈʉː	ˈæːʊ̯	0.263
ˈʉː	ˈɑʊ̯	0.228
ˈʊ	ˈaː	0.599
ˈʊ	ˈæ	0.177
ˈʊ	ˈi	0.148
ˈʊ	ˈu	0.076
ˈʏ	ˈə	0.236
ˈʏ	ˈe	0.188
ˈʏ	ˈiː	0.142
ˈʏ	ˈo	0.126
ˈʏ	w	0.103
ˈʏ	ˈɑ	0.101
ˈʏ	-	0.056
