Ladin	Ladin	probability
ˈɛ_v	β	1.0
ˈɛ_k	ˈe_ɣ	1.0
ˈu	ˈu	1.0
ˈe_j	ˈe	1.0
ˈe_#>	ˈa_ɾ_#>	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʨ	k	1.0
ʧ	θ	1.0
ʦ	-	1.0
ʥ	-	1.0
ʒ_ɡ	b	1.0
ʒ_o	z	1.0
ŋ	ŋ	1.0
z	s	1.0
w_r	ɾ	1.0
v_e	b_e	1.0
t_#>	#>	1.0
s_e	s	1.0
s_#>	s_o_#>	1.0
r_j	ɾ	1.0
r_e_#>	j_#>	1.0
p	p	1.0
n_t	ˈe_n	1.0
n_#>	n_#>	1.0
l_#>	ʎ_o_#>	1.0
k_r	k_ɾ	1.0
j_#>	s_#>	1.0
f_#>	w_#>	1.0
e_r	ɾ_o	1.0
e_n	b_ɾ	1.0
d_a	ð_a	1.0
b_ˈa	b_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʨ	<#_θ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
a	a	0.957
n	n	0.947
ˈi	ˈi	0.885
<#_l	<#_l	0.875
k	k	0.852
ˈa	ˈa	0.844
f	f	0.833
m	m	0.815
ˈɔ	w_ˈe	0.778
ʃ	e_s	0.778
ˈe	ˈe	0.759
l	l	0.757
ʃ_#>	θ_#>	0.75
b	b	0.75
t	t	0.742
r	ɾ	0.73
o	o	0.667
s	s	0.643
ɲ	ɲ	0.625
ˈo	ˈo	0.621
#>	o_#>	0.575
ɡ	ɡ	0.556
ʒ	ʧ	0.545
v	b	0.526
i	i	0.5
i	-	0.5
<#	<#_b	0.5
<#	<#_a	0.5
d	ð	0.462
ʒ	-	0.455
ɡ	ɣ	0.444
w	w	0.417
ɲ	n	0.375
v	β	0.368
e	e	0.35
ˈɛ	j_ˈe	0.341
o	-	0.333
ˈɛ	ˈe	0.273
ʃ_#>	#>	0.25
w	-	0.25
b	β	0.25
j	ˈe	0.238
d	-	0.231
ˈɔ	ˈo	0.222
ʃ	ʃ_ˈe	0.222
s	ʃ	0.214
ˈɛ	ˈa	0.205
e	ɾ	0.2
j	ʎ	0.19
j	j	0.19
m	m_b	0.185
w	ˈo	0.167
r	ɾ_o	0.162
t	ð	0.161
d	ʎ	0.154
d	t	0.154
e	ˈi	0.15
e	j	0.15
e	-	0.15
k	ɡ	0.148
s	s_ˈa	0.143
j	ɾ	0.143
j	-	0.143
ˈo	ˈu	0.138
<#_l	<#	0.125
#>	e_#>	0.123
ˈi	-	0.115
ˈɛ	j	0.114
l	o	0.108
v	p	0.105
ˈo	w	0.103
ˈe	-	0.103
t	j_t	0.097
#>	a_#>	0.096
j	e	0.095
ˈa	w_ˈa	0.094
w	ˈe	0.083
w	ɾ	0.083
f	β_o	0.083
f	o	0.083
l	ʎ	0.081
ˈo	u	0.069
ˈo	-	0.069
ˈe	ˈu	0.069
ˈe	j	0.069
ˈɛ	-	0.068
#>	ɾ_e_#>	0.068
ˈa	-	0.062
#>	ɾ_#>	0.055
r	r	0.054
r	a	0.054
l	ˈe	0.054
n	-	0.053
