Gallurese	Gallurese	probability
ˈɛ_n	ˈe	1.0
ˈɔ_n	ˈu	1.0
ˈɔ_l	ˈo_r	1.0
ˈu_n	ˈy	1.0
ˈo_n	ˈu	1.0
ˈi_n	ˈi	1.0
ˈi_l	ˈe_l	1.0
ˈa_z	ˈa	1.0
ˈa_n	ˈa	1.0
ˈa_l	ˈo	1.0
ʧː	s	1.0
ʦː	s	1.0
ʦ	s	1.0
ʒ	-	1.0
ʃː	s	1.0
ɡ_u	k	1.0
ɡ	ɡ	1.0
ɟː	-	1.0
ɟ	z	1.0
ɖː_u_#>	j_#>	1.0
ŋ	ŋ	1.0
z	z	1.0
w	-	1.0
v	ʋ	1.0
u_l	u_l	1.0
tː_i	ʧ	1.0
sː	s	1.0
s	s	1.0
r_ˈi	r_ˈɛ	1.0
r_ˈa	r	1.0
pː	-	1.0
p_u_#>	p_#>	1.0
p_i	p_j	1.0
mː	m	1.0
m	m	1.0
l_i	l	1.0
kː	-	1.0
k_r	k_r	1.0
f	f	1.0
e	e	1.0
d_u	t	1.0
cː	ʧ	1.0
c	ʧ	1.0
bː	-	1.0
a_p	a	1.0
<#_ˈu	<#_ˈo	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_o	1.0
ˈa	ˈa	0.964
u_#>	#>	0.964
p	p	0.939
k	k	0.935
n	n	0.917
a	a	0.917
i_#>	#>	0.914
r	r	0.871
ɖː	l	0.857
b	b	0.85
tː	t	0.833
t	t	0.829
ʧ	s	0.783
ɲː	ɲ	0.75
ˈɛ	ˈɛ	0.72
a_r	e_r	0.714
l	l	0.654
ˈi	ˈi	0.594
j	j	0.583
rː	r_n	0.5
rː	r	0.5
nː	n	0.5
nː	-	0.5
i	e	0.5
ˈe	ˈɛ	0.444
j	-	0.417
d	d	0.417
u	o	0.414
ˈo	ˈø	0.4
ˈɔ	ˈɔ	0.389
i	i	0.357
l	r	0.346
ˈe	ˈe	0.333
d	-	0.333
#>	s_#>	0.333
#>	r_#>	0.333
#>	e_#>	0.333
ˈu	ˈø	0.32
ˈo	ˈu	0.3
ˈo	ˈo	0.3
a_r	r	0.286
ˈɛ	ˈe	0.28
ˈu	ˈy	0.28
ˈu	ˈo	0.28
ˈɔ	ˈø	0.278
ˈɔ	ˈu	0.25
ɲː	n_ʤ	0.25
d	t	0.25
ˈe	ˈi	0.222
ˈi	ˈɛ	0.219
ʧ	-	0.217
ˈi	ˈe	0.188
u	e	0.172
t	d	0.171
tː	ʧ	0.167
b	-	0.15
ɖː	-	0.143
i	-	0.143
ˈu	ˈu	0.12
u	k	0.103
u	j	0.103
u	f	0.103
u	-	0.103
i_#>	f_#>	0.086
ˈɔ	ˈo	0.083
n	-	0.083
r	e	0.065
r	-	0.065
k	ɡ	0.065
p	ʋ	0.061
