Lower Sorbian	Macedonian	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ɛ	1.0
i	i	1.0
k	k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
s	s	1.0
vʲ	v	1.0
x	f	1.0
z	z	1.0
ɛ	ɛ	1.0
ɡ	ɡ	1.0
ɨ	u	1.0
ɲ	n	1.0
ʐ	ʒ	1.0
ʑ	d	1.0
ʨ	t	1.0
ˈɨ	ˈi	1.0
ˈɪ	ˈɛ	1.0
r	ˈr̩	0.091
t	t	0.911
ˈe	ˈɛ	0.861
ˈɛ	ˈo	0.831
kʲ	o_k	0.342
ɕ	<#_v	0.052
ʦ	ʦ	0.852
ˈa	ˈa	0.452
ɕ	t	0.643
ˈi	r_ˈi	0.383
ˈu	ˈa	0.463
j	-	0.114
l	l	0.704
v	v	0.904
ɔ	o	0.874
ʂ	ʃ	0.604
ˈɔ	ˈo	0.504
w	ɫ	0.95
ɕ	-	0.305
a	a	0.986
j	j	0.886
l	ɫ	0.296
v	f	0.096
ɔ	ɛ	0.126
ʂ	r	0.396
ˈi	ˈi	0.617
ˈu	ˈu	0.537
ˈɔ	ˈa	0.327
kʲ	k	0.658
ʦ	ʧ	0.148
ˈa	ˈɛ	0.548
r	r	0.909
t	d	0.089
ˈe	ˈr̩	0.139
ˈɔ	ˈɛ	0.169
ˈɛ	ˈɛ	0.169
