Bulgarian	Bulgarian	probability
ˈ	-	1.0
ʧ	ʦ	1.0
ʦʲ	ʦ	1.0
ʦ_ɐ	t͡ʂ	1.0
ʦ	ʦ	1.0
ʃ	-	1.0
ɤ_ˈ	a	1.0
ɡ	ɡ	1.0
ɛ_ˈ_#>	ɛ_#>	1.0
ɛ_t	e_ɕ	1.0
ɛ_n	n_ɨ	1.0
ɐ_t	ɕ	1.0
ɐ_k	kʲ	1.0
z̥	z̥	1.0
x	x	1.0
vʲ	vʲ	1.0
u	u	1.0
tʲ	-	1.0
t_ɔ	t_ɔ	1.0
s	s	1.0
r_#>	r_ɨ_#>	1.0
pʲ	pʲ	1.0
nʲ	nʲ	1.0
mʲ	mʲ	1.0
lʲ	l	1.0
k_a	k_a	1.0
j_ɐ	ɕ	1.0
j	j	1.0
d̥	d̥	1.0
dʲ	ʑ	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
b	b	1.0
<#_ɔ	<#_v_ɛ	1.0
<#_x	<#_k	1.0
<#_t	<#_ɕ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
k	k	0.909
z	z	0.867
l	l	0.75
f	v_ɨ	0.75
ɔ	ɔ	0.7
ɫ	w	0.692
m	m	0.684
d	d	0.667
#>	i_#>	0.667
t	t	0.652
o	ɔ	0.65
ɛ_ˈ	a	0.6
ʒ	ʐ	0.571
a	a	0.551
n	n	0.545
v	v	0.542
ɡ̊	ɡ̊	0.5
ɡ̊	-	0.5
r	r	0.5
p	p	0.5
n	ɲ	0.455
ɤ	u	0.412
i	ɨ	0.409
i	i	0.409
ɐ	-	0.406
ɛ_ˈ	ɔ	0.4
o	ɛ	0.35
ɐ	a	0.344
v	vʲ	0.333
#>	k_#>	0.333
m	mʲ	0.316
ɔ	ɛ	0.3
r	rʲ	0.3
p	pʲ	0.3
ʒ	z	0.286
ɛ	ɛ	0.262
ɛ	e	0.262
l	-	0.25
f	f	0.25
d	ʑ	0.238
ɤ	ɔ	0.235
ɫ	l	0.231
a	ɪ	0.224
p	-	0.2
ɛ	ɪ	0.19
i	-	0.182
ɤ	e	0.176
ɤ	-	0.176
ʒ	ʒ	0.143
a	ɔ	0.143
z	-	0.133
t	ʨ	0.13
t	ɕ	0.13
v	-	0.125
ɛ	ɔ	0.119
r	ʂ	0.1
r	ɕ	0.1
d	-	0.095
ɐ	ɔ	0.094
ɐ	u	0.094
k	-	0.091
t	-	0.087
a	ɛ	0.082
ɫ	d_w	0.077
ɛ	-	0.071
ɐ	ɕ	0.062
