Icelandic	Scots	probability
a	-	0.909
a	e	0.038
a	ə	0.038
a	ˈiː	0.036
b̥	b	0.953
b̥	-	0.05
c	ʃ	0.45
c	k	0.297
c	-	0.182
cʰ	k	0.392
cʰ	ʧ	0.392
cʰ	kʰ	0.125
d̥	d	1.0
f	f	0.976
f	-	0.038
f_j	f	0.242
h	h	1.0
i	ɪ	1.0
j	-	0.513
j	ˈei̯	0.147
j	ˈɑː	0.1
j	ˈɛ	0.087
j	ˈiː	0.076
j_ˈoːu̯	ˈiː	1.0
j_ˈɛː	ˈiː	1.0
k	k	0.776
k	-	0.099
k	ʧ	0.099
kʰ	kʰ	0.558
kʰ	-	0.413
l	l	0.804
l	-	0.093
l	ɫ	0.084
l_j	l	1.0
l_ɡ̊	l	0.492
l̥	l	0.579
l̥	-	0.415
m	m	0.944
m	v	0.057
m_ʏ	m	1.0
n	n	0.922
n	-	0.076
nː	θ	0.517
nː	n	0.45
n̥	n	0.763
n̥	-	0.22
p	p	0.826
p	m	0.142
r	r	0.853
r	-	0.079
r	ˈɪ_r	0.039
r	ɹ	0.03
rː̥	ˈəi̯	0.492
r̥	-	0.694
r̥	r	0.293
s	s	0.91
s	-	0.048
s	z	0.041
s_k	ʃ	1.0
sː	s	1.0
t	t	0.494
t	-	0.487
t	d	0.032
t_ʏ	t	1.0
tʰ	tʰ	1.0
u	ˈʉ	0.156
u	i	0.136
u	ˈɛ	0.136
v	w	0.418
v	-	0.334
v	v	0.143
v	p	0.051
v	s	0.043
v_ʏ	f	1.0
x	-	1.0
ç	h	0.922
ç	ʍ	0.047
ð	d	0.612
ð	ð	0.211
ð	-	0.146
ð	θ	0.037
ð_a	d	1.0
ð_ʏ	θ	0.492
ŋ	ŋ	0.776
ŋ	n	0.125
ŋ	-	0.091
ɑu̯	əi̯	0.492
ɛ	ˈei̯	0.492
ɛː	əi̯	0.242
ɟ̊	-	0.506
ɟ̊	ɡ	0.478
ɡ̊	-	0.572
ɡ̊	ɡ	0.379
ɡ̊	ç	0.046
ɡ̊_l	l	1.0
ɣ	-	0.871
ɣ	t	0.093
ɪ	ə	0.477
ɪ	-	0.453
ɪ	r	0.063
ɲ	ŋ	1.0
ʏ	-	0.787
ʏ	ə	0.139
ʏ	əi̯	0.031
ʏ	e	0.03
ʏ	ɪ	0.03
ʰk	k	1.0
ʰk_a	k	1.0
ʰp	p	1.0
ʰt	x	0.803
ʰt	-	0.118
ʰt_ʏ	x	1.0
ˈa	ˈɛ	0.357
ˈa	ˈɑː	0.283
ˈa	ˈɑ	0.171
ˈa	ˈei̯	0.11
ˈa	ˈe	0.061
ˈai̯	ˈiː	0.644
ˈai̯	w	0.24
ˈaː	ˈe	0.317
ˈaː	ˈeː	0.129
ˈaː	ˈi	0.115
ˈaː	ˈɛ	0.115
ˈaː	ˈɑ	0.113
ˈaːi̯	ˈɪ	0.239
ˈaːi̯	ˈø	0.239
ˈaːi̯	ˈɑː	0.155
ˈaːi̯	ˈɛ	0.155
ˈaːi̯	w	0.101
ˈaːu̯	ˈeː	0.242
ˈaːu̯	ˈe	0.058
ˈeːi̯	ˈe	0.492
ˈi	ˈɪ	0.78
ˈi	ˈʌʉ̯	0.219
ˈiː	ˈəi̯	0.486
ˈiː	ˈe	0.131
ˈiː	ˈɪ	0.114
ˈiː	ˈei̯	0.114
ˈiː	ˈiː	0.089
ˈiː_r̥	ˈʉ	1.0
ˈou̯	ˈʌʉ̯	0.574
ˈou̯	ˈa	0.09
ˈou̯	ˈɪ	0.09
ˈoːu̯	ˈø	0.418
ˈoːu̯	ˈɪ	0.247
ˈoːu̯	-	0.169
ˈoːu̯	ˈe	0.074
ˈoːu̯	ˈʌʉ̯	0.059
ˈu	ˈɔ	0.272
ˈu	ˈɪ	0.237
ˈu	j	0.145
ˈu	ˈʌ	0.145
ˈu	w	0.089
ˈuː	ˈʉ	0.824
ˈuː	ˈaːɪ̯	0.083
ˈuː	-	0.056
ˈœ	-	0.239
ˈœ	ˈe	0.239
ˈœ	j	0.155
ˈœ	ˈø	0.155
ˈœ	ˈɑː	0.101
ˈœy̯	ˈei̯	0.242
ˈœː	ˈei̯	0.24
ˈœː	-	0.136
ˈœː	ˈɑː	0.136
ˈœːy̯	ˈei̯	0.604
ˈœːy̯	ˈi	0.116
ˈœːy̯	ˈe	0.1
ˈœːy̯	-	0.084
ˈɑu̯	ˈe	0.304
ˈɑu̯	ˈɑ	0.304
ˈɑu̯	ˈɑː	0.172
ˈɑu̯	ˈɪ	0.105
