Upper Franconian	American English	probability
β	v	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒ_l	ˈæ	1.0
ˈoː_ŋ	ˈeɪ̯	1.0
ˈiː_ŋ	ˈaɪ̯	1.0
ˈaɪ̯_#>	ˈi_#>	1.0
ʦ_n	ʔ	1.0
ɾ	ð	1.0
ɪ	i	1.0
ɡ̊_s	k_s	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ɐ_m	ɹ_m	1.0
ç_d̥	ʔ	1.0
z̥_n	ʔ	1.0
z̥	ɾ	1.0
x_d̥	ʔ	1.0
x_#>	#>	1.0
v̥	p	1.0
v_ˈɔ	w	1.0
n_a	n	1.0
l_n	ɫ	1.0
j	j	1.0
i	-	1.0
h	h	1.0
f_#>	p_#>	1.0
d̥_ɐ	t_ɚ	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
a	-	1.0
<#_ˈɒ	<#_ˈɑ	1.0
<#_ɡ̊	<#	1.0
v	w	0.885
r	ɹ	0.87
m	m	0.862
f	f	0.857
ˈaʊ̯	ˈaʊ̯	0.8
ŋ	ŋ	0.8
#>	n_#>	0.727
x	k	0.714
s	s	0.675
ˈʊ	ˈʌ	0.667
ˈɪ	ˈɪ	0.654
n	n	0.649
ʦ	tʰ	0.643
d̥	d	0.623
ˈiː	ˈi	0.571
ɐ	ɚ	0.571
ç	-	0.556
l	ɫ	0.556
ʃ	s	0.552
ˈɛ	ˈɛ	0.526
ʃ	ʃ	0.448
ˈaɪ̯	ˈaɪ̯	0.444
l	l	0.444
ˈaː	ˈoʊ̯	0.421
n	-	0.351
ɡ̊	ɡ	0.344
ˈʊ	-	0.333
ˈaː	ˈi	0.316
ˈoː	ˈi	0.312
ˈɔ	ˈɔ	0.286
ˈɔ	ˈɑ	0.286
x	-	0.286
ɡ̊	kʰ	0.281
ˈaɪ̯	ˈʌɪ̯	0.278
s	ʔ	0.275
ˈeː	ˈɪ	0.273
ˈeː	ˈɛ	0.273
ˈeː	ˈi	0.273
#>	f_#>	0.273
d̥	θ	0.232
ç	ʧ	0.222
ç	k	0.222
ˈɔ	ˈʊ	0.214
ˈɔ	-	0.214
ʦ	ʔ	0.214
ˈuː	ˈʌ	0.2
ˈuː	ˈɛ	0.2
ˈuː	-	0.2
ˈaʊ̯	-	0.2
ŋ	-	0.2
ˈɪ	ˈaɪ̯	0.192
ˈoː	ˈæ	0.188
ˈoː	ˈeɪ̯	0.188
ˈoː	-	0.188
ˈɒ	ˈɛə̯	0.182
ˈɒ	ˈæ	0.182
ˈeː	-	0.182
ˈaɪ̯	-	0.167
ɐ	ɹ	0.167
ˈɛ	-	0.158
ˈaː	ˈɛ	0.158
ˈɪ	-	0.154
ˈuː	ˈu	0.15
ˈuː	ˈaʊ̯	0.15
ˈiː	ˈɪ	0.143
ˈiː	ˈoʊ̯	0.143
ˈiː	-	0.143
ʦ	-	0.143
m	v	0.138
ˈɒ	ˈɑ	0.136
ˈɒ	ˈeɪ̯	0.136
r	ɹ_ˈɛ	0.13
ˈoː	ˈu	0.125
ɡ̊	ʧ	0.125
ɡ̊	ʤ	0.125
ɡ̊	k	0.125
d̥	t	0.116
v	-	0.115
ˈaɪ̯	ˈɪ	0.111
ˈɛ	ˈɪ	0.105
ˈɛ	ˈɔ	0.105
ˈɛ	ˈɑ	0.105
ˈaː	-	0.105
ˈuː	ˈi	0.1
ˈɒ	ˈʌɪ̯	0.091
ˈɒ	ˈʌ	0.091
ˈɒ	ˈɛ	0.091
ˈɒ	ˈoʊ̯	0.091
ɐ	ˈɝ	0.071
ɐ	ˈɔ_ɹ	0.071
ɐ	-	0.071
f	v	0.071
f	p	0.071
