Zeelandic	East Franconian	probability
ˈɒː	ˈɒ	1.0
ˈɑu̯	ˈɒ_l	1.0
ˈæi̯	ˈaː	1.0
ˈæ_n	ˈɛ_n	1.0
ˈoː	-	1.0
ˈiːə̯	ˈiː	1.0
ɾ_ə	ɐ	1.0
ɫ	l	1.0
ɪ_ŋ	i	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
z_ə	z̥	1.0
x_ˈæ	ˈa	1.0
x_ə	ŋ	1.0
x_t	d̥	1.0
w	-	1.0
v	f	1.0
s_x	ʃ	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_ə	ɡ̊	1.0
j	j	1.0
iː	eː	1.0
i_ŋ	ɪ	1.0
d̥	d̥	1.0
d_ɾ	d̥_r	1.0
d	d̥	1.0
b	b̥	1.0
ʋ	v	0.861
s	ʃ	0.828
z	s	0.826
n	n	0.815
ˈyː	ˈaʊ̯	0.811
v̥	b̥	0.809
z̥	z̥	0.761
ˈɑ	ˈɒ	0.74
ˈiː	ˈiː	0.719
ɾ	ɐ	0.716
ˈɪ	ˈɪ	0.669
ˈu	ˈʊ	0.644
ˈeː	ˈɛ	0.632
ˈɛː	ˈoː	0.625
t	d̥	0.596
t_ə	z̥_n	0.566
ˈæ	ˈɛ	0.564
v_ə	β	0.562
ˈuː	ˈuː	0.529
ˈi	ˈaɪ̯	0.506
ˈi	ˈɪ	0.494
ˈɔ	ˈʊ	0.489
ˈʏ	ˈʊ	0.486
k	kʰ	0.483
ˈuː	ˈiː	0.471
ˈɪə̯	ˈaː	0.449
v_ə	m	0.438
ˈæ	-	0.436
x	ɡ̊	0.435
t_ə	z̥	0.434
p	b̥͡v̥	0.429
ə	n	0.418
ˈeː	ˈeː	0.368
ˈu	ˈuː	0.356
ˈɔ	ˈɔ	0.344
ˈøː	ˈʊ	0.333
ˈøː	ˈuː	0.333
ˈøː	ˈoː	0.333
ˈɪə̯	-	0.319
ˈʊə̯	ˈuː	0.316
t	ʦ	0.306
p	v̥	0.286
p	f	0.286
ɾ	r	0.284
ˈiː	ˈaɪ̯	0.281
ˈʊə̯	ˈaː	0.275
ˈʏ	-	0.264
ˈʊə̯	ˈɔ	0.263
ə	a	0.253
ˈʏ	ˈɛ	0.25
z̥	s	0.239
x	ɣ̊	0.234
x	x	0.234
ˈɪə̯	ˈeː	0.232
k	ç	0.231
ə	-	0.215
ˈɪ	ˈiː	0.212
v̥	f_a	0.191
ˈɑ	ˈoː	0.189
ˈyː	ˈaɪ̯	0.189
n	-	0.185
z	ʃ	0.174
s	ɡ̊_s	0.172
ˈɔ	-	0.167
ˈʊə̯	ˈɘ	0.147
ˈɛː	ˈɛ	0.146
ʋ	v_ˈɔ	0.139
ˈɛː	ˈɒ	0.123
k	x	0.123
ˈɪ	ˈaɪ̯	0.119
ə	ɐ	0.114
k	-	0.1
x	ɣ	0.097
t	s	0.097
ˈɛː	ˈɛː	0.08
ˈɑ	ˈɛ	0.072
k	ɡ̊	0.063
