Campidanese	Megleno-Romanian	probability
f	f	1.0
m	m	1.0
o	u	1.0
p	p	1.0
rː	r	1.0
sː	-	1.0
w	-	1.0
z	-	1.0
ð	t	1.0
ɖː	-	1.0
ɣ	k	1.0
ʒ	ʦ	1.0
ʣ	ʎ	1.0
ʧ	ʦ	1.0
d	z	0.061
j	k_ʎ	0.571
nː	<#_w	0.451
ɡ	ɡ	0.751
ˈe	-	0.171
ˈe	ˈi	0.291
ˈo	ˈo	0.431
β	p	0.511
a	r_#>	0.062
a	-	0.112
b	v	0.72
l	ʎ	0.122
n	n	0.852
s	s	0.942
t	p_t	0.212
ˈa	ˈɔ_j	0.102
ˈe	i	0.052
ˈe	ˈe	0.242
ˈi	e̯ˈa	0.302
u	-	0.393
ˈa	ˈɔ	0.193
e	i	0.484
j	j	0.224
k	k	0.904
l	r	0.194
l	l	0.684
t	ʦ	0.084
t	t	0.704
ŋ	-	0.554
a	w_ə	0.055
a	ə	0.725
i	ə	0.055
j	-	0.135
r	-	0.105
ˈa	ˈa	0.705
ˈe	e̯ˈa	0.055
ˈi	ˈi	0.45
ˈu	ˈu	0.855
e	-	0.516
i	-	0.206
k	-	0.096
ŋ	ŋ	0.446
ˈu	ˈo	0.086
j	w	0.07
r	r	0.827
ˈo	ˈu	0.27
b	b	0.28
i	i	0.738
n	-	0.148
r	l	0.068
s	ʃ	0.058
u	u	0.478
ˈi	ˈe	0.208
d	d	0.939
nː	n	0.549
u	ə	0.129
ɡ	-	0.249
ˈe	ˈa	0.19
ˈo	o̯ˈa	0.299
ˈu	<#_w	0.059
β	-	0.489
