Old French	Old French	probability
θ_#>	#>	1.0
ˈɛ_s	ɛ	1.0
ˈɛ_r	ɛ_ʁ	1.0
ˈɛ_l_#>	o_#>	1.0
ˈɔ_s	o	1.0
ˈɔ_l	u	1.0
ˈy_j	ɥ_i	1.0
ˈy_#>	y_#>	1.0
ˈũ_ŋ	ɔ̃	1.0
ˈũ_n	ɔ̃	1.0
ˈu_s	u	1.0
ˈõ	w	1.0
ˈo	o	1.0
ˈẽ_n	ɑ̃	1.0
ˈe_w	ø	1.0
ˈe_r	e	1.0
ˈã_ŋ	ɑ̃	1.0
ˈã_n	ɑ̃	1.0
ˈã_m	a_m	1.0
ˈa_w	o	1.0
ˈa_l	o	1.0
ˈa_j_s_#>	ɛ_#>	1.0
ˈa_j_#>	ɛ_#>	1.0
ʧ	ʃ	1.0
ʤ	ʒ	1.0
ʎ_ə_#>	j_#>	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ə_ˈy	y	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z	z	1.0
y	-	1.0
w_ˈɛ	œ	1.0
w_ˈa	a	1.0
w_ə_#>	#>	1.0
w	ø	1.0
v_r	ʁ	1.0
v	v	1.0
ũ	-	1.0
u_l	ɔ_l	1.0
t_ə_#>	t_#>	1.0
t_#>	#>	1.0
s_ˈɛ	s_ɛ	1.0
s_ˈa	s_a	1.0
s_ə	s	1.0
s_t	t	1.0
s_k	k	1.0
s_#>	#>	1.0
r_ˈi	ʁ_i	1.0
r_t	ʁ	1.0
r_#>	#>	1.0
o	w	1.0
n_ə_#>	n_#>	1.0
n_#>	#>	1.0
m_ə_#>	m_#>	1.0
l_ʦ	ø	1.0
l_ə_#>	l_#>	1.0
l_#>	#>	1.0
l	l	1.0
k	k	1.0
j_ˈẽ	j	1.0
j_ˈe	e	1.0
j_ə_#>	a_#>	1.0
j_t	i	1.0
j_s_#>	a_#>	1.0
j_r	a_ʁ	1.0
j_n	ɛ̃	1.0
ĩ	ɛ̃	1.0
i	i	1.0
f	f	1.0
d	d	1.0
b	b	1.0
ã_n	ɑ̃	1.0
a_j	ɛ	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_ã	<#_a	1.0
r	ʁ	0.968
p	p	0.947
ˈi	i	0.926
s	s	0.9
t	t	0.857
ʦ	s	0.842
m	m	0.828
ˈɔ	w	0.8
u	u	0.8
e	e	0.769
ˈɔ_r	ɔ_ʁ	0.75
ə	ə	0.75
ˈu	u	0.667
ˈĩ	ɛ̃	0.667
ˈã_j	ɛ̃	0.636
ˈa	a	0.625
j_ˈɛ	j_ɛ	0.625
ˈẽ	-	0.6
ʎ_#>	j_#>	0.6
k_#>	#>	0.6
ˈe	e	0.583
n	n	0.583
ˈy	y	0.571
ˈũ	ɔ̃	0.533
j	a	0.52
ˈỹ	y	0.5
ˈỹ	-	0.5
ɔ	ɔ	0.5
ɔ	w	0.5
ˈɛ	-	0.455
ˈy	ɥ	0.429
ˈe	ɛ	0.417
n	ɛ̃	0.417
ˈẽ	ɑ̃	0.4
ʎ_#>	#>	0.4
k_#>	k_#>	0.4
j_ˈɛ	ɛ	0.375
ˈɛ	ɛ	0.364
ˈã_j	ɛ	0.364
ˈũ	ɔ	0.333
ˈu	œ	0.333
ˈĩ	i	0.333
ˈɔ_r	ɔ	0.25
ə	-	0.25
e	-	0.231
u	ɔ	0.2
j	ɛ	0.2
j	j	0.2
ˈa	ɛ	0.188
ˈa	-	0.188
ˈɛ	j	0.182
m	-	0.172
ʦ	-	0.158
t	ʁ	0.143
ˈũ	-	0.133
s	-	0.1
j	-	0.08
ˈi	-	0.074
ˈɔ	ɔ	0.067
ˈɔ	o	0.067
ˈɔ	-	0.067
p	-	0.053
