Swiss German	Mecklenburgisch-Vorpommersch	probability
χː	k	1.0
χ_ə	k	1.0
χ_t	ç	1.0
χ_s	s	1.0
ˈɒ_r	ˈaː	1.0
ˈø	-	1.0
ˈæ_r	ˈaː	1.0
ˈyə̯	ˈɔʏ̯	1.0
ˈuə̯	ˈaʊ̯	1.0
ˈiː_t	ˈiː_d̥	1.0
ʒ̊	ʃ	1.0
ʃː	ʃ	1.0
ɣ̊	kʰ	1.0
ɡ̊_ə	ŋ	1.0
ə_r	æ	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_ə	ŋ	1.0
ŋ	ŋ	1.0
æ	ae̯	1.0
z̥_ˈæ	z	1.0
v̥	f	1.0
tː	ɾ	1.0
sː_ə	t_n	1.0
sː	t	1.0
s	z̥	1.0
p͡f	p	1.0
p	-	1.0
n_d̥	n	1.0
m	m	1.0
lː	l	1.0
l_ə	l	1.0
l	l	1.0
k͡χ	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
fː	p	1.0
f	p	1.0
d̥_ə	n	1.0
b̥_ə	m	1.0
b̥	b	1.0
n	n	0.939
ʋ	v	0.876
ˈuː	ˈuː	0.865
ˈæi̯	ˈae̯	0.857
d̥	d	0.809
ˈiː	ˈiː	0.794
ˈi	ˈɪ	0.782
ʃ	s	0.729
ˈau̯	ˈaʊ̯	0.695
ˈæː	-	0.694
ˈɒ	ˈa	0.678
ɡ̊	ɡ	0.669
ˈøː	-	0.667
ʦ	tʰ	0.641
z̥	z	0.63
ˈe	-	0.615
ˈeː	-	0.567
χ	x	0.535
n_ə	n_n	0.535
r	æ	0.521
ɡ̊ː	ç	0.512
ˈy	ˈʏ	0.495
ˈiə̯	ˈiː	0.491
ɡ̊ː	-	0.488
χ	k	0.465
ˈæ	ˈɛ	0.465
n_ə	n	0.465
ˈu	ˈʊ	0.434
ˈeː	ˈeː	0.433
t	d	0.41
ˈoː	ˈɒː	0.403
ˈo	ˈɔ	0.392
ˈyː	ˈae̯	0.389
ˈe	ˈɛ	0.385
ə	n	0.374
ˈyː	ˈyː	0.37
ʦ	t	0.359
r	r	0.344
t	t	0.343
ˈo	ˈuː	0.334
ˈøː	ˈøː	0.333
ˈɒː	ˈɒː	0.33
ə	-	0.321
ˈæ	-	0.319
ˈy	-	0.318
ˈæː	ˈɛɪ̯	0.306
ˈiə̯	ˈae̯	0.305
ˈau̯	-	0.305
ˈɒː	ˈoː	0.283
ʃ	ʃ	0.271
ə	ɾ	0.271
ˈoː	ˈaʊ̯	0.26
z̥	t	0.251
ˈu	-	0.238
ɡ̊	j	0.225
ˈi	-	0.218
ˈɒː	ˈaː	0.209
ˈiː	-	0.206
ˈiə̯	ˈɪ	0.204
t	d̥	0.2
d̥	ɾ	0.191
ˈoː	ˈuː	0.19
ˈy	ˈœː	0.187
ˈɒː	ˈa	0.178
ˈo	ˈɒː	0.157
ˈoː	-	0.147
ˈæi̯	ˈɪ	0.143
ˈuː	ˈʊ	0.135
ˈyː	ˈiː	0.129
ˈæ	ˈa	0.125
ʋ	w	0.124
ˈu	ˈʏ	0.122
ˈu	ˈɔ	0.122
z̥	z̥	0.119
ˈo	ˈʊ	0.117
ˈɒ	ˈɒː	0.115
ˈyː	ɣ	0.112
ˈæ	ˈɛː	0.091
r	-	0.087
ˈu	ˈœː	0.084
ɡ̊	ɣ̊	0.082
ˈɒ	ˈɛː	0.078
ˈɒ	ˈaʊ̯	0.078
n	ˈɪ_n	0.061
ˈɒ	ˈɔ	0.051
