Standard German	East Franconian	probability
ˈʏ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈɔʏ̯	ˈaɪ̯	1.0
ˈœ	ˈɛ	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈiː	1.0
ˈuː	ˈuː	1.0
ˈoː_n	ˈoː_n	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeː_ə	ˈiː	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʁ_ə	ɐ	1.0
ʁ	r	1.0
ɪ	i	1.0
ɡ_n	ŋ	1.0
ɐ_t	ɐ_d̥	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z_ə	z̥	1.0
z	s	1.0
v	v	1.0
tʰ	d̥	1.0
s_n	z̥_n	1.0
p͡f	b̥͡v̥	1.0
p	-	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
l_ə	l_n	1.0
l	l	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
j	j	1.0
h	h	1.0
eː	eː	1.0
d̥	d̥	1.0
d_l	d̥_l	1.0
b̥	b̥	1.0
b_n	m	1.0
a	a	1.0
ˈʊ	ˈʊ	0.936
t	d̥	0.916
ˈaː	ˈoː	0.915
ˈa	ˈɒ	0.911
f	f	0.903
ˈɪ	ˈɪ	0.858
d	d̥	0.855
z̥	z̥	0.818
ˈeː	ˈeː	0.814
x	x	0.757
b	b̥	0.753
ˈɔ	ˈɔ	0.733
ə	a	0.726
s	s	0.697
ɡ	ɡ̊	0.641
ç	ç	0.612
ˈaʊ̯	ˈaʊ̯	0.569
ɡ̊	ɣ̊	0.549
ˈaɪ̯	ˈaː	0.507
ˈaɪ̯	ˈaɪ̯	0.493
ɡ̊	ç	0.451
ˈaʊ̯	ˈaː	0.431
ç	-	0.278
ə	n	0.274
ˈɔ	ˈʊ	0.267
b	β	0.247
x	ɣ̊	0.243
ɡ	ɣ̊	0.214
ˈeː	ˈiː	0.186
z̥	s	0.182
s	ʃ	0.174
ɡ	ɣ	0.146
d	ɾ	0.145
ˈɪ	ˈiː	0.142
s	z̥	0.129
ç	ɡ̊	0.11
f	v̥	0.097
ˈaː	-	0.085
t	ɾ	0.084
ˈʊ	ˈɔ	0.064
