Northern Low Saxon	Northern Low Saxon	probability
ˈʏ_n	n	1.0
ˈɪ_n	n	1.0
ˈɛː	ˈeː	1.0
ˈɛɪ̯	-	1.0
ˈɛ_l	ˈɛ_r	1.0
ˈɔː	ˈɔ_ɐ	1.0
ˈɔʏ̯_n	ˈĩː	1.0
ˈœː	ˈɛ	1.0
ˈœ	ˈɛ	1.0
ˈøː_n	ˈõː	1.0
ˈøː	-	1.0
ˈø	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈeː_n	ˈɑ̃ɪ̯	1.0
ˈeɪ̯	-	1.0
ˈaɪ̯_ŋ	ˈi	1.0
ˈaɪ̯_n	ˈẽː	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ə	ɐ	1.0
ɐ_n	r_ə	1.0
ɐ	ɐ	1.0
z̥	s	1.0
z	s	1.0
v̥	b̥	1.0
v	β	1.0
tʰ	ʣ̥	1.0
r	r	1.0
pʰ	pʰ	1.0
n_n	n_ə	1.0
l	l	1.0
kʰ	kʰ	1.0
k	-	1.0
j	ɡ̊_ˈɛː	1.0
i	ɪ	1.0
h	h	1.0
d_ˈyː	d̥_ˈaɪ̯	1.0
d_ˈaʊ̯	d̥_ˈoː	1.0
b_m	f_ə	1.0
b_#>	f_#>	1.0
b	b̥	1.0
aɪ̯	ˈaɪ̯_ʣ̥	1.0
#>	ə_#>	1.0
m	m	0.867
f	f	0.848
ˈiː	ˈaɪ̯	0.846
ŋ	ŋ	0.833
ˈɪ	ˈɪ	0.769
ˈa	ˈɑ	0.76
ˈʏ	ˈɪ	0.75
x	x	0.75
t	d̥	0.75
d	d̥	0.727
n	n	0.698
ç	ʃ	0.692
ˈʊ	ˈu	0.667
ˈuː	ˈau̯	0.667
ˈɔ	ˈɔ	0.625
ˈɛ	ˈɛ	0.6
ɡ	ɡ̊	0.531
ˈeː	ˈɛ	0.5
ˈaː	ˈɑː_ɐ	0.5
ˈaː	ˈɑ_l	0.5
d_n	s_ə	0.5
d_n	r_ə	0.5
ˈaɪ̯	ˈiː	0.476
ˈoː	ˈoː	0.417
ˈɛ	-	0.4
s	ʃ	0.4
ˈɔ	ˈu	0.375
ˈʊ	ˈɔ	0.333
ˈɔʏ̯	ˈiː	0.333
ˈaʊ̯	ˈuː	0.308
ç	ɡ̊	0.308
ˈʏ	-	0.25
ˈeː	ˈɛː	0.25
ˈeː	-	0.25
ɡ	x	0.25
x	ɡ̊	0.25
t	-	0.25
n	ə	0.245
ˈɔʏ̯	ˈuː	0.222
ˈɔʏ̯	ˈeː	0.222
ˈɔʏ̯	-	0.222
ɡ	ʃ	0.219
ˈoː	ˈɑː	0.208
s	ʃ_d̥	0.2
s	ɡ̊_s	0.2
s	s	0.2
ˈaʊ̯	ˈɑː	0.192
ˈaʊ̯	ˈoː	0.192
ˈaɪ̯	ˈɛː	0.19
ˈaɪ̯	ˈeː	0.19
ˈoː	ˈɑ	0.167
ŋ	-	0.167
ˈa	ˈɑː	0.16
d	s	0.156
ˈɪ	ˈaɪ̯	0.154
ˈiː	-	0.154
f	b̥	0.152
ˈaɪ̯	-	0.143
ˈuː	ˈuː	0.133
ˈuː	-	0.133
m	β_ə	0.133
ˈaʊ̯	ˈɔ	0.115
ˈaʊ̯	ˈɑ	0.115
ˈoː	ˈɛː	0.083
ˈoː	-	0.083
ˈa	ˈɛ	0.08
ˈɪ	-	0.077
ˈaʊ̯	ˈu	0.077
ˈuː	ˈau̯̯	0.067
d	r	0.052
