Nynorsk Norwegian	Pennsylvania German	probability
f	f	1.0
l	l	1.0
mː	m	1.0
sː	s	1.0
tː	ʦ	1.0
v	ʋ	1.0
ŋ	ɪ	1.0
ɲ	ŋ	1.0
ʉ	-	1.0
ʰkː	k	1.0
ʰpː	f	1.0
ˈæ	ˈɛː	1.0
d	d̥	0.121
j	h	0.11
j	-	0.241
p	p	0.191
ŋː	ŋ	0.991
ɡ	ç	0.201
ɾ	-	0.1
ʋ	v	0.201
ˈuː	ˈuː	0.321
ˈæɪ̯	ˈaɪ̯	0.061
ˈɑ	ˈaː	0.11
ˈɔ	ˈa	0.071
ˈɔ	ˈoː	0.101
ˈʉ	ˈɔ	0.061
ˈʉ	ʋ_ˈɔ	0.061
ˈʉː	ˈuː	0.1
ˈʏ	ˈʊ	0.091
b	-	0.072
d	-	0.102
k	k	0.052
k	x	0.232
k	ç	0.572
n	-	0.202
pʰ	p͡f	0.672
t	s	0.72
çː	ʦ	0.672
ɡː	-	0.062
ʰtː	ç_t	0.422
ˈoː	ˈɪ	0.052
ˈœ	ˈɛ	0.242
ˈœʏ̯	ˈaʊ̯	0.082
ˈɑː	ˈɔː	0.472
ˈɑː	ˈa	0.502
ˈɛ	ˈɪ	0.082
ˈɛ	ˈaɪ̯	0.172
j	ɡ	0.3
lː	l	0.933
m	m	0.873
ɡ	ɣ	0.053
ɾ	ɾ	0.423
ʂ	s	0.603
ˈeː	ˈaɪ̯	0.073
ˈeː	ˈɪ	0.133
ˈiː	ˈɪ	0.093
ˈuː	ʋ	0.053
ˈuː	ˈɔː	0.093
ˈæː	ˈiː	0.533
ˈøː	ˈeː	0.323
ˈœ	ˈaː	0.083
ˈœ	ˈɛː	0.303
ˈœʏ̯	ˈoː	0.583
ˈɑ	ˈɛː	0.093
ˈɔ	ˈɪ	0.063
ˈɔ	ˈʊ	0.063
ˈʉ	ˈɛː	0.053
ˈʉ	ˈʊ	0.623
ˈʊ	ˈɛ	0.183
k	-	0.144
s	s	0.484
ç	d	0.214
ə	m	0.164
ə	ə	0.184
ə	ɑ	0.614
ɡ	ɡ	0.344
ʋ	-	0.114
ʰtː	x	0.224
ˈeː	ˈiː	0.084
ˈoː	ˈoː	0.334
ˈæʉ̯	ˈɔː	0.34
ˈɔ	ˈɛ	0.154
ˈɪ	-	0.064
ˈʊ	ˈa	0.074
ˈʊ	ˈʊ	0.134
ˈʊ	ˈeː	0.134
ˈʏ	-	0.084
j	l	0.115
jː	ˈaɪ̯	0.5
jː	ˈaʊ̯	0.5
nː	-	0.075
nː	n	0.925
tʰ	d	0.605
ɑ	ə	0.845
ɛ	-	0.175
ɛ	ɑ	0.825
ˈoː	ˈɔː	0.225
ˈoː	ˈeː	0.275
ˈuː	ˈɪ	0.065
ˈyː	ˈiː	0.415
ˈyː	ˈaɪ̯	0.585
ˈœ	ˈɪ	0.295
ˈɔ	ˈaʊ̯	0.175
ˈɔ	ˈaː	0.325
ˈɛ	ˈɛː	0.155
ˈʉː	ˈɔ	0.065
ˈʉː	ˈeː	0.065
ˈʊ	ˈaː	0.475
ˈʏ	ˈɛː	0.135
d	d	0.76
e	ə	0.146
kʰ	ɡ	0.086
m	n	0.06
ç	k	0.116
ç	kʰ	0.56
ɑ	-	0.126
ʰtː	s	0.306
ˈiː	ˈeː	0.086
ˈoː	ˈʊ	0.066
ˈæʉ̯	ˈoː	0.66
ˈœ	ˈʊ	0.076
ˈœʏ̯	ˈeː	0.216
ˈɛ	ˈa	0.116
ˈɛ	ˈɛ	0.456
ˈʉː	ˈaʊ̯	0.416
kʰ	-	0.327
kʰ	kʰ	0.587
lː	ɑ	0.067
ɾ	ɑ	0.477
ʂ	ʃ	0.397
ˈeː	ˈeː	0.07
ˈuː	ˈʊ	0.177
ˈøː	-	0.217
ˈøː	ˈiː	0.27
ˈɑ	ˈa	0.597
ˈʏ	ˈɪ	0.57
b	b	0.928
h	h	0.978
n	n	0.798
pʰ	b	0.328
t	t	0.208
tʰ	ʦ	0.348
çː	k	0.328
ɡ	ɡ̊	0.208
ɡː	k	0.938
ˈeː	ˈa	0.118
ˈeː	ˈɛ	0.428
ˈiː	ˈiː	0.138
ˈæː	ˈɛː	0.168
ˈɑ	ˈɔː	0.168
ˈʉ	ˈɛ	0.098
e	-	0.789
j	ɣ	0.059
j	ˈɛ	0.159
m	ə_m	0.059
p	f	0.809
s	ʃ	0.479
ç	x	0.059
ɡ	j	0.139
ʋ	b̥	0.119
ʋ	ʋ	0.519
ˈiː	ˈaɪ̯	0.619
ˈuː	-	0.19
ˈæɪ̯	ˈɔː	0.149
ˈæɪ̯	ˈeː	0.789
ˈæː	ˈɛ	0.299
ˈøː	ˈuː	0.19
ˈœʏ̯	ˈɔː	0.119
ˈɪ	ˈɪ	0.9
ˈʉː	ˈiː	0.339
