Insular North Frisian	Insular North Frisian	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔː	1.0
ˈɔa̯	ˈɔa̯	1.0
ˈɔ	ˈɔ	1.0
ˈœ	ˈœ	1.0
ˈøː	ˈøː	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈaː	ˈaː	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa	ˈa	1.0
ʃ	ʃ	1.0
ʁ̥	ʁ̥	1.0
ɾ	ɾ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ə	ə	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
x	x	1.0
v	v	1.0
tʲ	tʲ	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	nʲ	1.0
n_t	n_t	1.0
n	n	1.0
m	m	1.0
lʲ	lʲ	1.0
l_t	l_t	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
aɪ̯	aɪ̯	1.0
