Macedonian	Proto-Slavic	probability
ˈo_r	o_r	1.0
ʦ_ɛ	ĭ_ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʒ	1.0
ɫ_a	l	1.0
ɫ_#>	l_ŭ_#>	1.0
ɫ	l	1.0
ɡ	ɡ	1.0
ɛ_t	ẽ_t	1.0
ɛ_#>	t_i_#>	1.0
u	-	1.0
t	t	1.0
s_t	s_t	1.0
s	s	1.0
r_ˈa	r	1.0
r	r	1.0
p_#>	b_ŭ_#>	1.0
o_#>	o_#>	1.0
n	n	1.0
m	m	1.0
l_ˈɛ	l	1.0
l	l	1.0
k_t	ŭ_t	1.0
k	k	1.0
j_<#	<#	1.0
i	ǐ	1.0
d	d	1.0
b	b	1.0
a	-	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
v	v	0.867
z	z	0.714
p	p	0.714
a_#>	ǎ_#>	0.684
ɫ_ˈa	l	0.667
n_#>	n_ŭ_j_ĭ_#>	0.667
ˈo_ɫ	ĭˀ_l	0.6
f_#>	v_ŭ_#>	0.6
k_#>	k_ŭ_#>	0.571
ˈr̩	r	0.538
ˈu	ǔː	0.5
ˈu	ûː_x	0.5
ˈi	i	0.5
ʦ	ʧ	0.5
ʦ	ʦ	0.5
<#_ˈo	<#_ǒ	0.5
<#_ˈo	<#_ô	0.5
#>	ĭ_#>	0.476
ɛ	e	0.429
o	-	0.429
<#	<#_x	0.429
ˈo_ɫ	ĭ̂_l	0.4
f_#>	v_ŭ_j_ĭ_#>	0.4
#>	ŭ_#>	0.357
ˈɛ	e	0.355
ˈo	ǒ	0.333
ɫ_ˈa	ôː_l	0.333
t_#>	t_ŭ_#>	0.333
t_#>	t_ĭ_#>	0.333
t_#>	d_ŭ_#>	0.333
n_#>	n_ĭ_#>	0.333
a_#>	a_#>	0.316
ɛ	ɛː	0.286
ɛ	ě	0.286
z	ŭ	0.286
p	b_ĭ	0.286
o	ǒ	0.286
o	ĭ	0.286
k_#>	ɡ_ŭ_#>	0.286
<#	s_<#	0.286
<#	<#_ô	0.286
ˈo	o	0.278
ˈi	j	0.25
ˈi	ǐ	0.25
ˈr̩	ĭ̌_r	0.231
ˈr̩	ĭ̂_r	0.231
ˈo	ô	0.222
ˈo	ôː	0.167
ˈɛ	ê	0.161
k_#>	k_ŭ_j_ĭ_#>	0.143
v	ŭ̂_v	0.133
ˈɛ	ɛ̂ː	0.129
#>	e_#>	0.119
ˈɛ	ɛː	0.097
ˈɛ	ɛ̌	0.065
ˈɛ	ɛˀ	0.065
ˈɛ	ẽ̂ː	0.065
ˈɛ	ẽ	0.065
