East Franconian	Insular North Frisian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɔ_l	ˈʊ_l	1.0
ˈɒː	ˈɔː	1.0
ˈɒ_n	ˈʊ_n	1.0
ˈeː	-	1.0
ˈaɪ̯_s	ˈə_t	1.0
ˈa	k_ˈa	1.0
ʦ_n	t	1.0
ʦ_eː	aɪ̯	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɾ	ð	1.0
ɣ̊	ɣ̥	1.0
ɣ	ˈaɪ̯	1.0
ɡ̊_n	ç	1.0
ə	ˈʏ_ç	1.0
ɐ_n	ɐ	1.0
ɐ_d̥	ʁ̥_t	1.0
z̥_n	t	1.0
z̥	d	1.0
v̥	p	1.0
r	r	1.0
n_d̥	nʲ	1.0
l_d̥	lʲ	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f_a	ə	1.0
f	f	1.0
d̥_ɐ	t_ɐ	1.0
d̥_n	ɾ	1.0
b̥͡v̥	pʰ	1.0
b̥	b	1.0
a	-	1.0
l	l	0.99
m	m	0.931
v	v	0.884
ˈaʊ̯	ˈʏ	0.813
ʦ	tʰ	0.719
n	n	0.699
ɐ	ɐ	0.692
x	k	0.655
s	s	0.63
ɡ̊	ɡ	0.6
ʃ	s_k	0.512
ŋ	ŋ	0.497
ʃ	s	0.488
ˈaː	ˈoː	0.481
ˈɛ	ˈɛ	0.479
ˈaɪ̯	ˈə	0.427
ç	k	0.408
ˈɪ	ˈə	0.387
ˈʊ	ˈʊ	0.356
x	x	0.345
ŋ	-	0.335
ˈoː	-	0.332
s	t	0.314
ç	ŋ	0.313
n	-	0.301
ˈɔ	ˈuː	0.293
d̥	d	0.291
ˈuː	ˈua̯	0.29
ˈɪ	ˈɛ	0.284
ˈɔ	-	0.282
ˈiː	ˈɛ	0.282
ʦ	t	0.281
ç	ç	0.279
ˈoː	ˈoː	0.274
d̥	ɾ	0.258
ɡ̊	-	0.234
ˈuː	ˈʊ	0.224
ˈɒ	ˈɔː	0.222
ˈiː	ˈiː	0.217
ˈʊ	ˈœ	0.207
ˈoː	ˈiː	0.201
ˈɒ	ˈa	0.2
ˈɪ	ˈʊ	0.194
ˈoː	ˈuː	0.192
ˈɔ	ˈɔ	0.188
ˈaʊ̯	ˈyː	0.187
ˈaɪ̯	ˈiː	0.182
ˈɛ	-	0.168
ˈuː	-	0.168
ŋ	ç	0.168
ˈɔ	ˈœ	0.167
ɡ̊	k	0.166
ˈɒ	ˈʏ	0.159
ˈuː	ˈœ	0.159
ˈuː	ˈoː	0.159
d̥	tʰ	0.159
ɐ	r_ə	0.157
ˈʊ	ˈʏ	0.155
ˈaɪ̯	-	0.152
d̥	-	0.147
ˈiː	ˈə	0.145
ˈiː	ˈeː	0.14
ˈaɪ̯	ˈyː	0.139
ˈɛ	ˈa	0.135
ˈɒ	ˈuː	0.132
ˈaː	ˈeː	0.132
ˈaː	-	0.132
ˈɒ	ˈœ	0.131
ˈaː	ˈaʊ̯	0.129
ˈʊ	ˈɔ	0.128
ˈaː	ˈiː_n	0.125
d̥	t	0.125
ˈɛ	ˈeː	0.118
v	-	0.116
ɐ	ʁ̥	0.111
ˈiː	-	0.11
ˈiː	ˈøː	0.106
ˈɛ	ˈɛː	0.101
ˈaɪ̯	ˈʏ	0.1
ˈɒ	ˈeː	0.097
ˈʊ	-	0.09
ˈɪ	ˈœ	0.082
ˈɔ	ˈaː	0.069
m	-	0.069
ˈʊ	ˈɛ	0.065
ˈɒ	ˈua̯	0.06
s	ʃ	0.056
ˈɪ	-	0.053
