Galician	Friulian	probability
a	a	0.428
a	e	0.276
a	ˈaː	0.145
a	-	0.057
a_ɾ	ˈaː	0.594
a_ɾ	r	0.392
b	v	0.545
b	b	0.393
d	d	0.898
d	t	0.097
e	e	0.42
e	i	0.166
e	a	0.081
e	j	0.081
e	ˈe	0.081
e	ˈo	0.081
e	-	0.066
e_s	s	1.0
f	f	1.0
i	i	0.462
i	a	0.149
i	u	0.149
i	ˈi	0.149
i	e	0.076
j	-	0.445
j	j	0.146
j	l	0.127
j	ˈɔ	0.081
j	i	0.068
j	ʧ	0.067
j	ˈa	0.058
k	c	0.412
k	k	0.408
k	k_w	0.078
k_ʊ	k	1.0
l	l	0.865
l	j	0.052
m	m	0.865
m	-	0.055
m	n	0.051
m_ɪ	n	1.0
n	n	0.884
n	ɲ	0.072
o	o	0.396
o	-	0.382
o	u	0.088
o	i	0.058
p	p	0.957
p_ʊ	p	1.0
r	r	1.0
s	s	0.659
s	-	0.28
s_ʊ	s	1.0
t	t	0.688
t	-	0.134
t	d	0.08
t	c	0.052
t_ɪ	t	1.0
t_ʊ	t	1.0
u	u	1.0
v	v	0.38
v	z	0.19
w	w	0.467
w	ˈoː	0.228
w	l	0.115
w	-	0.1
w	j	0.076
ð	d	0.761
ð	t	0.22
ð_ɪ	t	1.0
ð_ʊ	t	1.0
ŋ	n	0.498
ŋ	ŋ	0.278
ŋ	-	0.202
ɐ	e	0.866
ɐ	-	0.116
ɑ	a	0.501
ɡ	ɡ	0.639
ɡ	s	0.14
ɡ	k	0.1
ɡ	ɟ	0.1
ɣ	ɡ	0.554
ɣ	-	0.239
ɣ	v	0.117
ɣ	k	0.067
ɣ_ʊ	k	0.684
ɣ_ʊ	s	0.221
ɪ	-	0.743
ɪ	l	0.12
ɪ	e	0.112
ɲ	n	0.588
ɲ	ɲ	0.408
ɲ_ʊ	n	0.478
ɲ_ʊ	ɲ	0.451
ɾ	r	0.815
ɾ	-	0.141
ɾ_n	r	1.0
ɾ_ɪ	r	1.0
ɾ_ʊ	r	1.0
ʃ	ʤ	0.433
ʃ	-	0.235
ʃ	s	0.2
ʃ	z	0.115
ʃ_ʊ	s	1.0
ʊ	-	0.655
ʊ	i	0.281
ʊ	l	0.05
ʎ	l	0.402
ʎ	j	0.324
ʎ	-	0.141
ʎ	ˈɛ	0.06
ʎ	u_l	0.059
ʧ	p_l	0.768
ʧ	k_l	0.135
ˈa	ˈa	0.783
ˈa	ˈaː	0.215
ˈa_ɾ	ˈaː	1.0
ˈe	ˈe	0.4
ˈe	ˈɛ	0.187
ˈe	ˈi	0.168
ˈe	ˈeː	0.101
ˈe	-	0.093
ˈe_j	ˈe	0.758
ˈe_j	ˈiː	0.095
ˈe_ɾ	i	0.653
ˈe_ɾ	ˈeː	0.209
ˈe_ɾ	ˈiː	0.113
ˈi	ˈi	0.645
ˈi	-	0.088
ˈi	ˈiː	0.075
ˈi	i	0.058
ˈi	ˈeː	0.058
ˈi	j	0.05
ˈi_ɾ	i	0.53
ˈi_ɾ	ˈiː	0.305
ˈo	ˈo	0.342
ˈo	ˈɔ	0.214
ˈo	-	0.127
ˈo	ˈa	0.065
ˈo	v_ˈɔ	0.065
ˈo	ˈu	0.058
ˈu	ˈu	0.454
ˈu	ˈuː	0.32
ˈu	ˈo	0.119
ˈu	-	0.055
ˈɑ	ˈa	0.818
ˈɑ	ˈaː	0.176
ˈɔ	ˈuː	0.31
ˈɔ	ˈo	0.158
ˈɔ	w_ˈa	0.108
ˈɔ	w_ˈɛ	0.094
ˈɔ	ˈoː	0.094
ˈɔ	ˈɔː	0.062
ˈɔ	aː	0.054
ˈɔ	ˈe	0.054
ˈɔ	w	0.053
ˈɛ	j_ˈɛ	0.416
ˈɛ	ˈiː	0.194
ˈɛ	ˈɛ	0.156
ˈɛ	ˈɛː	0.115
β	-	0.418
β	v	0.277
β	b	0.192
β	p	0.071
β_ɪ	f	1.0
β_ʊ	f	1.0
θ	ʧ	0.378
θ	s	0.348
θ	-	0.076
θ	ʤ	0.076
θ	z	0.066
