Friulian	Friulian	probability
ˈɛ_r	rː	1.0
ˈɔː	ˈo	1.0
ˈɔ	ˈɔ	1.0
ˈoː_#>	ˈɔ_j_#>	1.0
ˈo_d	d	1.0
ˈi_w	ˈi_u	1.0
ˈi_n	n	1.0
ˈeː_#>	ˈɛ_#>	1.0
ˈeː	ˈɛ	1.0
ˈaː_r	ˈa_r	1.0
ˈaː_f	ˈa_p	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ˈa_w	ˈo	1.0
ŋ_#>	#>	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈa	ˈɔ	1.0
v_ˈɔ	ˈo	1.0
v_j	v	1.0
v_a	bː	1.0
u_r	ˈɔ_r	1.0
r_ˈa	r_ˈa	1.0
p_l	p_j	1.0
p	p	1.0
o_l	u_l	1.0
l_ˈa	j_ˈa	1.0
l_i	c_u	1.0
k_r	k_r	1.0
k_l	c	1.0
j_ˈɛ	ˈe	1.0
i_ʧ	i_ʧ	1.0
d_e	t_a	1.0
b	b	1.0
a_v	a_p	1.0
a_r	e_r	1.0
a_d	a_t	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_ɲ	<#_n	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_a	<#_a	1.0
m	m	0.972
r	r	0.962
ˈa	ˈa	0.951
k	k	0.917
ˈu	ˈu	0.889
f	f	0.889
n	n	0.882
c	k	0.857
v	v	0.852
ɲ	ɲ	0.818
d	d	0.808
e	a	0.807
ˈi	ˈi	0.8
ʤ	ɟ	0.8
ˈe	ˈɛ	0.762
o	u	0.75
t_#>	t_u_#>	0.727
u	u	0.714
ˈoː	ˈɔ	0.667
ʧ	-	0.667
s_#>	#>	0.667
s	s	0.655
#>	u_#>	0.607
w	ˈɔ	0.6
t	t	0.562
ɡ	ɡ	0.538
ˈuː	ˈu	0.5
ˈo	ˈɔ	0.5
ˈiː	ˈe	0.5
<#	<#_ɟ	0.5
<#	<#_a	0.5
l	l	0.462
ŋ	n	0.444
z	-	0.429
ˈɛ	ˈɛ	0.409
w	w	0.4
i	e	0.389
ˈuː	ˈɔ	0.333
ˈoː	ˈo	0.333
ʧ	ʦː	0.333
s_#>	i_#>	0.333
ɡ	k	0.308
l	lː	0.308
i	i	0.306
#>	e_#>	0.304
ˈiː	e	0.3
t	tː	0.292
ˈo	ˈo	0.286
z	ʒ	0.286
z	z	0.286
u	-	0.286
j	ˈe	0.286
ˈɛ	ˈe	0.273
t_#>	#>	0.273
ŋ	ŋ	0.259
o	o	0.25
j	ˈɛ	0.238
ˈɛ	lː	0.227
ŋ	n_e	0.222
ˈiː	ˈi	0.2
ˈi	ˈɛ	0.2
ʤ	-	0.2
d	t	0.192
ɲ	-	0.182
ˈuː	ˈo	0.167
i	u	0.167
ɡ	kː	0.154
l	u	0.154
v	-	0.148
ˈo	ˈu	0.143
ˈe	ˈe	0.143
j	l	0.143
j	-	0.143
c	kː	0.143
ˈu	ˈo	0.111
f	v_e	0.111
ˈe	-	0.095
j	ɟ	0.095
j	j	0.095
ˈɛ	ʎ	0.091
s	ʧ_e	0.091
s	sː	0.091
t	d_e	0.083
k	u	0.083
i	-	0.083
l	j	0.077
ŋ	u	0.074
s	ʃ	0.073
ˈo	-	0.071
e	i	0.06
e	e	0.06
n	nː	0.059
n	-	0.059
i	o	0.056
s	z	0.055
#>	a_#>	0.054
