ID	Language_ID	Glottocode	ISO 639-3	Parameter_ID	Value	Form	Segments	Source_Form	Cognate_ID	Loan	Comment	Source
Mono_NO OR NOT_1_nonot-1	Mono	mono1275	mnr	NO OR NOT	qatuʔu	qatuʔu	q a t u ʔ u	q a t u ʔ u	NO OR NOT_1_nonot-1			Miller1984
Mono_MANY_2_many-1	Mono	mono1275	mnr	MANY	ewa	ewa	e w a	e w a	MANY_2_many-1			Miller1984
Mono_ONE_3_one-1	Mono	mono1275	mnr	ONE	sɨmɨ	sɨmɨ	s ɨ m ɨ	s ɨ m ɨ	ONE_3_one-1			Miller1984
Mono_TWO_4_two-3	Mono	mono1275	mnr	TWO	waha	waha	w a h a	w a h a	TWO_4_two-3			Miller1984
Mono_BIG_5_big-1	Mono	mono1275	mnr	BIG	papa	papa	p a p a	p a p a	BIG_5_big-1			Miller1984
Mono_OLD_6_old-1	Mono	mono1275	mnr	OLD	mua-	mu̯a	m u̯ a	m u a	OLD_6_old-1			Liljeblad1966
Mono_SMALL_7_small-2	Mono	mono1275	mnr	SMALL	ino-cicciʔ	inociʦːiʔ	i n o c i ʦː i ʔ	i n o + c i tsː i ʔ	SMALL_7_small-2			Miller1984
Mono_SHORT_8_short-4	Mono	mono1275	mnr	SHORT	toppo-ciccini	topːociʦːini	t o pː o c i ʦː i n i	t o pː o + c i tsː i n i	SHORT_8_short-4			Miller1984
Mono_LONG_9_long-1	Mono	mono1275	mnr	LONG	ɨti	ɨti	ɨ t i	ɨ t i	LONG_9_long-1			Miller1984
Mono_NEW_10_new-1	Mono	mono1275	mnr	NEW	pɨtɨt-tɨ-ppɨ	pɨtɨttɨpːɨ	p ɨ t ɨ t t ɨ pː ɨ	p ɨ t ɨ t + t ɨ + pː ɨ	NEW_10_new-1			Miller1984
Mono_GOOD_11_good-1	Mono	mono1275	mnr	GOOD	cawu	ʦawu	ʦ a w u	ts a w u	GOOD_11_good-1			Miller1984
Mono_ROUND_12_round-3	Mono	mono1275	mnr	ROUND	attɨp-pono	atːɨppono	a tː ɨ p p o n o	a tː ɨ p + p o n o	ROUND_12_round-3			Miller1984
