Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	ˈi	1.0
ˈi_r	ˈi	1.0
ˈe_r	ˈe	1.0
ʧʲ	-	1.0
ʦʲ	tː_i	1.0
ʒ	ʤ	1.0
ʃ_t	ʃː	1.0
ʃ	s	1.0
ɨ	-	1.0
ɡ_e	e	1.0
ŋ	-	1.0
v	v	1.0
u_r	a_r	1.0
t_e	t_i	1.0
s_p	i_pː	1.0
s_k	xː	1.0
r_k	xː	1.0
r_#>	r_u_#>	1.0
o̯ˈa_r	ˈɔ_ɬ	1.0
o	-	1.0
nʲ	n	1.0
n_#>	n_u_#>	1.0
m_n	ɲː_u	1.0
kʲ	ʧː	1.0
j_#>	j_#>	1.0
i_m	i_m	1.0
f_e	fː	1.0
f	f	1.0
e̯ˈa	-	1.0
e_#>	#>	1.0
d	d	1.0
a	a	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʦ	1.0
<#_z	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#	<#_a	1.0
u	u	0.941
#>	u_#>	0.812
z	d	0.8
ˈa	ˈa	0.795
p	p	0.786
r_e_#>	#>	0.769
ə	a	0.739
e	i	0.717
ʦ	-	0.714
ɡ	ɡ	0.714
ʧ	ʦ	0.7
b	b	0.692
r	r	0.689
n	n	0.675
ˈo	ˈɔ	0.65
ˈɨ	ˈa	0.6
e_r	ˈi	0.6
p_t	tː	0.571
j_ˈe	ˈe	0.571
k	k	0.543
l	l	0.538
ʤ	ʤ	0.5
o̯ˈa	ˈɔ	0.5
m	mː	0.5
j	ʎː	0.5
j	-	0.5
ˈi	ˈi	0.48
t	t	0.458
ˈe	ˈɛ	0.429
w	j	0.429
p_t	tː_u	0.429
j_ˈe	ˈɛ	0.429
t	dː	0.417
ˈu	ˈu	0.4
e_r	a_r	0.4
s	s	0.381
ˈo	ˈo	0.35
ˈu	ˈo	0.343
o̯ˈa	-	0.333
i	ˈi	0.333
i	i	0.333
i	-	0.333
m	m	0.312
b	-	0.308
ʧ	-	0.3
ʤ	-	0.3
ˈe	ˈe	0.286
ˈe	-	0.286
ʦ	ʒ	0.286
ɡ	-	0.286
w	β_u	0.286
w	u	0.286
ˈi	ˈɛ	0.28
ˈu	ˈɔ	0.257
r_e_#>	ˈi_#>	0.231
ˈɨ	ˈɛ	0.2
ˈɨ	-	0.2
ʤ	ɲː	0.2
z	ʣ	0.2
l	j	0.192
s	sː	0.19
s	-	0.19
m	-	0.188
k	ɡː	0.171
e	u	0.17
o̯ˈa	ˈo	0.167
ˈi	-	0.16
r	-	0.156
ə	i	0.152
s	z	0.143
t	tː	0.125
l	dː	0.115
k	ɡ	0.114
p	bː	0.107
p	-	0.107
#>	i_#>	0.104
ˈa	-	0.103
n	nː	0.1
n	-	0.1
s	i_ɬ	0.095
r	rː	0.089
k	kː	0.086
ˈi	ˈe	0.08
l	ʦː	0.077
l	ɬ	0.077
n	u	0.075
e	a	0.075
r	u	0.067
ə	-	0.065
u	ɔ	0.059
k	-	0.057
ˈa	ˈe	0.051
ˈa	j	0.051
