Mainland North Frisian	Mainland North Frisian	probability
ˈɛ_#>	ˈiː_ɐ_#>	1.0
ˈɒː_d	ˈa_s	1.0
ˈœi̯	-	1.0
ˈuː_l	ˈa_l	1.0
ʀ_n	ɐ_n	1.0
ɡ	ɡ	1.0
ɛi̯	eː	1.0
ə_ʀ	ɐ	1.0
v	v	1.0
s_t	s_t	1.0
s_l	ʃ_l	1.0
s_#>	z̥_#>	1.0
p_#>	f_#>	1.0
m	m	1.0
l	l	1.0
j_ə	ɡ	1.0
i	ɪ	1.0
h	h	1.0
dʲ_ə	t_n	1.0
dʲ	t	1.0
d_ə	t	1.0
<#_ʀ	<#_ʁ	1.0
<#_n	<#_n	1.0
f	f	0.92
ʃ	ʃ	0.875
b	b	0.857
n	n	0.838
tʲ	s	0.778
ˈɒ	ˈa	0.75
ˈɛ	-	0.714
ŋ	ŋ	0.714
d̥	t	0.7
#>	ə_#>	0.69
d	tʰ	0.682
ˈɔ	ˈɔ	0.667
ˈaː	-	0.667
ˈɔu̯	-	0.625
lʲ	l	0.6
ˈœː	-	0.571
ˈyː	ˈoː	0.571
s	z	0.562
ˈɛi̯	ˈaː	0.556
ˈɒː	ˈa	0.556
ˈuː	ˈaʊ̯	0.545
x	x	0.545
ʀ	ɐ	0.523
ˈi	ˈaɪ̯	0.522
ˈɛː	ˈɛ	0.5
ˈai̯	ˈɪ	0.5
ˈai̯	-	0.5
ç	k_n	0.5
ç	-	0.5
z̥	d̥	0.5
z̥	-	0.5
p	p͡f	0.5
p	f	0.5
j	ɡ	0.5
j	-	0.5
<#	<#_ˈa	0.5
<#	<#_v	0.5
ʀ	ʁ	0.477
ˈɔː	-	0.455
v̥	b̥	0.444
nʲ	n	0.444
ˈœː	ˈaʊ̯	0.429
ˈyː	-	0.429
ə	n	0.423
ˈʏ	ˈaʊ̯	0.4
lʲ	l_t	0.4
k	kʰ	0.379
ˈɔu̯	ˈoː	0.375
ˈiː	ˈaɪ̯	0.37
t	ʦ	0.356
ˈi	ˈɪ	0.348
ˈʊ	ˈʊ	0.333
ˈɔ	-	0.333
ˈiː	ˈiː	0.333
ˈeː	ˈa	0.333
ˈaː	ˈɔ	0.333
z	z	0.333
z	s	0.333
z	-	0.333
v̥	-	0.333
v_ə	f	0.333
v_ə	b_n	0.333
v_ə	b	0.333
nʲ	d̥	0.333
s	ʃ	0.312
t	t	0.311
d̥	d̥	0.3
ˈœ	ˈuː	0.294
ˈœ	-	0.294
ˈɛ	ˈuː	0.286
ˈa	ˈɪ	0.278
ˈuː	-	0.273
x	ç	0.273
ˈɛː	ˈaː	0.25
ˈɛː	-	0.25
ˈɒ	ˈɛ	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈaː	0.25
k	ç	0.241
#>	d̥_#>	0.241
d	d	0.227
ˈɛi̯	ˈyː	0.222
ˈɛi̯	-	0.222
ˈɒː	ˈaː	0.222
ˈɒː	-	0.222
ˈa	ˈɛ	0.222
ˈa	-	0.222
v̥	f	0.222
tʲ	d	0.222
nʲ	ɡ_n	0.222
ə	ə_n	0.212
k	k	0.207
ˈʏ	-	0.2
t	d	0.2
ə	-	0.192
ˈʊ	ˈa	0.19
ˈiː	ˈeː	0.185
ˈɔː	ˈɔ	0.182
ˈɔː	ˈaː	0.182
ˈɔː	ˈa	0.182
ˈuː	ˈoː	0.182
x	ə	0.182
ˈœ	ˈa_n	0.176
k	x	0.172
ˈeː	ˈʏ	0.167
ˈa	ˈa	0.167
ˈʊ	ˈɪ	0.143
ˈʊ	-	0.143
ŋ	ç	0.143
ŋ	-	0.143
b	-	0.143
ˈʏ	ˈʊ_n	0.133
ˈʏ	ˈɔʏ̯	0.133
ˈʏ	ˈuː	0.133
t	s	0.133
ˈi	-	0.13
ʃ	-	0.125
ˈœ	ˈɔ	0.118
ˈœ	ˈa	0.118
ə	ə	0.115
ˈiː	-	0.111
ˈa	ˈʏ	0.111
n	n_d	0.108
ˈʊ	ˈɔ	0.095
ˈʊ	v_ˈɔ	0.095
d	-	0.091
f	-	0.08
#>	ç_#>	0.069
s	ʃ_v	0.062
s	s	0.062
n	-	0.054
