French	French	probability
ʃ_ɛ	k_ˈa	1.0
ʁ_ɛ	ʁ_ɐ	1.0
ʁ_i	ɾ_ˈe	1.0
ʁ_b	ɾ_v	1.0
ɲ	ɲ_ɐ	1.0
ɛ_ʁ	ɨ_ɾ	1.0
ɛ_n_#>	ˈɐ̃_#>	1.0
ɔ_ʁ	u_ɾ	1.0
ɔ_n	ˈo_ɐ	1.0
œ_ʁ	ɾ	1.0
z	z	1.0
v_ʁ	β_ɾ	1.0
t_#>	t_ɐ_#>	1.0
s_#>	ʃ_#>	1.0
p_l	ʃ	1.0
p	p	1.0
n_ɔ̃	ũ	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
k_l	ʃ	1.0
k	k	1.0
j_ɛ	ˈɛ	1.0
b	b	1.0
<#_ʁ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
v	v	0.923
s	s	0.881
y	ˈu	0.818
ʁ	ɾ	0.792
f	f	0.786
w_a	ˈe	0.75
ʒ	ʒ	0.733
ʃ	k	0.722
d	d	0.7
ɡ	ɡ	0.636
<#_a	<#_ˈa	0.6
ɥ	ˈo	0.556
ə	ɨ	0.556
ɔ̃	ˈõ	0.538
œ	ˈo	0.538
j	ʎ	0.529
ɔ	ˈo	0.5
t	t	0.5
a_#>	ʃ_#>	0.5
<#	<#_ˈo	0.5
<#	<#_ˈa	0.5
#>	u_#>	0.489
ɑ̃	ˈẽ	0.474
œ	ˈɔ	0.462
e	ˈa_ɾ	0.462
ɥ	ˈu	0.444
l	l	0.417
#>	ɐ_#>	0.405
<#_a	<#_ɐ	0.4
u	ˈo	0.381
i	ˈi	0.368
ɡ	ɣ	0.364
a	ɐ	0.364
ø	ˈɔ	0.333
n	n	0.333
ɛ̃	ɲ_u	0.318
ɑ̃	ˈɐ̃	0.316
t	ʃ_t	0.3
j	-	0.294
o	ˈɛ_l	0.286
ʃ	k_ɐ	0.278
ɛ	ˈɛ	0.278
ɛ̃	ˈɐ̃_w̃	0.273
ɔ	ˈɔ	0.25
w_a	ɨ	0.25
w	-	0.25
n	ɲ	0.25
n	-	0.25
a_#>	j_#>	0.25
a_#>	#>	0.25
ɔ̃	ˈɐ̃_w̃	0.231
ɛ	ˈa	0.222
ə	ɐ	0.222
ə	-	0.222
ø	ˈo_ɣ	0.222
ø	w	0.222
ø	u	0.222
o	ˈɔ	0.214
o	ˈa_ɫ	0.214
f	-	0.214
a	ˈa	0.212
l	u	0.208
l	-	0.208
w	ˈɐ	0.2
d	ð	0.2
ɛ	ˈe	0.194
u	ˈɔ	0.19
u	u	0.19
y	-	0.182
j	j	0.176
n	ɐ	0.167
i	ˈe	0.158
ɔ̃	-	0.154
e	ˈa_ð	0.154
e	ɾ	0.154
e	-	0.154
w	ˈu	0.15
u	-	0.143
o	ˈo	0.143
o	w	0.143
ɛ̃	ˈĩ	0.136
ʒ	ʃ	0.133
ʒ	-	0.133
ɔ	ɔ	0.125
ɔ	u	0.125
ɛ	ɐ	0.111
ɑ̃	ɐ̃	0.105
ɑ̃	-	0.105
i	ˈi_ɣ	0.105
i	j_t	0.105
w	ˈɨ	0.1
w	ˈɔ	0.1
w	ˈe_ð	0.1
w	ð	0.1
t	s_ˈe	0.1
t	-	0.1
d	-	0.1
u	ˈo_ð	0.095
#>	ʃ_#>	0.092
ɛ̃	ˈɐ̃	0.091
ɛ̃	u	0.091
ɛ̃	t_u	0.091
a	ˈe	0.091
a	u	0.091
ɛ	ˈɐ_j	0.083
l	ʃ	0.083
l	ɐ	0.083
i	ˈɐ_j	0.079
i	i	0.079
ɔ̃	õ	0.077
v	β	0.077
e	ˈa	0.077
s	ʃ	0.071
a	ˈa_j	0.061
a	w_ˈa	0.061
a	j	0.061
a	-	0.061
ʁ	ʁ	0.056
ʁ	-	0.056
ɛ	ɨ	0.056
ɛ	-	0.056
i	ˈi_ʎ	0.053
i	-	0.053
