Cantonese	Cantonese	probability
⁵	²	1.0
ʧʰ	ʦʰ	1.0
ʧ	t	1.0
ʃ	s_o	1.0
ɵ	u	1.0
ɪ	-	1.0
ɥ	-	1.0
ɐ_w	a_w	1.0
ɐ_j	o_j	1.0
œː	õ	1.0
¹³	⁵²	1.0
³⁵	⁵²	1.0
³³	²¹³	1.0
³	²	1.0
²	⁴	1.0
yː_n	e_ŋ	1.0
w_ɔː	ŋ̍	1.0
w	w	1.0
uː	u	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
o_w	o	1.0
l	l	1.0
kʷʰ	kʰ	1.0
kʰ	k	1.0
k	k	1.0
j_ɐ	i	1.0
j_iː	ʣ	1.0
iː_w	j_e	1.0
iː_n	ĩ	1.0
h_ɔː	h_a	1.0
e_j	i	1.0
e	w	1.0
<#_h	<#	1.0
⁵⁵	³³	0.972
²¹	⁵⁵	0.972
h	kʰ	0.778
n	ŋ	0.762
iː	i	0.75
²²	¹¹	0.714
ʦ	ʦ	0.667
<#	<#_h	0.667
m	m	0.647
ʦʰ	ʦʰ	0.625
k̚	k̚	0.625
ʊ	a	0.615
ŋ	ŋ	0.607
ɛː	-	0.6
yː	ɯ	0.6
s	s	0.529
ɔː	a	0.526
t̚	ʔ	0.5
o	o	0.5
o	a	0.5
aː	e	0.421
t̚	k̚	0.417
ɛː	j	0.4
ɐ	u	0.4
yː	-	0.4
j	j	0.389
k̚	ʔ	0.375
m	b	0.353
ɐ	i	0.35
ʦ	-	0.333
<#	<#_k	0.333
f	p	0.308
f	h_w	0.308
s	ʦ	0.294
²²	³⁵	0.286
ɔː	o	0.263
aː	a	0.263
ʦʰ	t	0.25
iː	j	0.25
ʊ	e	0.231
f	h	0.231
j	ʣ	0.222
j	e	0.222
h	h	0.222
aː	-	0.211
s	ʦʰ	0.176
j	-	0.167
ʊ	o	0.154
f	kʰ	0.154
ɐ	a	0.15
ŋ	-	0.143
n	l	0.143
ʦʰ	ʨʰ	0.125
ŋ	ɡ	0.107
ɔː	ɯ	0.105
ɔː	-	0.105
aː	u	0.105
ɐ	e	0.1
n	ã	0.095
t̚	p̚	0.083
ŋ	ẽ	0.071
ŋ	ã	0.071
