Aragonese	Brazilian Portuguese	probability
f	f	1.0
r	h	1.0
u	ˈɔ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɲ	j̃	1.0
ʃ	j_ʃ	1.0
ʝ	-	1.0
ʧ	ʒ	1.0
e	ẽ	0.071
e	i	0.441
i	i	0.131
p	b	0.071
s	s	0.541
w	ˈɔ	0.091
ˈi	ˈe	0.081
ˈo	ˈo	0.511
n	j̃	0.262
s	ʃ	0.432
ˈa	ˈa	0.62
β	v	0.652
b	v	0.743
d	ʤ	0.103
i	e	0.763
j	-	0.533
l	-	0.263
w	w	0.693
ð	-	0.123
ˈi	ˈi	0.503
e	e	0.434
k	k	0.974
l	w	0.194
n	w̃	0.094
n	-	0.284
w	-	0.084
w	u	0.124
ɾ	ɾ	0.474
ʎ	ʎ	0.594
ˈa	ˈɐ̃	0.344
j	j	0.455
ˈe	ˈõ	0.15
ˈo	ˈɐ̃	0.065
ˈo	ˈɔ	0.345
θ	z	0.15
i	ĩ	0.106
n	n	0.36
t	t	0.826
ʎ	l	0.406
ˈi	ˈĩ	0.416
ˈu	ˈũ	0.446
ˈu	ˈu	0.456
b	b	0.257
d	d	0.897
l	l	0.517
o	o	0.07
o	u	0.867
ð	d	0.877
a	ɐ	0.688
m	m	0.968
o	-	0.058
t	ʧ	0.08
ˈe	ˈe	0.698
ˈu	ˈo	0.098
β	b	0.348
a	a	0.249
p	p	0.929
ɾ	ɦ	0.119
ɾ	h	0.379
θ	ʃ	0.329
θ	s	0.489
