Icelandic	Icelandic	probability
ˈʏː	-	1.0
ˈɪː_t	ð̞ˠ	1.0
ˈɛi̯	ˈeˀ	1.0
ˈɛ_ʰt	ˈɑ_d̥	1.0
ˈɔː	-	1.0
ˈɔu̯	-	1.0
ˈɑːu̯_r̥	ˈɒˀ	1.0
ˈu	ˈu	1.0
ˈou̯	-	1.0
ˈiː_r̥	ˈoˀ	1.0
ˈeːi̯	-	1.0
ˈaːu̯	ˈɔˀ	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ˈa_r	ˈɑˀ	1.0
ʰt͡n̥	nˀ	1.0
ʰt	d̥	1.0
ʰp	-	1.0
ʰc	ɡ̊	1.0
ʏ_ð	ə_ð̞ˠ	1.0
ʏ_r̥_#>	#>	1.0
ʏ_#>	#>	1.0
ɲ	ˈø_ŋ	1.0
ɪ_r̥	ɐ	1.0
ɡ̊ː	ɡ̊	1.0
ɡ̊_#>	#>	1.0
ɡ̊	-	1.0
ɟ̊ː	ɡ̊	1.0
ɟ̊	-	1.0
ɛ	-	1.0
ɑu̯	e	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋˀ	1.0
ð_ʏ	ɐ	1.0
ç	h	1.0
x	ˈɑ_j	1.0
t͡n̥	n	1.0
tʰ	ʦʰ	1.0
t_ʏ	ð̞ˠ	1.0
sː	s	1.0
s_j	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r_j	ʁ	1.0
r_a	ɐ	1.0
pʰ	pʰ	1.0
p_ʏ_r̥_#>	b̥_#>	1.0
n̥	n	1.0
n_d̥	nˀ	1.0
n	n	1.0
l_v	lˀ	1.0
l_d̥	lˀ	1.0
kʰ_v	ʋ	1.0
k_ʏ_r̥_#>	#>	1.0
k_ʏ	j	1.0
j_ˈuː	ˈyˀ	1.0
i	e	1.0
h	h	1.0
d̥	-	1.0
cʰ	kʰ	1.0
b̥	b̥	1.0
aːu̯	ə	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ˈʏ	<#	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_ɟ̊	<#_ɡ̊	1.0
<#_ç	<#_j	1.0
<#_v	<#_ʋ	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_d̥	1.0
<#	<#_kʰ	1.0
l	l	0.9
f	f	0.895
θ	ʦʰ	0.867
m	m	0.833
c	ɡ̊	0.778
ˈʏ	ˈu	0.75
ˈɛ	ˈɛ	0.75
ˈœ	-	0.75
k	ɡ̊	0.727
p	b̥	0.714
ð	ð̞ˠ	0.68
ˈɪː	-	0.667
ˈi	-	0.667
ɪ_#>	ə_#>	0.667
kʰ	kʰ	0.625
ˈuː	ˈuˀ	0.615
ˈiː	ˈiˀ	0.611
ˈɑːu̯	-	0.6
ˈɑu̯	ˈɑ	0.6
ʰk	ɡ̊	0.6
ɣ	j	0.6
ˈɛː	-	0.583
ˈoːu̯	ˈoˀ	0.571
ˈaːi̯	-	0.571
t͡l̥	lˀ	0.556
nː	n	0.556
r	ʁ	0.548
t	d̥	0.538
r̥	-	0.523
ˈɔ	ˈo	0.5
ˈœː	w	0.5
ˈœː	-	0.5
ˈa	ˈæ	0.5
ʏ	ə	0.5
l̥	lˀ	0.5
l̥	l	0.5
j_ˈoːu̯	ˈyː	0.5
j_ˈoːu̯	ˈyˀ	0.5
<#_ˈɛ	<#_ˈeˀ	0.5
<#_ˈɛ	<#	0.5
t	ð̞ˠ	0.462
t͡l̥	l	0.444
nː	nˀ	0.444
r̥	ɐ	0.432
ˈoːu̯	-	0.429
ˈɛːi̯	ˈeˀ	0.4
ˈɛːi̯	-	0.4
ˈɑːu̯	ˈɔˀ	0.4
ˈɑu̯	-	0.4
ʰk	-	0.4
ɣ	-	0.4
j	-	0.4
v	ʋ	0.389
ˈɪ	ˈe	0.375
ˈœːy̯	ˈœˀ	0.375
ˈœːy̯	ˈøˀ	0.375
kʰ	kʰ_ˈʌ	0.375
ˈaː	ˈæ	0.364
ˈɪː	ˈeˀ	0.333
ˈɔ	-	0.333
ˈi	ˈe	0.333
ɪ_#>	#>	0.333
v	w	0.333
ð	-	0.32
ʏ	-	0.3
r	ɐˀ	0.29
ˈaːi̯	ˈøː	0.286
p	wˀ	0.286
v	-	0.278
ˈaː	ˈɛː	0.273
k	-	0.273
ˈʏ	-	0.25
ˈɪ	ˈœ	0.25
ˈɛː	ˈɛˀ	0.25
ˈɛ	ˈe	0.25
ˈœːy̯	ˈøː	0.25
ˈœ	ˈæ	0.25
j	ˈeˀ	0.25
j	j	0.25
ˈuː	ˈuː	0.231
c	-	0.222
ˈɛːi̯	ˈøː	0.2
ʏ	w	0.2
ˈa	ˈɑ	0.188
ˈa	-	0.188
ˈaː	ˈæˀ	0.182
ˈaː	-	0.182
ˈɛː	ˈe	0.167
ˈɔ	ˈɔ	0.167
ˈiː	ˈiː	0.167
ˈuː	w	0.154
ˈaːi̯	ˈœː	0.143
θ	-	0.133
ˈɪ	ˈø	0.125
ˈɪ	ˈi	0.125
ˈɪ	-	0.125
ˈa	ˈɛ	0.125
ˈiː	ˈyˀ	0.111
ˈiː	-	0.111
f	-	0.105
l	lˀ	0.1
j	ˈyː	0.1
r	ɐ	0.097
m	m_ˈe	0.083
m	-	0.083
r	-	0.065
