German	Nynorsk Norwegian	probability
ˈʏ	ˈʏ	1.0
ˈɪ_ç	ˈeː	1.0
ˈɔʏ̯	ˈyː	1.0
ˈyː	ˈøː	1.0
ˈoː_t_#>	ˈæʉ̯_#>	1.0
ˈeː_ə	ˈoː	1.0
ˈeː_#>	ˈøː_#>	1.0
ʁ	ɾ	1.0
ɡ̊_#>	ɡ_#>	1.0
ə_n	ɑ	1.0
ə_#>	#>	1.0
ɐ_n	ɾ_n	1.0
ŋ_k	ʰkː	1.0
ŋ	ŋː	1.0
ç_t	ʰtː	1.0
tʰ	d	1.0
p͡f	pʰ	1.0
n_d̥_#>	nː_#>	1.0
n_#>	#>	1.0
l_f	l_ʋ	1.0
l_d̥	lː	1.0
l_#>	l_#>	1.0
k_ə	ɡː	1.0
k	ɡː	1.0
h	h	1.0
f_n	p_ɑ	1.0
f_#>	p_#>	1.0
d̥_#>	#>	1.0
d̥	e	1.0
b_n_#>	#>	1.0
b_n	ʋ_ɑ	1.0
<#_ˈaɪ̯	<#_ˈæɪ̯	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʁ	<#_ɾ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
m	m	0.923
b	b	0.917
f	f	0.9
v	ʋ	0.842
ɐ	ɾ	0.833
ˈɛ	ˈɛ	0.818
ˈuː	ˈuː	0.818
kʰ	kʰ	0.818
s_#>	s_#>	0.8
ç	k	0.778
t_#>	#>	0.778
ɡ	ɡ	0.773
z	s	0.762
ə	e	0.75
l	l	0.75
ˈa	ˈɑ	0.731
ˈaʊ̯	ˈʉː	0.714
s	t	0.714
ˈɪ	ˈɪ	0.667
ʦ	tʰ	0.667
x	k	0.667
b̥_#>	ʋ_#>	0.667
d	tʰ	0.647
n_d	n_d	0.6
ˈʊ	ˈʉ	0.583
#>	n_#>	0.571
t	t	0.556
ˈoː	ˈæʉ̯	0.5
ˈoː	ˈoː	0.5
ʃ	s	0.478
ˈaɪ̯	ˈæɪ̯	0.455
ˈaɪ̯	ˈiː	0.455
ˈaː	ˈɑː	0.444
ˈeː	ˈeː	0.429
#>	ɡ_#>	0.429
n	ɑ	0.417
ˈɔ	ˈʊ	0.4
ˈɔ	ˈʉ	0.4
n_d	nː	0.4
ˈaː	ˈoː	0.389
ˈiː	ˈʉː	0.375
n	n	0.354
x	ʰtː	0.333
b̥_#>	#>	0.333
ˈiː	ˈyː	0.312
ʃ	ʂ	0.304
ˈeː	ˈæː	0.286
ˈeː	ˈoː	0.286
ˈaʊ̯	ˈæʉ̯	0.286
ˈʊ	ˈɔ	0.25
z	ʂ	0.238
ɡ	j	0.227
ç	ɡ	0.222
t_#>	d_#>	0.222
ʃ	s_k	0.217
ˈɔ	ˈuː	0.2
s_#>	#>	0.2
ˈa	ˈɑː	0.192
s	s	0.19
ˈiː	ˈiː	0.188
n	nː	0.188
ˈɛ	ˈeː	0.182
ˈuː	ˈʉː	0.182
kʰ	ç	0.182
l	lː	0.179
ˈʊ	ˈœ	0.167
ˈɪ	ˈʏ	0.167
ˈɪ	ˈiː	0.167
ˈaː	ˈɑ	0.167
ʦ	tː	0.167
ʦ	t	0.167
t	e	0.167
t	-	0.167
v	kʰ_ʋ	0.158
ə	ɑ	0.15
ˈiː	ˈeː	0.125
d	ç	0.118
d	d_e	0.118
d	-	0.118
t	ʰtː	0.111
ə	ə	0.1
f	p	0.1
ɐ	-	0.095
s	ʰtː	0.095
ˈaɪ̯	ˈɛ	0.091
b	ʋ_e	0.083
ˈa	ˈoː	0.077
m	mː	0.077
ɐ	ə_ɾ	0.071
l	j	0.071
