Afrikaans	Afrikaans	probability
χ_ə	ˈoĩ̯	1.0
ˈʊə̯_n	ˈẽː	1.0
ˈɪə̯_n	ˈãː	1.0
ˈɪø̯_n	ˈõː	1.0
ˈɪø̯	-	1.0
ˈɛː	-	1.0
ˈəɪ̯_n	ˈɑ̃i̯	1.0
ˈɑː_r	ˈɑː	1.0
ˈɑː_n	ˈɛ̃ː	1.0
ˈœu̯_d̥	ˈaː_l	1.0
ˈœu̯	l	1.0
ˈyː	ˈoi̯	1.0
ˈu_n	ˈĩː	1.0
ˈoː	-	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_r	æ̆	1.0
ə_#>	#>	1.0
ŋ_#>	n_#>	1.0
w	ˈeː	1.0
v̥_#>	b̥_#>	1.0
v̥	f	1.0
v	v	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
p_#>	f_#>	1.0
n_d̥	n_ə	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
k_#>	#>	1.0
i	ɛː	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_r	<#_ʀ	1.0
<#_d	<#_d̥	1.0
d̥_#>	d̥_#>	0.889
ˈə	ˈi	0.833
ŋ	ŋ	0.818
#>	ə_#>	0.769
ˈœ	ˈi	0.714
d	t	0.7
ˈœɪ̯	ˈau̯	0.667
t_#>	s_#>	0.667
ˈu	ˈuː	0.615
ˈi	ˈiː	0.6
s	s	0.6
b	b̥	0.6
ə	i	0.571
t	ʦ	0.571
ˈəɪ̯	ˈai̯	0.545
ˈɪə̯	-	0.533
ˈæː	ˈæ	0.5
ˈæː	-	0.5
k	kʰ	0.5
j	j	0.5
j	-	0.5
d̥	t	0.5
d̥	d̥	0.5
ˈa	ˈɑ	0.448
r	ʀ	0.447
ˈɔ	ˈu	0.438
ˈɔ	ˈo	0.438
ə	-	0.429
b	p	0.4
p	v̥	0.375
ˈɛ	ˈi	0.333
ˈɛ	ˈe	0.333
ˈɛ	-	0.333
ˈɑː	ˈɑː	0.333
ˈœɪ̯	ˈoi̯	0.333
t_#>	#>	0.333
χ	ɡ̊	0.324
ˈʊə̯	ˈoː	0.316
ˈʊə̯	ˈaː	0.316
d	d̥	0.3
r	ɐ	0.298
ˈœ	-	0.286
ˈɑː	ˈa	0.278
ˈɑː	-	0.278
ˈəɪ̯	ˈaː	0.273
ˈi	-	0.267
ˈæ	ˈɛ	0.25
ˈæ	ˈæ	0.25
ˈæ	ˈi	0.25
ˈæ	-	0.25
p	p	0.25
p	f	0.25
ˈa	ˈa	0.241
t	z̥	0.238
ˈu	ˈu	0.231
s	ʃ	0.222
ˈʊə̯	ˈɔ	0.211
ˈa	ˈɑː	0.207
ˈɪə̯	ˈɛ	0.2
ˈəɪ̯	-	0.182
ŋ	ʃ	0.182
χ	k	0.176
ˈə	-	0.167
k	x	0.167
ˈu	ˈiː	0.154
r	æ̆	0.149
χ	ʃ	0.147
ˈɪə̯	ˈɛ_d̥	0.133
ˈɪə̯	ˈaː	0.133
ˈi	ˈoi̯	0.133
ˈɔ	-	0.125
p	pʰ	0.125
k	ʃ	0.125
k	ɡ̊_ə	0.125
ˈɑː	ˈoː	0.111
d̥_#>	#>	0.111
r	-	0.106
ˈʊə̯	-	0.105
ˈa	-	0.103
#>	d̥_#>	0.103
t	d̥	0.095
t	-	0.095
s	-	0.089
χ	ʃ_t	0.088
χ	ɣ̊	0.088
χ	x_t	0.088
χ	x	0.088
k	k	0.083
#>	n_#>	0.077
ˈʊə̯	oː	0.053
#>	t_#>	0.051
