Gothic	Gothic	probability
θ_s	t	1.0
β	-	1.0
ˈɛː_w	ˈeː	1.0
ˈɛ	-	1.0
ˈu_n	n	1.0
ˈiː_s	ˈei̯	1.0
ˈeː	ˈoː	1.0
ʍ	ʋ	1.0
ɣ	-	1.0
ɡʷː	ˈi	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	t	1.0
z	-	1.0
x	-	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_u	ə_ʁ	1.0
r_n	ʁ_n	1.0
r	ʁ	1.0
p	f	1.0
nː	n	1.0
n_#>	#>	1.0
lː	l	1.0
l	l	1.0
j_a	ə	1.0
iː	-	1.0
i	-	1.0
f	f	1.0
e	-	1.0
b	b̥	1.0
aː	-	1.0
a_#>	#>	1.0
<#_θ	<#_d̥	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#	1.0
m	m	0.929
w	ʋ	0.875
ˈoː	ˈʊː	0.857
a	ə	0.846
n	n	0.844
ˈɛː	ˈəi̯	0.714
s	ʁ	0.714
ˈuː	ˈyː	0.667
u	-	0.667
d	d̥	0.667
ˈi	ˈi	0.654
h	h	0.619
ˈiː	ˈiː	0.6
ɡ	-	0.6
oː	-	0.6
j	-	0.6
ˈa	ˈɒ	0.593
ˈɔː	ˈoː	0.556
ˈɔ	ˈo	0.5
k	ʃ	0.5
k	kʰ	0.5
<#_s	<#_s	0.5
t	s	0.471
ˈu	ˈu	0.462
ˈiu̯	-	0.429
θ	t	0.417
θ	d̥	0.417
ˈiː	ˈi	0.4
ɡ	ɡ̊	0.4
j	j	0.4
ˈuː	ˈøi̯	0.333
u	i	0.333
ˈu	ˈo	0.308
oː	ə	0.3
t	t	0.294
ˈɛː	ˈei̯	0.286
ˈiu̯	ˈiː	0.286
ˈiu̯	ˈei̯	0.286
s	z̥	0.286
<#_s	<#_ʃ	0.286
ˈɔ	ˈu	0.25
ˈɔ	-	0.25
h	x	0.238
t	ʦ	0.235
ˈɔː	ˈeː	0.222
ˈɔː	-	0.222
d	t	0.222
<#_s	<#	0.214
θ	-	0.167
ˈu	-	0.154
ˈi	-	0.154
a	-	0.154
ˈa	ˈe	0.148
ˈoː	ˈøː	0.143
h	-	0.143
w	w	0.125
ˈi	ˈæ	0.115
ˈa	ˈɒː	0.111
ˈa	-	0.111
d	-	0.111
oː	ˈɔi̯	0.1
n	-	0.094
ˈu	ˈø	0.077
ˈi	ˈe	0.077
m	e	0.071
n	ʁ	0.062
