German	Gothic	probability
ˈɪ	ˈi	1.0
ˈɔʏ̯	ˈiu̯	1.0
ˈøː	ˈɔː	1.0
ˈuː	ˈoː	1.0
ˈa_ɐ	ˈa_r	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʁ	r	1.0
ŋ	ŋ	1.0
ç	k	1.0
z	s	1.0
x	h	1.0
tʰ	d	1.0
m	m	1.0
l_#>	lː_s_#>	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
<#_ˈa	<#_ˈa	1.0
<#_n	<#_n	1.0
l	l	0.941
v	w	0.9
n	n	0.848
ɡ	ɡ	0.833
#>	s_#>	0.814
ˈʊ	ˈu	0.8
b	b	0.722
ˈaː	ˈa	0.667
f	f	0.667
d	θ	0.667
ə	a	0.647
ɐ	r	0.645
ˈiː	ˈiu̯	0.6
b̥	f_s	0.6
ʃ	s	0.529
ˈɔ	ˈu	0.5
ˈaʊ̯	ˈɔː	0.5
ˈaʊ̯	ˈuː	0.5
ˈaɪ̯	ˈɛː	0.5
ˈaɪ̯	ˈiː	0.5
ɡ̊	x_s	0.5
ɡ̊	s	0.5
ʃ	s_k	0.471
ˈɛ	ˈɛ	0.462
t	t	0.462
ˈoː	ˈɔː	0.455
s	s	0.438
ˈiː	ˈi	0.4
d̥	θ	0.4
d̥	d	0.4
b̥	b	0.4
ˈeː	ˈi	0.375
ˈeː	ˈa	0.375
ˈaː	ˈeː	0.333
s	t	0.312
ˈɛ	ˈa	0.308
ˈɔ	ˈɔ	0.3
ˈeː	ˈɛː_w	0.25
ə	oː	0.235
ˈɛ	ˈi	0.231
ˈʊ	ˈɔ	0.2
ˈɔ	ˈi	0.2
d̥	d_u	0.2
t	θ	0.192
ˈoː	ˈɔ	0.182
ˈoː	ˈu	0.182
ˈoː	ˈeː	0.182
ɡ	ɣ_a	0.167
d	θ_a	0.167
d	d	0.167
b	β	0.167
t	θ_s	0.154
ɐ	a_r	0.129
s	t_s	0.125
s	t_a	0.125
f	p_a	0.125
f	p	0.125
ə	ɡ_oː	0.118
t	ð	0.115
b	β_a	0.111
v	ʍ	0.1
ɐ	s	0.097
n	a_n	0.091
f	p_s	0.083
t	d	0.077
ɐ	oː	0.065
ɐ	a	0.065
n	nː	0.061
l	h_l	0.059
#>	ɡ_s_#>	0.051
#>	oː_#>	0.051
#>	a_#>	0.051
