West Frisian	West Frisian	probability
χ_t	t	1.0
χ_#>	#>	1.0
ˈɪə̯_n	ˈəʊ̯	1.0
ˈɪə̯_l	ˈɑː_f	1.0
ˈɪə̯_#>	ˈe_d_#>	1.0
ˈɪ_χ	ˈaɪ̯	1.0
ˈɛi̯_#>	ˈeɪ̯_#>	1.0
ˈɛ_r	ˈɑː	1.0
ˈɛ_j	ˈiː	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈe	1.0
ˈø	-	1.0
ˈyː	ˈɐ	1.0
ˈy	ˈɐ	1.0
ˈu̯o	ˈiː	1.0
ˈuə̯_r	ə	1.0
ˈu	ˈɐ	1.0
ˈoː_#>	ˈaʊ̯_#>	1.0
ˈoə̯_r	ˈɔː	1.0
ˈiː_k	k	1.0
ˈi_#>	ˈiː_#>	1.0
ˈaː_j	ˈəʊ̯	1.0
ˈa_χ	ˈaɪ̯	1.0
ʦ_j	θ	1.0
ʦ	-	1.0
ʋ	w	1.0
ɪ	-	1.0
ɣ	-	1.0
ɡ	ɡ	1.0
ə_χ	ɪ	1.0
ə_r	ə	1.0
ə_l	ɫ	1.0
ə_#>	#>	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
v_ə	v	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r_ˈɛ	ɜː	1.0
r_m	m	1.0
n_ə	n_d	1.0
n_#>	#>	1.0
m	m	1.0
l_ə	ɫ	1.0
k_ə	ʧ	1.0
k_#>	#>	1.0
k	k	1.0
j_ˈɔ	ˈaɪ̯	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_r	<#_ɹ	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
t	t	0.953
s	s	0.868
d	d	0.846
ˈiː	ˈaɪ̯	0.818
v	w	0.8
p	p	0.8
d̥	d	0.8
n	n	0.796
ˈɛi̯	-	0.667
l	l	0.628
j	-	0.625
ˈɔː	ˈæ	0.6
<#_t	<#_θ	0.6
ˈɛː	ˈɑː	0.571
ˈuː	ˈaʊ̯	0.538
ˈɪ	ˈɪ	0.536
r	ɹ	0.517
χ	ˈaɪ̯	0.5
χ	ʤ	0.5
ˈɛ	-	0.5
ə	ə	0.5
z	z	0.5
z	-	0.5
ˈiə̯	ˈiː	0.474
ˈi	ˈaɪ̯	0.455
ˈɛː	-	0.429
ˈɪə̯	ˈiː	0.4
ˈɔː	-	0.4
<#_t	<#_tʰ	0.4
ˈoə̯	ˈɔː	0.385
ˈuə̯	ˈʊ	0.375
ˈuə̯	ˈuː	0.375
ˈɔ	ˈɐ	0.353
ˈɪə̯	-	0.333
ˈɛi̯	ˈeɪ̯	0.333
ˈeː	ˈɪ	0.333
ˈeː	ˈiː	0.333
ˈeː	-	0.333
r	ə	0.31
ˈuː	ˈaɪ̯	0.308
ˈaː	ˈe	0.308
ˈɛ	ˈe	0.3
ə	-	0.3
l	ɫ	0.279
ˈi	ˈɪ	0.273
ˈi	ˈiː	0.273
ˈɪə̯	ˈe	0.267
ˈiə̯	ˈəʊ̯	0.263
ˈɪ	-	0.25
ˈuə̯	ˈɐ_ð	0.25
j	ˈiː	0.25
ˈa	ˈæ	0.235
ˈa	-	0.235
ˈoə̯	ˈɐ	0.231
ˈoə̯	-	0.231
ˈaː	ˈeɪ̯	0.231
ˈɛ	ˈɔː	0.2
ə	ɡ	0.2
v	v	0.2
p	pʰ	0.2
d̥	θ	0.2
ˈiː	ˈiː	0.182
ˈɔ	ˈʊ	0.176
ˈɔ	ˈɪ	0.176
ˈɔ	ˈɒ	0.176
ˈa	ˈeɪ̯	0.176
ˈiə̯	ˈɪ	0.158
ˈuː	-	0.154
ˈoə̯	ˈəʊ̯	0.154
ˈaː	ˈɑː	0.154
ˈaː	ˈæ	0.154
ˈaː	-	0.154
j	ˈɜː	0.125
ˈɔ	-	0.118
ˈa	ˈɔː	0.118
ˈa	ˈɒ	0.118
ˈa	ˈe	0.118
n	n_d	0.111
ˈiə̯	ˈe	0.105
r	ð_ə	0.103
s	s_ˈɪ	0.079
d	θ	0.077
d	ð	0.077
ˈɪ	ˈæ	0.071
ˈɪ	ˈe	0.071
ˈɪ	ˈaɪ̯	0.071
r	ˈɪ_ə	0.069
n	-	0.056
s	z	0.053
