English	Swabian	probability
#>	#>	0.771
#>	a_#>	0.135
<#	<#	1.0
b	b	1.0
d	d	0.926
d	t	0.07
f	f	0.863
f	b	0.108
h	h	0.945
h	-	0.057
j	j	0.26
j	ˈəi̯	0.26
j	ˈeə̯	0.147
k	ɡ	0.589
k	ç	0.224
k	k	0.096
k	x	0.068
kʰ	kʰ	0.66
kʰ	ʁ	0.322
l	l	1.0
m	m	1.0
n	n	0.813
n	a	0.077
n	-	0.059
n_#>	#>	1.0
p	f	0.862
p	b̥͡f	0.074
p	b̥	0.052
s	s	0.651
s	ʃ	0.348
t	s	0.516
t	d	0.178
t	ʦ	0.084
t	ʕ_ʦ	0.082
t	ç	0.067
tʰ	ʦ	0.931
tʰ	b	0.057
v	b	0.481
v	f	0.433
v	n	0.069
w	ʋ	0.857
w	-	0.143
z	s	0.822
z	ʁ	0.111
ð	d	1.0
ŋ	ŋ	1.0
ə	ʌ	0.737
ə	-	0.179
ə	a	0.072
əʊ̯	-	0.594
əʊ̯	a	0.392
ɡ	ɡ	0.779
ɡ	-	0.216
ɪ	-	0.484
ɪ	ɪ	0.224
ɪ	ˈɛ	0.157
ɫ	l	0.973
ɹ	ʁ	0.922
ɹ	-	0.074
ʃ	ʃ	1.0
ʤ	ɡ	1.0
ʧ	kʰ	0.435
ʧ	ç	0.435
ʧ	x	0.068
ˈaɪ̯	ˈəi̯	0.448
ˈaɪ̯	ˈae̯	0.101
ˈaɪ̯	ˈao̯	0.099
ˈaɪ̯	ˈi	0.097
ˈaɪ̯	ˈɛ	0.073
ˈaɪ̯	ˈɔ	0.056
ˈaʊ̯	ˈao̯	0.65
ˈaʊ̯	ˈo	0.11
ˈaʊ̯	ˈae̯	0.082
ˈaʊ̯	ˈuə̯	0.065
ˈe	ˈɛ	0.223
ˈe	ˈoː	0.152
ˈe	ˈɔe̯	0.091
ˈe	-	0.079
ˈe	ˈao̯	0.06
ˈe	ˈiː	0.06
ˈe	ˈɛː	0.06
ˈe	ˈae̯	0.053
ˈe	ˈi	0.052
ˈe	ˈa	0.051
ˈe	ˈeə̯	0.051
ˈe	ˈu	0.05
ˈeɪ̯	ˈaː_ɡ	0.304
ˈeɪ̯	ˈa	0.259
ˈeɪ̯	ˈaː	0.101
ˈeɪ̯	ˈɛː	0.101
ˈeɪ̯	ˈeː	0.08
ˈeɪ̯	ˈoː	0.073
ˈeɪ̯	ˈɔː	0.057
ˈiː	ˈiə̯	0.184
ˈiː	ˈɔː	0.132
ˈiː	ˈao̯	0.124
ˈiː	ˈoː	0.112
ˈiː	ˈeː	0.085
ˈiː	ˈiː	0.085
ˈiː	ˈae̯	0.071
ˈiː	ˈeə̯	0.056
ˈiː	ˈɛː	0.05
ˈuː	ˈaː	0.304
ˈuː	ˈo	0.152
ˈuː	ˈuː	0.152
ˈuː	ˈɔə̯	0.152
ˈuː	-	0.107
ˈuː	ˈɔe̯	0.107
ˈæ	ˈa	0.522
ˈæ	ˈʌ	0.145
ˈæ	ˈaː	0.108
ˈæ	ˈɔː	0.102
ˈæ	ˈɛ	0.072
ˈɐ	ˈo	0.359
ˈɐ	ˈoː	0.251
ˈɐ	ˈuə̯	0.213
ˈɐ	ˈa	0.081
ˈɐ	ˈu	0.081
ˈɑː	ˈa	0.424
ˈɑː	ˈaː	0.18
ˈɑː	ˈe	0.18
ˈɑː	ˈa_ʕ	0.109
ˈɒ	ˈa	0.218
ˈɒ	ˈo	0.204
ˈɒ	ˈu	0.138
ˈɒ	ˈɔ	0.132
ˈɒ	ˈɔe̯	0.132
ˈɔː	ˈɔ	0.238
ˈɔː	ˈa	0.22
ˈɔː	ˈɛ	0.154
ˈɔː	ˈi	0.126
ˈɔː	ˈo	0.094
ˈɔː	ˈa_ʕ	0.089
ˈəʊ̯	ˈɔe̯	0.36
ˈəʊ̯	ˈeː	0.143
ˈəʊ̯	ˈae̯	0.125
ˈəʊ̯	ˈa	0.109
ˈəʊ̯	ˈi	0.082
ˈəʊ̯	ˈo	0.082
ˈəʊ̯	ˈɔː	0.082
ˈɛ	ˈaː	0.392
ˈɛ	ˈɔː	0.392
ˈɛ	ˈɛː	0.125
ˈɜː	ˈʌ	0.5
ˈɜː	ˈɛ	0.159
ˈɜː	ˈo	0.09
ˈɪ	ˈi	0.245
ˈɪ	ˈɪ	0.211
ˈɪ	ˈe	0.197
ˈɪ	ˈəi̯	0.1
ˈɪ	ˈu	0.092
ˈɪ	ˈeː	0.052
ˈʊ	ˈo	0.496
ˈʊ	ˈuə̯	0.468
θ	d	0.776
θ	-	0.123
θ	l	0.091
