Lombard	Neapolitan	probability
a	ə	0.669
a	a	0.214
ã	i	0.574
ã	a	0.304
b	v	0.428
b	b	0.356
b	ʎ	0.081
b	-	0.072
b	ɲ	0.068
d	t	0.444
d	d	0.318
d	ɾ	0.184
d	n	0.052
e	ə	0.532
e	i	0.136
e	-	0.088
e	e	0.058
e	ˈe	0.056
e	a	0.054
e	o	0.054
e	u	0.051
f	f	0.698
f	v_ə	0.216
f	p_ə	0.082
f_j	ʃ	1.0
i	ə	0.389
i	i	0.206
i	e	0.194
i	a	0.142
ĩ	n	0.392
ĩ	-	0.238
ĩ	ŋ	0.238
j	-	0.271
j	j	0.258
j	ʎ	0.192
j	ɲ	0.087
j	ˈa	0.057
j	e	0.053
j	l	0.053
k	k	0.945
l	l	0.812
l	-	0.073
l	w	0.056
m	m	0.912
n	n	0.857
n	n_w	0.098
o	u	0.279
p	p	0.872
p	k	0.127
r	ɾ	0.682
r	r	0.242
r	-	0.06
s	s	0.65
s	ʃ_ə	0.142
s	ʃ_ʃ	0.096
s	-	0.056
t	t	0.586
t	t_ə	0.252
t	d_ə	0.059
u	u	0.266
u	a	0.209
u	-	0.182
u	ə	0.158
u	o	0.149
ũ	u	0.529
v	v	0.279
w	w	1.0
y	u	1.0
z	ʃ	0.488
z	ʤ	0.212
z	z	0.196
ɛ	ə	0.529
ɛ_k	ə	1.0
ɡ	ɡ	0.576
ɡ	v	0.266
ɡ	-	0.133
ɲ	n	0.388
ɲ	ɲ	0.301
ɲ	ɲ_ə	0.301
ʃ	ʃ	0.629
ʃ	s	0.361
ʋ	v	0.707
ʋ	-	0.246
ʋ	ˈi	0.052
ʤ	ʤ	0.493
ʤ	-	0.289
ʤ	k	0.107
ʤ	d	0.099
ʦ	ʦ	0.37
ʦ	ʃ	0.349
ʦ	ɲ	0.145
ʦ	ʦ_ə	0.106
ʧ	ʃ	0.295
ʧ	j_ə	0.187
ʧ	t_t	0.145
ʧ	k_j	0.086
ʧ	ʃ_ˈi	0.075
ʧ	d	0.057
ʧ	k_k	0.054
ʧ	t_ə	0.054
ʧ	ʤ	0.053
ˈa	ˈa	0.972
ˈa_ʋ	ˈa	0.529
ˈaː	ˈa	1.0
ˈãː	ˈa_n	0.672
ˈãː	ˈa	0.232
ˈãː	ˈa_ŋ	0.079
ˈe	ˈi	0.318
ˈe	ˈe	0.318
ˈe	ˈɛ	0.204
ˈe	ˈi_ɲ	0.074
ˈe	-	0.052
ˈeː	ˈe	0.629
ˈeː	ˈɛ	0.361
ˈẽː	ˈɛ_n	0.66
ˈẽː	ŋ	0.196
ˈẽː	ˈa	0.068
ˈi	ˈi	0.597
ˈi	ˈe_k	0.115
ˈi	ˈi_ʎ	0.115
ˈi	ˈu	0.115
ˈi	i	0.055
ˈiː	ˈe	0.529
ˈĩː	ˈi_n	0.588
ˈĩː	ŋ	0.379
ˈo	ˈo	0.758
ˈo	ˈɔ	0.112
ˈu	ˈu	0.603
ˈu	ˈo	0.254
ˈu	ˈɔ	0.139
ˈuː	ˈa	0.349
ˈuː	ˈu	0.349
ˈũː	ˈu_n	0.447
ˈũː	ˈo_n	0.412
ˈũː	w_ˈɔ	0.092
ˈy	ˈu	0.749
ˈy	ˈi	0.205
ˈy	ˈa	0.06
ˈyː	ˈu	0.478
ˈyː	ˈo	0.341
ˈỹː	ˈu	0.529
ˈø	ˈɔ	0.377
ˈø	w_ˈɔ	0.348
ˈø	ˈu_k	0.258
ˈøː	ˈɔ	1.0
ˈɔ	w_ˈɔ	0.405
ˈɔ	ˈɔ	0.401
ˈɔ	ˈe	0.062
ˈɔ	ˈo	0.062
ˈɔ	ˈa	0.052
ˈɛ	ˈɛ	0.684
ˈɛ	ˈe	0.221
ˈɛ̃ː	ˈɛ	1.0
ˈˈi	ɾ	0.529
