Luxembourgish	Luxembourgish	probability
χ	x	1.0
ˈʊ	ˈuə̯	1.0
ˈɛː	ˈɛ	1.0
ˈɔ	ˈo	1.0
ˈɑʊ̯	ˈao̯	1.0
ˈɑ_n	ˈaː	1.0
ˈæːʊ̯	ˈao̯	1.0
ˈæ	ˈɛ	1.0
ˈuə̯_ɕ	x	1.0
ˈuə̯	-	1.0
ˈiː_ɐ	ˈʌ	1.0
ˈe_ŋ	ˈeə̯	1.0
ʑ	ɡ	1.0
ʃ	ʃ	1.0
ʀ_#>	ʕ_n_#>	1.0
ʀ	ʁ	1.0
ɡ̊_#>	#>	1.0
ɡ	ɡ	1.0
ə_ʀ	ʁ	1.0
ə_ɕ	ɪ_ɡ	1.0
ə_n	a	1.0
z̥	s	1.0
z	s	1.0
w	ʋ	1.0
v̥	b	1.0
v_ɐ	b_ʌ	1.0
tʰ	d	1.0
s	s	1.0
pʰ	p͡f	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e_ŋ	eə̯	1.0
e	i	1.0
d̥	d	1.0
d	d	1.0
b	b	1.0
<#_n	<#_n	1.0
#>	ɡ_#>	1.0
ʦ	ʦ	0.933
t	d	0.909
l	l	0.896
v	ʋ	0.895
ŋ	ŋ	0.833
ə	-	0.769
ˈeː	ˈɔe̯	0.737
ˈæːɪ̯	ˈəi̯	0.727
ˈi	-	0.667
ˈo	ˈo	0.643
ˈəʊ̯	ˈoː	0.636
ɐ	ʌ	0.629
ˈɛ	ˈɛ	0.6
ˈə	ˈi	0.6
ɕ	ç	0.571
n	n	0.548
ˈaː	ˈa	0.519
ˈɑɪ̯	ˈəi̯	0.5
ˈoː	ˈɔː	0.5
ˈe	ˈu	0.5
ˈe	-	0.5
p	b̥͡f	0.5
p	-	0.5
<#	<#_ˈo	0.5
<#	<#_n	0.5
ˈɜɪ̯	ˈiə̯	0.412
ˈɛ	-	0.4
ˈə	-	0.4
ɐ	ʕ	0.371
ˈɑ	ˈa	0.368
ˈiː	ˈi	0.364
ˈiə̯	ˈɛː	0.333
ˈiə̯	ˈɛ	0.333
ˈiə̯	-	0.333
ˈi	ˈeː	0.333
ˈu	-	0.3
ˈoː	ˈaː_ɡ	0.3
ˈæːɪ̯	ˈae̯	0.273
ˈiː	-	0.273
ˈɑ	ˈe	0.263
ˈɑɪ̯	ˈae̯	0.25
ˈɑɪ̯	-	0.25
ə	ɡ	0.231
ˈo	ˈu	0.214
ɕ	ɡ	0.214
ɕ	x	0.214
ˈu	ˈuː	0.2
ˈu	ˈuə̯	0.2
ˈu	ˈoː	0.2
ˈoː	-	0.2
n	n_d	0.194
n	a	0.194
ˈəʊ̯	ˈuə̯	0.182
ˈəʊ̯	-	0.182
ˈiː	ˈɛ	0.182
ˈiː	ˈiː	0.182
ˈɜɪ̯	ˈeː	0.176
ˈɜɪ̯	-	0.176
ŋ	-	0.167
ˈɑ	-	0.158
ˈeː	-	0.158
ˈaː	ˈao̯	0.148
ˈaː	ˈa_ʕ	0.148
ˈo	ˈɔ	0.143
ˈɜɪ̯	ˈɛː	0.118
ˈɜɪ̯	ˈiː	0.118
ˈaː	ˈaː	0.111
ˈɑ	ˈɪ	0.105
ˈɑ	ˈɛ	0.105
ˈeː	ˈae̯	0.105
v	b	0.105
ˈu	ˈɔə̯	0.1
t	-	0.091
ˈaː	ˈɔ	0.074
ʦ	ʣ	0.067
n	-	0.065
l	l_d	0.062
